;meioambiente_32
"AF";"0,46"
"AL";"1,91"
"DZ";"7,46"
"AS";"8,62"
"AD";"19,50"
"AO";"4,98"
"AI";"99999999999998"
"AG";"0,15"
"AR";"5,37"
"AM";"24,75"
"AW";"0,48"
"AU";"29,03"
"AT";"28,35"
"AZ";"13,97"
"BS";"0,51"
"BH";"4,41"
"BD";"3,41"
"BB";"99999999999998"
"BY";"8,57"
"BE";"24,25"
"BZ";"18,55"
"BJ";"22,25"
"BM";"5,07"
"BT";"47,30"
"BO";"24,83"
"BA";"1,28"
"BW";"29,15"
"BR";"20,37"
"VG";"0,08"
"BN";"29,68"
"BG";"31,46"
"BF";"15,47"
"BI";"6,89"
"KH";"20,61"
"CM";"10,65"
"CA";"6,24"
"CV";"0,01"
"KY";"1,54"
"CF";"18,09"
"TD";"17,78"
"CL";"6,85"
"CN";"15,61"
"CO";"17,37"
"KM";"2,38"
"CG";"31,81"
"CK";"99999999999998"
"CR";"3,05"
"CI";"14,93"
"HR";"23,69"
"CU";"5,03"
"CY";"2,03"
"CZ";"21,11"
"CD";"12,07"
"DK";"17,95"
"DJ";"1,05"
"DM";"0,55"
"DO";"11,20"
"EC";"15,43"
"EG";"9,58"
"SV";"2,05"
"GQ";"2,12"
"ER";"3,06"
"EE";"19,85"
"ET";"18,40"
"FO";"99999999999998"
"FK";"48,18"
"FJ";"0,97"
"FI";"14,07"
"FR";"25,73"
"GF";"48,79"
"PF";"0,01"
"GA";"12,28"
"GM";"1,41"
"GE";"6,45"
"DE";"38,46"
"GH";"7,79"
"GR";"8,56"
"GL";"22,38"
"GD";"0,05"
"GP";"2,62"
"GU";"5,19"
"GT";"15,72"
"GN";"20,34"
"GW";"10,38"
"GY";"5,28"
"HT";"0,06"
"HN";"7,78"
"HU";"22,55"
"IS";"2,32"
"IN";"3,13"
"ID";"6,01"
"IR";"6,69"
"IQ";"0,38"
"IE";"3,48"
"IL";"8,62"
"IT";"13,32"
"JM";"1,40"
"JP";"2,09"
"JO";"2,13"
"KZ";"3,29"
"KE";"10,57"
"KI";"11,81"
"KP";"1,30"
"KR";"2,61"
"KW";"10,97"
"KG";"6,94"
"LA";"16,66"
"LV";"17,78"
"LB";"0,93"
"LS";"0,54"
"LR";"0,78"
"LY";"0,32"
"LI";"44,29"
"LT";"16,30"
"LU";"34,61"
"MG";"1,98"
"MW";"16,81"
"MY";"8,04"
"MV";"0,07"
"ML";"8,38"
"MT";"0,47"
"MH";"0,19"
"MQ";"11,55"
"MR";"1,38"
"MU";"0,01"
"YT";"99999999999998"
"MX";"6,02"
"FM";"99999999999998"
"MC";"99,72"
"MN";"17,21"
"ME";"2,69"
"MS";"2,46"
"MA";"20,14"
"MZ";"10,90"
"MM";"4,07"
"NA";"23,23"
"NR";"99999999999998"
"NP";"22,93"
"NL";"18,06"
"AN";"1,89"
"NC";"91,03"
"NZ";"29,82"
"NI";"21,96"
"NE";"17,61"
"NG";"11,82"
"NU";"0,02"
"MP";"26,34"
"NO";"9,08"
"OM";"3,99"
"PK";"8,60"
"PW";"0,24"
"PA";"5,18"
"PG";"0,66"
"PY";"6,50"
"PE";"19,37"
"PH";"2,44"
"PL";"29,31"
"PT";"1,89"
"PR";"0,59"
"QA";"1,24"
"MD";"3,82"
"RE";"23,48"
"RO";"22,09"
"RU";"8,75"
"RW";"9,43"
"KN";"0,26"
"LC";"0,69"
"VC";"0,46"
"WS";"0,23"
"SM";"99999999999998"
"ST";"99999999999998"
"SA";"28,24"
"SN";"14,48"
"RS";"6,76"
"SC";"0,05"
"SL";"3,77"
"SG";"3,39"
"SK";"36,63"
"SI";"53,95"
"SB";"0,16"
"SO";"0,26"
"ZA";"10,24"
"SS";"20,80"
"ES";"10,18"
"LK";"2,64"
"PS";"99999999999998"
"SD";"1,68"
"SR";"8,58"
"SZ";"4,02"
"SE";"13,03"
"CH";"9,93"
"SY";"0,67"
"TJ";"21,92"
"TH";"12,49"
"MK";"9,70"
"TL";"2,09"
"TG";"19,75"
"TK";"99999999999998"
"TO";"1,52"
"TT";"2,63"
"TN";"3,68"
"TR";"0,20"
"TM";"3,15"
"TC";"3,58"
"TV";"0,01"
"UG";"16,00"
"UA";"3,93"
"AE";"16,09"
"GB";"13,77"
"TZ";"26,05"
"US";"14,82"
"VI";"2,81"
"UY";"1,67"
"UZ";"3,44"
"VU";"2,31"
"VE";"36,69"
"VN";"2,54"
"EH";"99999999999998"
"YE";"0,61"
"ZM";"37,85"
"ZW";"26,61"
