;populacao_6
"BI";"173,2"
"KM";"180,6"
"DJ";"17,0"
"ER";"25,7"
"ET";"38,3"
"KE";"32,1"
"MG";"16,3"
"MW";"70,7"
"MU";"491,9"
"YT";"172,0"
"MZ";"16,1"
"RE";"215,0"
"RW";"230,0"
"SC";"149,8"
"SO";"10,7"
"SS";"8,5"
"UG";"68,7"
"TZ";"23,2"
"ZM";"8,8"
"ZW";"20,8"
"AO";"8,0"
"CM";"20,0"
"CF";"4,0"
"TD";"3,8"
"CG";"5,9"
"CD";"12,5"
"GQ";"11,2"
"GA";"3,1"
"ST";"104,5"
"DZ";"8,9"
"EG";"47,8"
"LY";"2,1"
"MA";"48,2"
"SD";"9,1"
"TN";"44,6"
"EH";"0,7"
"BW";"2,0"
"LS";"46,5"
"NA";"1,3"
"ZA";"26,5"
"SZ";"38,3"
"BJ";"35,8"
"BF";"26,8"
"CV";"75,3"
"CI";"29,7"
"GM";"66,5"
"GH";"52,3"
"GN";"19,6"
"GW";"30,4"
"LR";"21,8"
"ML";"6,2"
"MR";"1,6"
"NE";"5,2"
"NG";"87,3"
"SH";"14,1"
"SN";"31,7"
"SL";"50,0"
"TG";"55,6"
"CN";"110,5"
"HK";"4.937,1"
"MO";"8.729,0"
"TW";"524,8"
"KP";"152,0"
"JP";"330,4"
"MN";"1,2"
"KR";"408,9"
"KZ";"5,7"
"KG";"20,0"
"TJ";"30,5"
"TM";"6,6"
"UZ";"40,5"
"AF";"19,0"
"BD";"678,6"
"BT";"11,6"
"IN";"251,2"
"IR";"26,8"
"MV";"587,9"
"NP";"111,4"
"PK";"112,0"
"LK";"250,8"
"BN";"40,3"
"KH";"40,6"
"ID";"87,2"
"LA";"15,1"
"MY";"45,1"
"MM";"54,6"
"PH";"172,6"
"SG";"3.686,1"
"TH";"98,2"
"TL";"42,0"
"VN";"188,0"
"AM";"113,8"
"AZ";"78,1"
"BH";"521,7"
"CY";"75,1"
"GE";"73,7"
"IQ";"34,1"
"IL";"182,5"
"JO";"30,1"
"KW";"88,7"
"LB";"259,2"
"OM";"4,4"
"QA";"26,7"
"SA";"5,5"
"PS";"274,0"
"SY";"54,1"
"TR";"61,2"
"AE";"15,0"
"YE";"17,3"
"BY";"48,5"
"BG";"82,5"
"CZ";"134,1"
"HU";"117,9"
"PL";"119,4"
"MD";"125,8"
"RO";"99,6"
"RU";"8,6"
"SK";"106,2"
"UA";"87,3"
"DK";"120,7"
"EE";"35,4"
"FO";"32,0"
"FI";"16,0"
"IS";"2,4"
"IE";"51,3"
"IM";"110,1"
"LV";"41,0"
"LT";"56,0"
"NO";"11,3"
"SE";"20,3"
"GB";"232,8"
"AL";"103,8"
"AD";"87,0"
"BA";"84,5"
"HR";"83,5"
"GI";"3.038,3"
"GR";"76,6"
"VA";"1.661,4"
"IT";"193,2"
"MT";"1.070,7"
"ME";"44,8"
"PT";"108,7"
"SM";"370,2"
"RS";"104,4"
"SI";"94,5"
"ES";"77,2"
"MK";"78,0"
"AT";"92,3"
"BE";"326,9"
"FR";"100,1"
"DE";"223,2"
"LI";"167,3"
"LU";"141,0"
"MC";"18.855,7"
"NL";"426,0"
"CH";"161,4"
"AI";"72,7"
"AG";"162,8"
"AW";"345,6"
"BS";"22,5"
"BB";"591,9"
"VG";"81,3"
"KY";"74,6"
"CU";"93,6"
"CW";"336,9"
"DM";"99,7"
"DO";"128,6"
"GD";"282,3"
"GP";"203,5"
"HT";"221,2"
"JM";"209,9"
"MQ";"313,8"
"MS";"116,1"
"PR";"372,6"
"KN";"163,6"
"LC";"201,2"
"VC";"264,1"
"SX";"474,1"
"TT";"222,0"
"TC";"9,1"
"VI";"296,6"
"BZ";"6,8"
"CR";"50,7"
"SV";"231,3"
"GT";"73,2"
"HN";"36,0"
"MX";"38,2"
"NI";"29,3"
"PA";"28,5"
"AR";"10,8"
"BO";"5,5"
"BR";"15,5"
"CL";"15,9"
"CO";"26,8"
"EC";"34,7"
"FK";"0,2"
"GF";"0,9"
"GY";"4,0"
"PY";"8,7"
"PE";"14,6"
"SR";"2,3"
"UY";"17,0"
"VE";"18,8"
"BM";"1.162,7"
"CA";"2,8"
"GL";"0,1"
"PM";"26,3"
"US";"25,8"
"AU";"2,0"
"NZ";"12,2"
"FJ";"37,5"
"NC";"8,3"
"PG";"7,9"
"SB";"9,1"
"VU";"10,2"
"FM";"105,1"
"GU";"206,3"
"KI";"76,3"
"MH";"193,8"
"FM";"115,3"
"NR";"392,7"
"MP";"51,1"
"PW";"28,3"
"AS";"180,8"
"CK";"72,8"
"PF";"45,3"
"NU";"11,5"
"WS";"56,0"
"TK";"165,7"
"TO";"130,2"
"TV";"280,4"
"WF";"91,2"
"BI";"959,7"
"KM";"764,7"
"DJ";"55,9"
"ER";"92,3"
"ET";"186,1"
"KE";"162,8"
"MG";"89,2"
"MW";"425,3"
"MU";"606,9"
"YT";"1.282,4"
"MZ";"82,7"
"RE";"405,0"
"RW";"865,7"
"SC";"211,2"
"SO";"54,6"
"SS";"40,1"
"UG";"506,1"
"TZ";"149,1"
"ZM";"52,7"
"ZW";"74,7"
"AO";"58,2"
"CM";"101,6"
"CF";"13,8"
"TD";"25,7"
"CG";"32,4"
"CD";"83,4"
"GQ";"97,9"
"GA";"13,3"
"ST";"384,0"
"DZ";"23,8"
"EG";"151,1"
"LY";"4,6"
"MA";"101,6"
"SD";"44,1"
"TN";"88,9"
"EH";"3,6"
"BW";"6,0"
"LS";"103,6"
"NA";"5,1"
"ZA";"59,4"
"SZ";"118,8"
"BJ";"204,4"
"BF";"151,8"
"CV";"180,4"
"CI";"155,3"
"GM";"435,5"
"GH";"219,2"
"GN";"105,3"
"GW";"124,0"
"LR";"98,2"
"ML";"34,6"
"MR";"8,4"
"NE";"50,9"
"NG";"433,3"
"SH";"10,8"
"SN";"170,1"
"SL";"175,6"
"TG";"272,3"
"CN";"146,7"
"HK";"7.853,7"
"MO";"28.903,1"
"TW";"650,0"
"KP";"223,3"
"JP";"301,8"
"MN";"2,6"
"KR";"523,9"
"KZ";"8,4"
"KG";"41,8"
"TJ";"101,6"
"TM";"16,6"
"UZ";"95,7"
"AF";"92,9"
"BD";"1.545,7"
"BT";"26,0"
"IN";"555,3"
"IR";"57,4"
"MV";"1.905,4"
"NP";"250,9"
"PK";"391,2"
"LK";"334,2"
"BN";"101,4"
"KH";"123,4"
"ID";"176,8"
"LA";"39,4"
"MY";"125,9"
"MM";"95,4"
"PH";"500,1"
"SG";"9.410,0"
"TH";"129,4"
"TL";"157,9"
"VN";"368,0"
"AM";"95,8"
"AZ";"133,7"
"BH";"3.035,1"
"CY";"149,0"
"GE";"49,4"
"IQ";"180,7"
"IL";"569,5"
