;indicadoressociais_11
"AF";"50.6"
"AL";"71.8"
"DZ";"67.0"
"AD";"76.7"
"AO";"41.2"
"AG";"71.6"
"AR";"71.8"
"AM";"67.9"
"AU";"77.1"
"AT";"75.7"
"AZ";"64.5"
"BS";"70.9"
"BH";"72.6"
"BD";"59.0"
"BB";"71.6"
"BY";"70.2"
"BE";"76.0"
"BZ";"71.0"
"BJ";"54.0"
"BT";"53.3"
"BO";"55.6"
"BA";"70.6"
"BW";"62.0"
"BR";"65.7"
"BN";"73.2"
"BG";"71.2"
"BF";"49.4"
"BI";"47.8"
"CV";"66.1"
"KH";"53.9"
"CM";"53.7"
"CA";"77.4"
"CF";"48.7"
"TD";"47.0"
"CL";"73.2"
"CN";"69.2"
"CO";"68.4"
"KM";"57.2"
"CG";"54.5"
"CD";"49.2"
"CR";"75.8"
"HR";"72.5"
"CU";"74.7"
"CY";"76.7"
"CZ";"72.0"
"CI";"52.1"
"DK";"75.1"
"DJ";"56.8"
"DM";"75.9"
"DO";"68.3"
"EC";"69.5"
"EG";"65.0"
"SV";"64.8"
"GQ";"48.6"
"ER";"49.0"
"EE";"69.1"
"ET";"47.5"
"FJ";"65.7"
"FI";"75.4"
"FR";"76.8"
"GA";"61.4"
"GM";"52.4"
"GE";"70.2"
"DE";"75.6"
"GH";"57.2"
"GR";"76.9"
"GD";"68.8"
"GT";"62.8"
"GN";"50.6"
"GW";"49.4"
"GY";"63.6"
"HT";"55.0"
"HN";"67.1"
"HK";"77.8"
"HU";"69.4"
"IS";"78.2"
"IN";"58.4"
"ID";"63.6"
"IR";"65.1"
"IQ";"66.8"
"IE";"75.0"
"IL";"76.7"
"IT";"77.0"
"JM";"72.0"
"JP";"79.2"
"JO";"70.1"
"KZ";"66.3"
"KE";"58.2"
"KI";"60.9"
"";"69.9"
"KR";"72.2"
"KW";"72.3"
"KG";"66.3"
"LA";"54.1"
"LV";"68.6"
"LB";"70.5"
"LS";"59.8"
"LR";"47.4"
"LY";"68.9"
"LI";"76.3"
"LT";"70.3"
"LU";"75.4"
"MG";"51.6"
"MW";"43.6"
"MY";"71.0"
"MV";"62.3"
"ML";"46.8"
"MT";"76.2"
"MR";"58.6"
"MU";"69.7"
"MX";"71.2"
"FM";"66.3"
"MD";"67.6"
"MN";"60.5"
"ME";"74.7"
"MA";"65.3"
"MZ";"43.6"
"MM";"59.1"
"NA";"61.3"
"NP";"55.1"
"NL";"77.1"
"NZ";"75.6"
"NI";"64.9"
"NE";"44.5"
"NG";"46.1"
"NO";"76.7"
"OM";"67.7"
"PK";"60.4"
"PW";"62.8"
"";"68.4"
"PA";"73.2"
"PG";"55.9"
"PY";"68.2"
"PE";"66.0"
"PH";"65.5"
"PL";"71.0"
"PT";"74.5"
"QA";"75.0"
"RO";"69.5"
"RU";"67.6"
"RW";"29.7"
"KN";"67.6"
"LC";"71.2"
"VC";"70.3"
"WS";"65.4"
"ST";"62.0"
"SA";"69.4"
"SN";"57.4"
"RS";"71.6"
"SC";"70.8"
"SL";"36.7"
"SG";"76.4"
"SK";"71.4"
"SI";"73.4"
"SB";"57.2"
"SO";"45.3"
"ZA";"62.3"
"SS";"44.2"
"ES";"77.2"
"LK";"69.7"
"SD";"55.7"
"SR";"67.5"
"SZ";"59.4"
"SE";"77.7"
"CH";"77.7"
"SY";"70.4"
"TJ";"62.7"
"TZ";"49.7"
"TH";"70.3"
"MK";"71.3"
"TL";"49.3"
"TG";"55.9"
"TO";"69.7"
"TT";"68.1"
"TN";"69.4"
"TR";"64.8"
"TM";"62.8"
"UG";"44.6"
"UA";"69.5"
"AE";"71.8"
"GB";"75.8"
"US";"75.4"
"UY";"72.8"
"UZ";"66.6"
"VU";"63.5"
"VE";"70.0"
"VN";"70.8"
"YE";"58.2"
"ZM";"43.6"
"ZW";"58.2"
