;indicadoressociais_11
"AF";"60.4"
"AL";"77.8"
"DZ";"74.8"
"AD";"81.3"
"AO";"52.3"
"AG";"76.1"
"AR";"76.3"
"AM";"74.7"
"AU";"82.4"
"AT";"81.4"
"AZ";"70.8"
"BS";"75.4"
"BH";"76.6"
"BD";"71.6"
"BB";"75.6"
"BY";"71.3"
"BE";"80.8"
"BZ";"70.0"
"BJ";"59.6"
"BT";"69.5"
"BO";"68.3"
"BA";"76.5"
"BW";"64.5"
"BR";"74.5"
"BN";"78.8"
"BG";"74.2"
"BF";"58.7"
"BI";"56.7"
"CV";"73.3"
"KH";"68.4"
"CM";"55.5"
"CA";"82.0"
"CF";"50.7"
"TD";"51.6"
"CL";"81.7"
"CN";"75.8"
"CO";"74.0"
"KM";"63.3"
"CG";"62.3"
"CD";"58.7"
"CR";"79.4"
"HR";"77.3"
"CU";"79.4"
"CY";"80.2"
"CZ";"78.6"
"CI";"51.5"
"DK";"80.2"
"DJ";"62.0"
"DM";"77.8"
"DO";"73.5"
"EC";"75.9"
"EG";"71.1"
"SV";"73.0"
"GQ";"57.6"
"ER";"63.7"
"EE";"76.8"
"ET";"64.1"
"FJ";"70.0"
"FI";"80.8"
"FR";"82.2"
"GA";"64.4"
"GM";"60.2"
"GE";"74.9"
"DE";"80.9"
"GH";"61.4"
"GR";"80.9"
"GD";"73.4"
"GT";"71.8"
"GN";"58.8"
"GW";"55.2"
"GY";"66.4"
"HT";"62.8"
"HN";"73.1"
"HK";"84.0"
"HU";"75.2"
"IS";"82.6"
"IN";"68.0"
"ID";"68.9"
"IR";"75.4"
"IQ";"69.4"
"IE";"80.9"
"IL";"82.4"
"IT";"83.1"
"JM";"75.7"
"JP";"83.5"
"JO";"74.0"
"KZ";"69.4"
"KE";"61.6"
"KI";"66.0"
"";"70.3"
"KR";"81.9"
"KW";"74.4"
"KG";"70.6"
"LA";"66.2"
"LV";"74.2"
"LB";"79.3"
"LS";"49.8"
"LR";"60.9"
"LY";"71.6"
"LI";"80.0"
"LT";"73.3"
"LU";"81.7"
"MG";"65.1"
"MW";"62.8"
"MY";"74.7"
"MV";"76.8"
"ML";"58.0"
"MT";"80.6"
"MR";"63.1"
"MU";"74.4"
"MX";"76.8"
"FM";"69.1"
"MD";"71.6"
"MN";"69.4"
"ME";"76.2"
"MA";"74.0"
"MZ";"55.1"
"MM";"65.9"
"NA";"64.8"
"NP";"69.6"
"NL";"81.6"
"NZ";"81.8"
"NI";"74.9"
"NE";"61.4"
"NG";"52.8"
"NO";"81.6"
"OM";"76.8"
"PK";"66.2"
"PW";"72.7"
"";"72.9"
"PA";"77.6"
"PG";"62.6"
"PY";"72.9"
"PE";"74.6"
"PH";"68.2"
"PL";"77.4"
"PT";"80.9"
"QA";"78.2"
"RO";"74.7"
"RU";"70.1"
"RW";"64.2"
"KN";"73.8"
"LC";"75.1"
"VC";"72.9"
"WS";"73.4"
"ST";"66.5"
"SA";"74.3"
"SN";"66.5"
"RS";"74.9"
"SC";"73.1"
"SL";"50.9"
"SG";"83.0"
"SK";"76.3"
"SI";"80.4"
"SB";"67.9"
"SO";"55.4"
"ZA";"57.4"
"SS";"55.7"
"ES";"82.6"
"LK";"74.9"
"SD";"63.5"
"SR";"71.1"
"SZ";"49.0"
"SE";"82.2"
"CH";"83.0"
"SY";"69.6"
"TJ";"69.4"
"TZ";"65.0"
"TH";"74.4"
"MK";"75.4"
"TL";"68.2"
"TG";"59.7"
"TO";"72.8"
"TT";"70.4"
"TN";"74.8"
"TR";"75.3"
"TM";"65.6"
"UG";"58.5"
"UA";"71.0"
"AE";"77.0"
"GB";"80.7"
"US";"79.1"
"UY";"77.2"
"UZ";"69.2"
"VU";"71.9"
"VE";"74.2"
"VN";"75.8"
"YE";"63.8"
"ZM";"60.1"
"ZW";"57.5"
