;indicadoressociais_10
"AF";"0.305"
"AL";"0.608"
"DZ";"0.591"
"AD";"99999999999998"
"AO";"99999999999998"
"AG";"99999999999998"
"AR";"0.725"
"AM";"0.593"
"AU";"0.874"
"AT";"0.806"
"AZ";"99999999999998"
"BS";"99999999999998"
"BH";"0.765"
"BD";"0.408"
"BB";"0.720"
"BY";"99999999999998"
"BE";"0.838"
"BZ";"0.656"
"BJ";"0.361"
"BT";"99999999999998"
"BO";"0.556"
"BA";"99999999999998"
"BW";"0.587"
"BR";"0.631"
"BN";"0.797"
"BG";"0.696"
"BF";"99999999999998"
"BI";"0.271"
"CV";"99999999999998"
"KH";"0.368"
"CM";"0.437"
"CA";"0.854"
"CF";"0.302"
"TD";"99999999999998"
"CL";"0.713"
"CN";"0.528"
"CO";"0.613"
"KM";"99999999999998"
"CG";"0.513"
"CD";"0.339"
"CR";"0.673"
"HR";"0.666"
"CU";"0.656"
"CY";"0.778"
"CZ";"0.767"
"CI";"0.387"
"DK";"0.815"
"DJ";"99999999999998"
"DM";"99999999999998"
"DO";"0.617"
"EC";"0.654"
"EG";"0.563"
"SV";"0.557"
"GQ";"99999999999998"
"ER";"99999999999998"
"EE";"0.708"
"ET";"99999999999998"
"FJ";"0.658"
"FI";"0.798"
"FR";"0.803"
"GA";"0.628"
"GM";"0.345"
"GE";"99999999999998"
"DE";"0.822"
"GH";"0.468"
"GR";"0.769"
"GD";"99999999999998"
"GT";"0.495"
"GN";"0.282"
"GW";"99999999999998"
"GY";"0.566"
"HT";"0.413"
"HN";"0.522"
"HK";"0.799"
"HU";"0.719"
"IS";"0.812"
"IN";"0.445"
"ID";"0.545"
"IR";"0.614"
"IQ";"0.561"
"IE";"0.780"
"IL";"0.806"
"IT";"0.784"
"JM";"0.667"
"JP";"0.828"
"JO";"0.662"
"KZ";"0.676"
"KE";"0.463"
"KI";"99999999999998"
"KR";"0.759"
"KW";"0.695"
"KG";"0.586"
"LA";"0.414"
"LV";"0.668"
"LB";"99999999999998"
"LS";"0.487"
"LR";"99999999999998"
"LY";"0.700"
"LI";"99999999999998"
"LT";"0.700"
"LU";"0.799"
"MG";"99999999999998"
"MW";"0.346"
"MY";"0.667"
"MV";"99999999999998"
"ML";"0.240"
"MT";"0.750"
"MR";"0.403"
"MU";"0.638"
"MX";"0.662"
"FM";"99999999999998"
"MD";"0.619"
"MN";"0.546"
"ME";"99999999999998"
"MA";"0.474"
"MZ";"0.215"
"MM";"0.381"
"NA";"0.588"
"NP";"0.398"
"NL";"0.840"
"NZ";"0.836"
"NI";"0.503"
"NE";"0.222"
"NG";"99999999999998"
"NO";"0.870"
"OM";"99999999999998"
"PK";"0.418"
"PW";"99999999999998"
"PA";"0.682"
"PG";"0.389"
"PY";"0.596"
"PE";"0.621"
"PH";"0.591"
"PL";"0.723"
"PT";"0.745"
"QA";"0.763"
"RO";"0.677"
"RU";"0.710"
"RW";"0.203"
"KN";"99999999999998"
"LC";"99999999999998"
"VC";"99999999999998"
"WS";"0.610"
"ST";"0.464"
"SA";"0.715"
"SN";"0.365"
"RS";"0.684"
"SC";"99999999999998"
"SL";"0.265"
"SG";"0.751"
"SK";"0.736"
"SI";"0.768"
"SB";"99999999999998"
"ZA";"0.645"
"SS";"99999999999998"
"ES";"0.783"
"LK";"0.638"
"SD";"0.352"
"SR";"99999999999998"
"SZ";"0.549"
"SE";"0.839"
"CH";"0.840"
"SY";"0.569"
"TJ";"0.571"
"TZ";"0.368"
"TH";"0.598"
"MK";"99999999999998"
"TL";"99999999999998"
"TG";"0.389"
"TO";"0.661"
"TT";"0.673"
"TN";"0.590"
"TR";"0.594"
"TM";"99999999999998"
"UG";"0.311"
"UA";"0.682"
"AE";"0.748"
"GB";"0.813"
"US";"0.871"
"UY";"0.703"
"UZ";"99999999999998"
"VU";"99999999999998"
"VE";"0.653"
"VN";"0.508"
"YE";"0.414"
"ZM";"0.402"
"ZW";"0.479"
