;indicadoressociais_10
"AF";"0.454"
"AL";"0.738"
"DZ";"0.724"
"AD";"0.819"
"AO";"0.495"
"AG";"0.782"
"AR";"0.816"
"AM";"0.729"
"AU";"0.927"
"AT";"0.880"
"AZ";"0.741"
"BS";"0.788"
"BH";"0.812"
"BD";"0.545"
"BB";"0.780"
"BY";"0.787"
"BE";"0.884"
"BZ";"0.700"
"BJ";"0.454"
"BT";"0.572"
"BO";"0.649"
"BA";"0.711"
"BW";"0.678"
"BR";"0.724"
"BN";"0.846"
"BG";"0.775"
"BF";"0.377"
"BI";"0.385"
"CV";"0.632"
"KH";"0.533"
"CM";"0.486"
"CA";"0.903"
"CF";"0.361"
"TD";"0.370"
"CL";"0.820"
"CN";"0.700"
"CO";"0.700"
"KM";"0.479"
"CG";"0.558"
"CD";"0.398"
"CR";"0.752"
"HR";"0.808"
"CU";"0.780"
"CY";"0.847"
"CZ";"0.861"
"CI";"0.441"
"DK";"0.910"
"DJ";"0.451"
"DM";"0.722"
"DO";"0.703"
"EC";"0.710"
"EG";"0.671"
"SV";"0.666"
"GQ";"0.580"
"ER";"0.405"
"EE";"0.838"
"ET";"0.411"
"FJ";"0.709"
"FI";"0.878"
"FR";"0.882"
"GA";"0.664"
"GM";"0.441"
"GE";"0.742"
"DE";"0.912"
"GH";"0.554"
"GR";"0.860"
"GD";"0.741"
"GT";"0.609"
"GN";"0.385"
"GW";"0.410"
"GY";"0.624"
"HT";"0.470"
"HN";"0.611"
"HK";"0.898"
"HU";"0.821"
"IS";"0.894"
"IN";"0.580"
"ID";"0.662"
"IR";"0.745"
"IQ";"0.649"
"IE";"0.909"
"IL";"0.883"
"IT";"0.872"
"JM";"0.722"
"JP";"0.884"
"JO";"0.737"
"KZ";"0.766"
"KE";"0.530"
"KI";"0.585"
"KR";"0.884"
"KW";"0.792"
"KG";"0.632"
"LA";"0.542"
"LV";"0.810"
"LB";"0.758"
"LS";"0.469"
"LR";"0.406"
"LY";"0.756"
"LI";"0.904"
"LT";"0.826"
"LU";"0.894"
"MG";"0.504"
"MW";"0.444"
"MY";"0.774"
"MV";"0.663"
"ML";"0.404"
"MT";"0.826"
"MR";"0.487"
"MU";"0.748"
"MX";"0.745"
"FM";"0.638"
"MD";"0.672"
"MN";"0.701"
"ME";"0.792"
"MA";"0.612"
"MZ";"0.397"
"MM";"0.526"
"NA";"0.612"
"NP";"0.529"
"NL";"0.911"
"NZ";"0.901"
"NI";"0.620"
"NE";"0.323"
"NG";"0.500"
"NO";"0.939"
"OM";"0.797"
"PK";"0.525"
"PW";"0.770"
"PA";"0.758"
"PG";"0.494"
"PY";"0.675"
"PE";"0.721"
"PH";"0.669"
"PL";"0.829"
"PT";"0.818"
"QA";"0.827"
"RO";"0.798"
"RU";"0.785"
"RW";"0.464"
"KN";"0.741"
"LC";"0.733"
"VC";"0.712"
"WS";"0.693"
"ST";"0.546"
"SA";"0.804"
"SN";"0.455"
"RS";"0.757"
"SC";"0.744"
"SL";"0.392"
"SG";"0.911"
"SK";"0.829"
"SI";"0.876"
"SB";"0.497"
"ZA";"0.638"
"SS";"0.429"
"ES";"0.867"
"LK";"0.746"
"SD";"0.463"
"SR";"0.704"
"SZ";"0.526"
"SE";"0.901"
"CH";"0.932"
"SY";"0.646"
"TJ";"0.608"
"TZ";"0.498"
"TH";"0.720"
"MK";"0.735"
"TL";"0.607"
"TG";"0.457"
"TO";"0.712"
"TT";"0.774"
"TN";"0.714"
"TR";"0.737"
"TM";"0.665"
"UG";"0.477"
"UA";"0.734"
"AE";"0.824"
"GB";"0.902"
"US";"0.910"
"UY";"0.780"
"UZ";"0.664"
"VU";"0.591"
"VE";"0.756"
"VN";"0.655"
"YE";"0.493"
"ZM";"0.543"
"ZW";"0.452"
