;economia_23
"AF";"99999999999998"
"AL";"3.8"
"AD";"99999999999998"
"AO";"99999999999998"
"AR";"99999999999998"
"AM";"99999999999998"
"AU";"5.1"
"AT";"5.4"
"AZ";"3.3"
"BS";"99999999999998"
"BH";"99999999999998"
"BD";"99999999999998"
"BB";"99999999999998"
"BY";"99999999999998"
"BE";"3.0"
"BZ";"99999999999998"
"BJ";"99999999999998"
"BT";"99999999999998"
"BO";"5.6"
"BW";"99999999999998"
"BR";"4.5"
"BN";"99999999999998"
"BG";"3.4"
"BF";"99999999999998"
"BI";"5.0"
"CV";"99999999999998"
"KH";"99999999999998"
"CM";"99999999999998"
"CA";"6.3"
"CF";"99999999999998"
"TD";"99999999999998"
"CL";"2.6"
"CN";"1.8"
"CO";"99999999999998"
"KM";"99999999999998"
"CG";"4.9"
"CD";"99999999999998"
"CR";"3.3"
"HR";"99999999999998"
"CU";"99999999999998"
"CY";"3.7"
"CZ";"4.6"
"CI";"4.3"
"DK";"7.5"
"DJ";"99999999999998"
"DO";"1.0"
"EC";"2.0"
"EG";"4.6"
"SV";"99999999999998"
"EE";"6.1"
"ET";"99999999999998"
"FJ";"99999999999998"
"FI";"6.8"
"FR";"5.8"
"GA";"99999999999998"
"GM";"2.6"
"GE";"99999999999998"
"DE";"4.4"
"GH";"99999999999998"
"GR";"99999999999998"
"GT";"1.6"
"GN";"99999999999998"
"GW";"99999999999998"
"GY";"3.6"
"HN";"3.6"
"HK";"99999999999998"
"HU";"4.9"
"IS";"4.7"
"IN";"99999999999998"
"ID";"1.0"
"IR";"4.4"
"IE";"4.9"
"IL";"99999999999998"
"IT";"4.3"
"JM";"3.7"
"JP";"3.5"
"KZ";"4.0"
"KE";"99999999999998"
"KI";"99999999999998"
"KR";"3.0"
"KW";"99999999999998"
"KG";"6.2"
"LA";"99999999999998"
"LV";"99999999999998"
"LB";"2.2"
"LS";"10.1"
"LR";"99999999999998"
"LI";"99999999999998"
"LT";"4.8"
"LU";"3.5"
"MG";"99999999999998"
"MW";"4.0"
"MY";"4.3"
"MV";"99999999999998"
"ML";"99999999999998"
"MT";"99999999999998"
"MR";"99999999999998"
"MU";"99999999999998"
"MX";"3.9"
"FM";"99999999999998"
"MD";"99999999999998"
"MC";"1.1"
"MN";"99999999999998"
"MA";"5.0"
"MZ";"99999999999998"
"MM";"1.2"
"NA";"99999999999998"
"NP";"99999999999998"
"NL";"4.7"
"NZ";"5.7"
"NI";"99999999999998"
"NE";"2.9"
"NO";"7.7"
"OM";"3.4"
"PK";"2.8"
"PW";"99999999999998"
"PA";"4.8"
"PY";"99999999999998"
"PE";"99999999999998"
"PH";"3.0"
"PL";"4.4"
"PT";"4.6"
"QA";"99999999999998"
"RO";"99999999999998"
"RU";"99999999999998"
"RW";"99999999999998"
"KN";"3.5"
"LC";"99999999999998"
"VC";"99999999999998"
"WS";"99999999999998"
"SM";"3.4"
"ST";"99999999999998"
"SA";"5.7"
"SN";"99999999999998"
"RS";"99999999999998"
"SC";"7.7"
"SL";"99999999999998"
"SG";"99999999999998"
"SK";"4.3"
"SI";"4.9"
"SB";"99999999999998"
"ZA";"99999999999998"
"SS";"99999999999998"
"ES";"4.4"
"LK";"3.0"
"SD";"99999999999998"
"SZ";"5.7"
"SE";"6.2"
"CH";"5.1"
"TJ";"2.1"
"TZ";"99999999999998"
"TH";"3.2"
"MK";"4.5"
"TL";"99999999999998"
"TG";"99999999999998"
"TO";"99999999999998"
"TT";"3.6"
"TN";"6.4"
"TR";"2.3"
"TM";"99999999999998"
"TV";"99999999999998"
"UG";"99999999999998"
"UA";"99999999999998"
"GB";"4.8"
"US";"4.9"
"UY";"2.5"
"VU";"99999999999998"
"VE";"99999999999998"
"VN";"99999999999998"
"YE";"99999999999998"
"ZM";"1.8"
"ZW";"99999999999998"
