;economia_23
"AF";"99999999999998"
"AL";"3.2"
"AD";"1.6"
"AO";"2.1"
"AR";"3.5"
"AM";"2.7"
"AU";"4.9"
"AT";"5.3"
"AZ";"3.0"
"BS";"99999999999998"
"BH";"99999999999998"
"BD";"99999999999998"
"BB";"5.6"
"BY";"5.9"
"BE";"5.8"
"BZ";"99999999999998"
"BJ";"3.6"
"BT";"7.1"
"BO";"99999999999998"
"BW";"10.7"
"BR";"4.5"
"BN";"99999999999998"
"BG";"4.1"
"BF";"4.4"
"BI";"3.6"
"CV";"99999999999998"
"KH";"99999999999998"
"CM";"3.1"
"CA";"4.8"
"CF";"1.6"
"TD";"1.7"
"CL";"3.2"
"CN";"99999999999998"
"CO";"4.0"
"KM";"99999999999998"
"CG";"1.8"
"CD";"99999999999998"
"CR";"99999999999998"
"HR";"99999999999998"
"CU";"10.6"
"CY";"6.3"
"CZ";"3.9"
"CI";"4.1"
"DK";"8.1"
"DJ";"8.4"
"DO";"99999999999998"
"EC";"99999999999998"
"EG";"4.8"
"SV";"2.7"
"EE";"4.8"
"ET";"99999999999998"
"FJ";"5.1"
"FI";"6.0"
"FR";"5.5"
"GA";"99999999999998"
"GM";"1.1"
"GE";"2.5"
"DE";"99999999999998"
"GH";"7.4"
"GR";"4.0"
"GT";"99999999999998"
"GN";"1.8"
"GW";"99999999999998"
"GY";"8.1"
"HN";"99999999999998"
"HK";"4.1"
"HU";"5.4"
"IS";"7.4"
"IN";"3.1"
"ID";"2.9"
"IR";"4.2"
"IE";"4.5"
"IL";"5.7"
"IT";"4.2"
"JM";"4.6"
"JP";"3.5"
"KZ";"2.3"
"KE";"7.3"
"KI";"99999999999998"
"KR";"3.9"
"KW";"4.7"
"KG";"4.9"
"LA";"2.4"
"LV";"99999999999998"
"LB";"2.7"
"LS";"14.8"
"LR";"99999999999998"
"LI";"99999999999998"
"LT";"4.9"
"LU";"99999999999998"
"MG";"3.8"
"MW";"99999999999998"
"MY";"99999999999998"
"MV";"5.2"
"ML";"4.0"
"MT";"99999999999998"
"MR";"99999999999998"
"MU";"4.2"
"MX";"4.9"
"FM";"99999999999998"
"MD";"7.2"
"MC";"99999999999998"
"MN";"99999999999998"
"MA";"99999999999998"
"MZ";"4.4"
"MM";"99999999999998"
"NA";"99999999999998"
"NP";"3.4"
"NL";"5.2"
"NZ";"6.3"
"NI";"99999999999998"
"NE";"99999999999998"
"NO";"6.9"
"OM";"3.5"
"PK";"2.3"
"PW";"99999999999998"
"PA";"99999999999998"
"PY";"99999999999998"
"PE";"2.9"
"PH";"2.4"
"PL";"5.5"
"PT";"5.1"
"QA";"4.0"
"RO";"3.5"
"RU";"3.8"
"RW";"99999999999998"
"KN";"3.9"
"LC";"5.1"
"VC";"6.4"
"WS";"99999999999998"
"SM";"99999999999998"
"ST";"5.3"
"SA";"5.4"
"SN";"5.1"
"RS";"99999999999998"
"SC";"99999999999998"
"SL";"2.8"
"SG";"3.2"
"SK";"3.8"
"SI";"5.6"
"SB";"99999999999998"
"ZA";"5.1"
"SS";"99999999999998"
"ES";"4.1"
"LK";"99999999999998"
"SD";"1.6"
"SZ";"7.4"
"SE";"6.6"
"CH";"5.2"
"TJ";"3.5"
"TZ";"4.6"
"TH";"3.9"
"MK";"99999999999998"
"TL";"99999999999998"
"TG";"3.4"
"TO";"99999999999998"
"TT";"99999999999998"
"TN";"6.5"
"TR";"99999999999998"
"TM";"99999999999998"
"TV";"99999999999998"
"UG";"99999999999998"
"UA";"6.1"
"GB";"5.2"
"US";"5.1"
"UY";"2.7"
"VU";"99999999999998"
"VE";"99999999999998"
"VN";"99999999999998"
"YE";"99999999999998"
"ZM";"1.7"
"ZW";"99999999999998"
