;economia_24
"AF";"2.1"
"AL";"2.8"
"DZ";"3.8"
"AD";"4.9"
"AO";"2.2"
"AG";"3.9"
"AR";"3.7"
"AM";"1.9"
"AU";"6.3"
"AT";"8.2"
"AZ";"1.1"
"BS";"3.6"
"BH";"2.4"
"BD";"1.0"
"BB";"4.2"
"BY";"3.5"
"BE";"8.0"
"BZ";"3.7"
"BJ";"2.9"
"BT";"4.1"
"BO";"3.8"
"BA";"6.9"
"BW";"3.2"
"BR";"3.7"
"BN";"2.1"
"BG";"3.8"
"BF";"3.0"
"BI";"5.4"
"CV";"3.3"
"KH";"1.3"
"CM";"1.3"
"CA";"7.7"
"CF";"1.8"
"TD";"1.5"
"CL";"3.3"
"CN";"2.8"
"CO";"5.0"
"KM";"1.7"
"CG";"2.0"
"CD";"1.3"
"CR";"7.2"
"HR";"6.3"
"CU";"10.1"
"CY";"3.5"
"CZ";"6.3"
"CI";"1.6"
"DK";"9.3"
"DJ";"5.0"
"DM";"4.0"
"DO";"2.6"
"EC";"2.6"
"EG";"2.0"
"SV";"4.3"
"GQ";"2.6"
"ER";"1.4"
"EE";"4.6"
"ET";"3.7"
"FJ";"2.7"
"FI";"6.8"
"FR";"8.7"
"GA";"2.1"
"GM";"3.7"
"GE";"1.7"
"DE";"8.3"
"GH";"3.6"
"GR";"6.7"
"GD";"3.0"
"GT";"2.2"
"GN";"2.0"
"GW";"1.0"
"GY";"4.6"
"HT";"1.8"
"HN";"3.9"
"HU";"5.0"
"IS";"7.0"
"IN";"1.2"
"ID";"1.0"
"IR";"2.5"
"IQ";"2.5"
"IE";"5.5"
"IL";"4.6"
"IT";"7.0"
"JM";"2.8"
"JP";"8.3"
"JO";"5.9"
"KZ";"2.3"
"KE";"2.6"
"KI";"8.6"
"KR";"3.8"
"KW";"2.3"
"KG";"3.7"
"LA";"0.8"
"LV";"3.9"
"LB";"2.7"
"LS";"9.1"
"LR";"3.9"
"LY";"3.0"
"LT";"4.7"
"LU";"6.3"
"MG";"2.4"
"MW";"6.9"
"MY";"2.1"
"MV";"5.6"
"ML";"3.0"
"MT";"6.5"
"MH";"14.3"
"MR";"1.3"
"MU";"2.5"
"MX";"3.1"
"FM";"12.5"
"MD";"5.3"
"MC";"3.7"
"MN";"2.6"
"ME";"4.2"
"MA";"2.1"
"MZ";"2.7"
"MM";"0.3"
"NA";"5.3"
"NR";"7.1"
"NP";"3.2"
"NL";"9.1"
"NZ";"9.3"
"NI";"4.1"
"NE";"2.5"
"NG";"1.2"
"NO";"7.7"
"OM";"2.0"
"PK";"0.9"
"PW";"6.5"
"PA";"5.1"
"PG";"4.0"
"PY";"3.8"
"PE";"2.6"
"PH";"1.3"
"PL";"4.7"
"PT";"6.7"
"QA";"1.5"
"RO";"4.4"
"RU";"3.6"
"RW";"2.8"
"KN";"2.3"
"LC";"3.3"
"VC";"4.1"
"WS";"5.1"
"SM";"5.3"
"ST";"2.6"
"SA";"2.5"
"SN";"2.3"
"RS";"6.0"
"SC";"3.2"
"SL";"2.6"
"SG";"1.3"
"SK";"5.6"
"SI";"6.7"
"SB";"4.7"
"ZA";"4.1"
"SS";"99999999999998"
"ES";"7.0"
"LK";"1.4"
"SD";"2.6"
"SR";"2.9"
"SZ";"6.0"
"SE";"9.9"
"CH";"7.2"
"SY";"1.5"
"TJ";"1.7"
"TZ";"2.5"
"TH";"5.0"
"MK";"4.3"
"TL";"0.7"
"TG";"1.7"
"TO";"3.2"
"TT";"2.7"
"TN";"4.2"
"TR";"4.2"
"TM";"1.3"
"TV";"16.8"
"UG";"2.6"
"UA";"3.7"
"AE";"2.7"
"GB";"7.8"
"US";"8.1"
"UY";"5.5"
"UZ";"2.9"
"VU";"3.3"
"VE";"2.3"
"VN";"2.8"
"YE";"1.4"
"ZM";"2.1"
"ZW";"2.1"
