;economia_22
"AF";"99999999999998"
"AL";"99999999999998"
"DZ";"99999999999998"
"AS";"99999999999998"
"AD";"99999999999998"
"AO";"99999999999998"
"AG";"99999999999998"
"AR";"0.42"
"AM";"99999999999998"
"AW";"99999999999998"
"AU";"1.66"
"AT";"1.59"
"AZ";"0.24"
"BS";"99999999999998"
"BH";"99999999999998"
"BD";"99999999999998"
"BB";"99999999999998"
"BY";"1.00"
"BE";"1.73"
"BZ";"99999999999998"
"BJ";"99999999999998"
"BM";"99999999999998"
"BT";"99999999999998"
"BO";"0.33"
"BA";"99999999999998"
"BW";"99999999999998"
"BR";"99999999999998"
"VG";"99999999999998"
"BN";"99999999999998"
"BG";"0.51"
"BF";"0.16"
"BI";"99999999999998"
"CV";"99999999999998"
"KH";"99999999999998"
"CM";"99999999999998"
"CA";"1.61"
"KY";"99999999999998"
"CF";"99999999999998"
"TD";"99999999999998"
"CL";"99999999999998"
"CN";"0.56"
"CO";"0.30"
"KM";"99999999999998"
"CD";"99999999999998"
"CG";"99999999999998"
"CR";"0.30"
"CI";"99999999999998"
"HR";"99999999999998"
"CU";"0.35"
"CW";"99999999999998"
"CY";"99999999999998"
"CZ";"0.90"
"DK";"1.80"
"DJ";"99999999999998"
"DM";"99999999999998"
"DO";"99999999999998"
"EC";"0.07"
"EG";"0.21"
"SV";"99999999999998"
"GQ";"99999999999998"
"ER";"99999999999998"
"EE";"99999999999998"
"ET";"99999999999998"
"FO";"99999999999998"
"FJ";"99999999999998"
"FI";"2.45"
"FR";"2.21"
"PF";"99999999999998"
"GA";"99999999999998"
"GM";"99999999999998"
"GE";"0.33"
"DE";"2.13"
"GH";"99999999999998"
"GI";"99999999999998"
"GR";"99999999999998"
"GL";"99999999999998"
"GD";"99999999999998"
"GU";"99999999999998"
"GT";"99999999999998"
"GN";"99999999999998"
"GW";"99999999999998"
"GY";"99999999999998"
"HT";"99999999999998"
"HN";"99999999999998"
"HK";"99999999999998"
"HU";"0.63"
"IS";"99999999999998"
"IN";"0.63"
"ID";"99999999999998"
"IR";"99999999999998"
"IQ";"99999999999998"
"IE";"1.27"
"IM";"99999999999998"
"IL";"2.60"
"IT";"0.95"
"JM";"99999999999998"
"JP";"2.69"
"JO";"99999999999998"
"KZ";"99999999999998"
"KE";"99999999999998"
"KI";"99999999999998"
"KP";"99999999999998"
"KR";"2.24"
"XK";"99999999999998"
"KW";"99999999999998"
"KG";"99999999999998"
"LA";"99999999999998"
"LV";"0.40"
"LB";"99999999999998"
"LS";"99999999999998"
"LR";"99999999999998"
"LY";"99999999999998"
"LI";"99999999999998"
"LT";"0.49"
"LU";"99999999999998"
"MO";"99999999999998"
"MK";"99999999999998"
"MG";"99999999999998"
"MW";"99999999999998"
"MY";"0.22"
"MV";"99999999999998"
"ML";"99999999999998"
"MT";"99999999999998"
"MH";"99999999999998"
"MR";"99999999999998"
"MU";"99999999999998"
"MX";"0.26"
"FM";"99999999999998"
"MD";"0.87"
"MC";"99999999999998"
"MN";"99999999999998"
"ME";"99999999999998"
"MA";"99999999999998"
"MZ";"99999999999998"
"MM";"99999999999998"
"NA";"99999999999998"
"NR";"99999999999998"
"NP";"99999999999998"
"NL";"1.86"
"NC";"99999999999998"
"NZ";"99999999999998"
"NI";"99999999999998"
"NE";"99999999999998"
"NG";"99999999999998"
"MP";"99999999999998"
"NO";"99999999999998"
"OM";"99999999999998"
"PK";"99999999999998"
"PW";"99999999999998"
"PA";"0.31"
"PG";"99999999999998"
"PY";"99999999999998"
"PE";"99999999999998"
"PH";"99999999999998"
"PL";"0.64"
"PT";"0.55"
"PR";"99999999999998"
"QA";"99999999999998"
"RO";"0.67"
"RU";"0.96"
"RW";"99999999999998"
"WS";"99999999999998"
"SM";"99999999999998"
"ST";"99999999999998"
"SA";"99999999999998"
"SN";"99999999999998"
"RS";"99999999999998"
"SC";"99999999999998"
"SL";"99999999999998"
"SG";"1.32"
"SX";"99999999999998"
"SK";"0.89"
"SI";"1.27"
"SB";"99999999999998"
"SO";"99999999999998"
"ZA";"99999999999998"
"SS";"99999999999998"
"ES";"0.79"
"LK";"0.18"
"KN";"99999999999998"
"LC";"99999999999998"
"MF";"99999999999998"
"VC";"99999999999998"
"SD";"99999999999998"
"SR";"99999999999998"
"SE";"99999999999998"
"CH";"2.45"
"SY";"99999999999998"
"TJ";"99999999999998"
"TZ";"99999999999998"
"TH";"0.12"
"TL";"99999999999998"
"TG";"99999999999998"
"TO";"99999999999998"
"TT";"0.10"
"TN";"99999999999998"
"TR";"0.45"
"TM";"99999999999998"
"TC";"99999999999998"
"TV";"99999999999998"
"UG";"99999999999998"
"UA";"99999999999998"
"AE";"99999999999998"
"GB";"1.61"
"US";"2.44"
"UY";"0.26"
"UZ";"99999999999998"
"VU";"99999999999998"
"VE";"99999999999998"
"VN";"99999999999998"
"VI";"99999999999998"
"YE";"99999999999998"
"ZM";"0.01"
"ZW";"99999999999998"
