;populacao_2
"AF";"5674684"
"AL";"1107310"
"DZ";"7314624"
"AS";"13749"
"AD";"13053"
"AO";"3300465"
"AI";"2988"
"AG";"32057"
"AR";"12022056"
"AM";"1232156"
"AW";"28888"
"AU";"6456396"
"AT";"3530442"
"AZ";"2519915"
"BS";"83887"
"BH";"114923"
"BD";"33344392"
"BB";"112247"
"BY";"4126055"
"BE";"4721171"
"BZ";"60684"
"BJ";"1400496"
"BM";"25477"
"BT";"151281"
"BO";"2243496"
"BA";"1848923"
"BW";"332258"
"BR";"47494555"
"VG";"5217"
"BN";"66825"
"BG";"4252690"
"BF";"2799620"
"BI";"1679049"
"CV";"128733"
"KH";"3480245"
"CM";"3221295"
"CA";"10756367"
"KY";"4389"
"CF";"898651"
"TD";"1785527"
"CL";"4703150"
"CN";"423324343"
"HK";"1974775"
"MO";"126628"
"TW";"7639393"
"CO";"10979408"
"KM";"114680"
"CG";"678412"
"CK";"10945"
"CR";"938157"
"CI";"2705997"
"HR";"2140260"
"CU";"4431084"
"CW";"70706"
"CY";"303231"
"CZ";"4750921"
"KP";"6813288"
"CD";"9698036"
"DK";"2448873"
"DJ";"79490"
"DM";"34255"
"DO";"2274459"
"EC";"3048103"
"EG";"17749450"
"SV";"1824932"
"GQ";"152107"
"ER";"903119"
"EE";"622252"
"ET";"14138851"
"FO";"20355"
"FK";"990"
"FJ";"264720"
"FI";"2227693"
"FR";"24986169"
"GF";"24881"
"PF";"56555"
"GA";"282664"
"GM";"228877"
"GE";"2218776"
"DE";"37201486"
"GH";"4378405"
"GI";"13724"
"GR";"4258079"
"GL";"24180"
"GD";"44675"
"GP";"156565"
"GU";"46740"
"GT";"2845057"
"GN";"2081217"
"GW";"350951"
"GY";"353829"
"HT";"2317707"
"VA";"320"
"HN";"1354307"
"HU";"5024459"
"IS";"103355"
"IN";"286628712"
"ID";"57246217"
"IR";"14652471"
"IQ";"5044848"
"IE";"1480853"
"IM";"25800"
"IL";"1437310"
"IT";"26115662"
"JM";"916277"
"JP";"51718760"
"JO";"891460"
"KZ";"6315093"
"KE";"5612896"
"KI";"25293"
"KW";"421254"
"KG";"1422162"
"LA";"1326765"
"LV";"1088826"
"LB";"1160212"
"LS";"477488"
"LR";"708866"
"LY";"1100451"
"LI";"10575"
"LT";"1471278"
"LU";"166437"
"MG";"3317225"
"MW";"2238627"
"MY";"5475967"
"MV";"59843"
"ML";"2977674"
"MT";"155075"
"MH";"10395"
"MQ";"159284"
"MR";"571883"
"MU";"413486"
"YT";"19398"
"MX";"25948894"
"FM";"130080"
"MC";"10667"
"MN";"629853"
"ME";"253761"
"MS";"5812"
"MA";"7911800"
"MZ";"4480199"
"MM";"12856464"
"NA";"385447"
"NR";"3242"
"NP";"5964316"
"NL";"6485900"
"NC";"55059"
"NZ";"1408238"
"NI";"1199217"
"NE";"2182934"
"NG";"27993649"
"NU";"2560"
"MP";"6905"
"NO";"1927457"
"OM";"355654"
"PK";"30712468"
"PW";"5828"
"PA";"772716"
"PG";"1294613"
"PY";"1234122"
"PE";"6699892"
"PH";"18113981"
"PL";"15847354"
"PT";"4131876"
"PR";"1327871"
"QA";"69899"
"KR";"16175547"
"MD";"1680918"
"RE";"222632"
"RO";"10093779"
"RU";"59393675"
"RW";"1842879"
"SH";"2443"
"KN";"21036"
"LC";"50091"
"PM";"2722"
"VC";"42785"
"WS";"72955"
"SM";"9647"
"ST";"37217"
"SA";"2971583"
"SN";"2143035"
"RS";"4013949"
"SC";"26235"
"SL";"1311020"
"SG";"1060952"
"SX";"3279"
"SK";"2238881"
"SI";"808125"
"SB";"84232"
"SO";"1702721"
"ZA";"11416711"
"SS";"1819112"
"ES";"16580582"
"LK";"6429448"
"PS";"568947"
"SD";"5142239"
"SR";"185281"
"SZ";"211570"
"SE";"4021777"
"CH";"3014178"
"SY";"3217840"
"TJ";"1435611"
"MK";"873043"
"TH";"18485691"
"TL";"307313"
"TG";"1043945"
"TK";"752"
"TO";"43201"
"TT";"469593"
"TN";"2537816"
"TR";"17323802"
"TM";"1073705"
"TC";"2661"
"TV";"3557"
"UG";"4695220"
"UA";"21411141"
"AE";"149077"
"GB";"26997587"
"TZ";"6690715"
"US";"103209657"
"VI";"32350"
"UY";"1396586"
"UZ";"5890599"
"VU";"45196"
"VE";"5883193"
"VN";"21396278"
"WF";"4318"
"EH";"42128"
"YE";"3052248"
"ZM";"2073834"
"ZW";"2578635"
