;populacao_2
"AF";"11919888"
"AL";"1567933"
"DZ";"16404308"
"AS";"30161"
"AD";"38197"
"AO";"8895760"
"AI";"5927"
"AG";"41503"
"AR";"18740331"
"AM";"1418257"
"AW";"46310"
"AU";"9828002"
"AT";"3972392"
"AZ";"4106160"
"BS";"153846"
"BH";"457881"
"BD";"70901942"
"BB";"130723"
"BY";"4558487"
"BE";"5107599"
"BZ";"135381"
"BJ";"3719314"
"BM";"31533"
"BT";"323874"
"BO";"4417336"
"BA";"1856641"
"BW";"890017"
"BR";"90095058"
"VG";"11276"
"BN";"179328"
"BG";"3798420"
"BF";"6231414"
"BI";"3419201"
"CV";"223620"
"KH";"6239025"
"CM";"8240245"
"CA";"15674053"
"KY";"22490"
"CF";"1961524"
"TD";"4664673"
"CL";"7813921"
"CN";"671338902"
"HK";"3286376"
"MO";"218867"
"TW";"11352617"
"CO";"20827975"
"KM";"293594"
"CG";"1749728"
"CK";"9811"
"CR";"2069533"
"CI";"9087776"
"HR";"2112663"
"CU";"5640579"
"CW";"60133"
"CY";"503070"
"CZ";"4981589"
"KP";"11484370"
"CD";"25514332"
"DK";"2667009"
"DJ";"381297"
"DM";"35023"
"DO";"4488589"
"EC";"6658155"
"EG";"37260759"
"SV";"2861632"
"GQ";"364461"
"ER";"1869344"
"EE";"639222"
"ET";"36182719"
"FO";"24841"
"FK";"1455"
"FJ";"415701"
"FI";"2555698"
"FR";"29697961"
"GF";"94134"
"PF";"127593"
"GA";"661827"
"GM";"671768"
"GE";"2164819"
"DE";"39863381"
"GH";"10267064"
"GI";"15458"
"GR";"5578140"
"GL";"30238"
"GD";"50757"
"GP";"210696"
"GU";"80433"
"GT";"6129000"
"GN";"4648049"
"GW";"645410"
"GY";"375955"
"HT";"4434216"
"VA";"377"
"HN";"3499588"
"HU";"4816330"
"IS";"144174"
"IN";"574193965"
"ID";"110551672"
"IR";"35080898"
"IQ";"12945369"
"IE";"2020178"
"IM";"36301"
"IL";"3130660"
"IT";"28264719"
"JM";"1344346"
"JP";"62810864"
"JO";"2791225"
"KZ";"7328206"
"KE";"16952795"
"KI";"43795"
"KW";"1279273"
"KG";"2483277"
"LA";"2771786"
"LV";"1058143"
"LB";"1864788"
"LS";"924632"
"LR";"1560292"
"LY";"2904055"
"LI";"16901"
"LT";"1591288"
"LU";"220495"
"MG";"8603150"
"MW";"6085619"
"MY";"12618471"
"MV";"156465"
"ML";"5966827"
"MT";"200874"
"MH";"26562"
"MQ";"184367"
"MR";"1480027"
"MU";"599080"
"YT";"83005"
"MX";"52503482"
"FM";"251960"
"MC";"15994"
"MN";"1230381"
"ME";"302162"
"MS";"2220"
"MA";"14758566"
"MZ";"9497814"
"MM";"23262805"
"NA";"967990"
"NR";"5020"
"NP";"12398495"
"NL";"8029370"
"NC";"113271"
"NZ";"1970665"
"NI";"2589616"
"NE";"6298137"
"NG";"66598567"
"NU";"887"
"MP";"31300"
"NO";"2264873"
"OM";"1332218"
"PK";"76174751"
"PW";"10707"
"PA";"1615913"
"PG";"3054845"
"PY";"2838710"
"PE";"13460954"
"PH";"41739218"
"PL";"18629945"
"PT";"5072426"
"PR";"1819593"
"QA";"446228"
"KR";"24215905"
"MD";"1996960"
"RE";"378274"
"RO";"10606321"
"RU";"67438733"
"RW";"4240324"
"SH";"2322"
"KN";"23520"
"LC";"78750"
"PM";"3103"
"VC";"54672"
"WS";"92248"
"SM";"14105"
"ST";"73715"
"SA";"12436347"
"SN";"5238498"
"RS";"4553032"
"SC";"42702"
"SL";"2565208"
"SG";"2114388"
"SX";"15643"
"SK";"2619095"
"SI";"970169"
"SB";"228891"
"SO";"4927146"
"ZA";"23382829"
"SS";"3740152"
"ES";"20996427"
"LK";"9520999"
"PS";"1744787"
"SD";"14768798"
"SR";"246060"
"SZ";"525060"
"SE";"4432816"
"CH";"3564889"
"SY";"8869735"
"TJ";"3304563"
"MK";"1027171"
"TH";"31797117"
"TL";"487210"
"TG";"2676688"
"TK";"663"
"TO";"50322"
"TT";"637338"
"TN";"4964556"
"TR";"32533847"
"TM";"2290687"
"TC";"11821"
"TV";"4740"
"UG";"13171109"
"UA";"22107012"
"AE";"2561553"
"GB";"29111872"
"TZ";"18346384"
"US";"143024402"
"VI";"52376"
"UY";"1606941"
"UZ";"12837028"
"VU";"101617"
"VE";"12964093"
"VN";"40746888"
"WF";"7327"
"EH";"205878"
"YE";"9834995"
"ZM";"5652012"
"ZW";"6181255"
