;populacao_3
"AF";"9746775"
"AL";"1544339"
"DZ";"15380506"
"AS";"28144"
"AD";"31457"
"AO";"8407377"
"AI";"5617"
"AG";"44196"
"AR";"18926128"
"AM";"1628672"
"AW";"47019"
"AU";"9554318"
"AT";"4152872"
"AZ";"4151288"
"BS";"152791"
"BH";"283386"
"BD";"64436552"
"BB";"140204"
"BY";"5270991"
"BE";"5247226"
"BZ";"122794"
"BJ";"3483088"
"BM";"32953"
"BT";"280699"
"BO";"4158056"
"BA";"1917112"
"BW";"876330"
"BR";"88664347"
"VG";"10028"
"BN";"164492"
"BG";"4100113"
"BF";"5906289"
"BI";"3260004"
"CV";"225203"
"KH";"6246284"
"CM";"7660626"
"CA";"15510713"
"KY";"21333"
"CF";"1907222"
"TD";"4187082"
"CL";"7716710"
"CN";"624197968"
"HK";"3389280"
"MO";"222968"
"TW";"10699374"
"CO";"20423033"
"KM";"269505"
"CG";"1615153"
"CK";"8802"
"CR";"1955051"
"CI";"8076629"
"HR";"2296327"
"CU";"5556416"
"CW";"70077"
"CY";"467863"
"CZ";"5284026"
"KP";"11751350"
"CD";"23731841"
"DK";"2698297"
"DJ";"356818"
"DM";"34868"
"DO";"4271359"
"EC";"6297391"
"EG";"34741727"
"SV";"3040182"
"GQ";"296261"
"ER";"1696519"
"EE";"746552"
"ET";"33360677"
"FO";"22821"
"FK";"1465"
"FJ";"399206"
"FI";"2655375"
"FR";"30384429"
"GF";"78941"
"PF";"115117"
"GA";"620443"
"GM";"619910"
"GE";"2483559"
"DE";"41807312"
"GH";"9373774"
"GI";"16036"
"GR";"5602734"
"GL";"26166"
"GD";"51377"
"GP";"220123"
"GU";"75896"
"GT";"5934007"
"GN";"4422252"
"GW";"634944"
"GY";"378784"
"HT";"4327906"
"VA";"411"
"HN";"3280385"
"HU";"5358401"
"IS";"140100"
"IN";"507537344"
"ID";"105672083"
"IR";"32600985"
"IQ";"11675700"
"IE";"1934529"
"IM";"37401"
"IL";"3050206"
"IT";"29495821"
"JM";"1336798"
"JP";"64904361"
"JO";"2457925"
"KZ";"7813929"
"KE";"15831342"
"KI";"42816"
"KW";"852238"
"KG";"2487724"
"LA";"2672354"
"LV";"1288580"
"LB";"1630222"
"LS";"969393"
"LR";"1443101"
"LY";"2575492"
"LI";"16893"
"LT";"1862857"
"LU";"221319"
"MG";"7916321"
"MW";"5765807"
"MY";"11373103"
"MV";"138433"
"ML";"5527488"
"MT";"199012"
"MH";"25454"
"MQ";"205230"
"MR";"1355236"
"MU";"597454"
"YT";"74271"
"MX";"51213048"
"FM";"248308"
"MC";"16500"
"MN";"1201827"
"ME";"310503"
"MS";"2493"
"MA";"14555638"
"MZ";"9401476"
"MM";"23575666"
"NA";"970748"
"NR";"5050"
"NP";"11934587"
"NL";"8037448"
"NC";"105071"
"NZ";"1965009"
"NI";"2539701"
"NE";"5718338"
"NG";"60667141"
"NU";"932"
"MP";"37330"
"NO";"2270364"
"OM";"994740"
"PK";"67052146"
"PW";"8715"
"PA";"1503311"
"PG";"2741051"
"PY";"2619221"
"PE";"12964039"
"PH";"38711185"
"PL";"19835193"
"PT";"5358266"
"PR";"1969440"
"QA";"205925"
"KR";"23610503"
"MD";"2190316"
"RE";"377189"
"RO";"11302968"
"RU";"77887024"
"RW";"4110739"
"SH";"2574"
"KN";"22579"
"LC";"80086"
"PM";"3152"
"VC";"53568"
"WS";"83685"
"SM";"13825"
"ST";"69794"
"SA";"9455086"
"SN";"5019555"
"RS";"4831598"
"SC";"40731"
"SL";"2310949"
"SG";"1958656"
"SX";"16334"
"SK";"2777535"
"SI";"1017729"
"SB";"200523"
"SO";"4495284"
"ZA";"23287951"
"SS";"3362998"
"ES";"20826422"
"LK";"9413880"
"PS";"1589044"
"SD";"13585671"
"SR";"234066"
"SZ";"550652"
"SE";"4489380"
"CH";"3665728"
"SY";"8109037"
"TJ";"3102545"
"MK";"1015481"
"TH";"31862213"
"TL";"429593"
"TG";"2505440"
"TK";"782"
"TO";"48198"
"TT";"637370"
"TN";"4833191"
"TR";"32096110"
"TM";"2293294"
"TC";"9314"
"TV";"4856"
"UG";"12155006"
"UA";"26105923"
"AE";"1025572"
"GB";"30228530"
"TZ";"17263715"
"US";"143099301"
"VI";"56229"
"UY";"1713808"
"UZ";"12491925"
"VU";"90418"
"VE";"12194220"
"VN";"40734159"
"WF";"7244"
"EH";"149682"
"YE";"8834050"
"ZM";"5323082"
"ZW";"6215453"
