;populacao_3
"AF";"30087720"
"AL";"1329715"
"DZ";"28284347"
"AS";"29033"
"AD";"39569"
"AO";"37751680"
"AI";"7956"
"AG";"64723"
"AR";"27919531"
"AM";"1427965"
"AW";"55793"
"AU";"16577073"
"AT";"4488839"
"AZ";"5553008"
"BS";"241232"
"BH";"885291"
"BD";"100928552"
"BB";"147507"
"BY";"4559743"
"BE";"6252379"
"BZ";"299557"
"BJ";"11733335"
"BM";"27629"
"BT";"479784"
"BO";"7932578"
"BA";"1555317"
"BW";"1716644"
"BR";"118997800"
"VG";"19204"
"BN";"263229"
"BG";"2781332"
"BF";"21048471"
"BI";"12738966"
"CV";"366182"
"KH";"11195647"
"CM";"24478397"
"CA";"22494021"
"KY";"41507"
"CF";"4421866"
"TD";"16502396"
"CL";"10367069"
"CN";"665730442"
"HK";"4513758"
"MO";"453820"
"TW";"11658584"
"CO";"28065758"
"KM";"717948"
"CG";"5649326"
"CK";"8912"
"CR";"2887399"
"CI";"25276495"
"HR";"1779747"
"CU";"5428152"
"CW";"94569"
"CY";"686137"
"CZ";"5073408"
"KP";"13799578"
"CD";"96827391"
"DK";"3158597"
"DJ";"655171"
"DM";"38616"
"DO";"6698057"
"EC";"11448416"
"EG";"75519453"
"SV";"3715824"
"GQ";"1292783"
"ER";"4715378"
"EE";"594552"
"ET";"94562307"
"FO";"26995"
"FK";"1432"
"FJ";"501291"
"FI";"2932783"
"FR";"35785361"
"GF";"266833"
"PF";"162088"
"GA";"1718118"
"GM";"2265499"
"GE";"1775007"
"DE";"39937293"
"GH";"25211810"
"GI";"18487"
"GR";"5064187"
"GL";"27406"
"GD";"54706"
"GP";"230121"
"GU";"95372"
"GT";"13496434"
"GN";"13137277"
"GW";"1791959"
"GY";"405558"
"HT";"7139884"
"VA";"436"
"HN";"6612026"
"HU";"4292715"
"IS";"193024"
"IN";"808104957"
"ID";"161761459"
"IR";"46784868"
"IQ";"39488364"
"IE";"2898776"
"IM";"48690"
"IL";"6166875"
"IT";"28091188"
"JM";"1375815"
"JP";"56161521"
"JO";"6917987"
"KZ";"11796801"
"KE";"47270238"
"KI";"89763"
"KW";"2517239"
"KG";"4090798"
"LA";"4573099"
"LV";"806051"
"LB";"2704254"
"LS";"1603778"
"LR";"4749918"
"LY";"4095734"
"LI";"21850"
"LT";"1283507"
"LU";"393160"
"MG";"26484786"
"MW";"20476341"
"MY";"20497924"
"MV";"249236"
"ML";"21426981"
"MT";"206905"
"MH";"32719"
"MQ";"197807"
"MR";"4375846"
"MU";"631183"
"YT";"246535"
"MX";"82189018"
"FM";"326807"
"MC";"23175"
"MN";"2081043"
"ME";"297137"
"MS";"2771"
"MA";"22881356"
"MZ";"33539898"
"MM";"32054357"
"NA";"2170749"
"NR";"5817"
"NP";"18346060"
"NL";"8752146"
"NC";"188019"
"NZ";"2883598"
"NI";"3965761"
"NE";"32887486"
"NG";"198392495"
"NU";"906"
"MP";"27538"
"NO";"3303927"
"OM";"2515188"
"PK";"148866215"
"PW";"13246"
"PA";"2899544"
"PG";"6770858"
"PY";"4417599"
"PE";"20788145"
"PH";"75744385"
"PL";"16811455"
"PT";"4684052"
"PR";"1696348"
"QA";"1138233"
"KR";"25674550"
"MD";"1753652"
"RE";"523793"
"RO";"8473266"
"RU";"70942253"
"RW";"10998099"
"SH";"2164"
"KN";"32226"
"LC";"94113"
"PM";"3755"
"VC";"55528"
"WS";"116768"
"SM";"17930"
"ST";"188403"
"SA";"20271113"
"SN";"16841310"
"RS";"3814225"
"SC";"50173"
"SL";"6460894"
"SG";"3346394"
"SX";"26938"
"SK";"2556421"
"SI";"977735"
"SB";"503378"
"SO";"17597989"
"ZA";"36982130"
"SS";"12416898"
"ES";"22956263"
"LK";"11042812"
"PS";"4717988"
"SD";"39542316"
"SR";"327948"
"SZ";"1061837"
"SE";"5736812"
"CH";"4964649"
"SY";"16815001"
"TJ";"7212650"
"MK";"973196"
"TH";"34054624"
"TL";"1176310"
"TG";"7553854"
"TK";"794"
"TO";"68911"
"TT";"678099"
"TN";"6988964"
"TR";"48426183"
"TM";"4012021"
"TC";"24305"
"TV";"7435"
"UG";"51832411"
"UA";"19508298"
"AE";"4604208"
"GB";"37595622"
"TZ";"67798854"
"US";"194342532"
"VI";"46271"
"UY";"1865829"
"UZ";"20555906"
"VU";"233895"
"VE";"21041705"
"VN";"58117146"
"WF";"5625"
"EH";"475275"
"YE";"23830333"
"ZM";"20145843"
"ZW";"14854187"
