;populacao_5
"BI";"96,8"
"KM";"79,5"
"DJ";"35,0"
"ER";"86,8"
"ET";"90,9"
"KE";"88,2"
"MG";"84,6"
"MW";"93,0"
"MU";"56,1"
"YT";"73,4"
"MZ";"89,9"
"RE";"57,3"
"RW";"96,4"
"SC";"56,7"
"SO";"75,6"
"SS";"91,4"
"UG";"93,1"
"TZ";"90,3"
"ZM";"66,9"
"ZW";"81,1"
"AO";"82,7"
"CM";"75,7"
"CF";"69,9"
"TD";"86,1"
"CG";"58,5"
"CD";"74,7"
"GQ";"72,8"
"GA";"61,6"
"ST";"69,1"
"DZ";"60,0"
"EG";"57,4"
"LY";"40,5"
"MA";"63,7"
"SD";"81,5"
"TN";"54,0"
"EH";"48,0"
"BW";"89,6"
"LS";"90,1"
"NA";"76,9"
"ZA";"52,0"
"SZ";"87,9"
"BJ";"80,3"
"BF";"93,9"
"CV";"79,4"
"CI";"69,5"
"GM";"77,1"
"GH";"70,4"
"GN";"82,0"
"GW";"84,4"
"LR";"71,4"
"ML";"84,6"
"MR";"82,0"
"NE";"89,7"
"NG";"81,1"
"SH";"54,8"
"SN";"67,8"
"SL";"73,7"
"TG";"77,7"
"CN";"82,8"
"HK";"11,1"
"MO";"2,4"
"TW";"61,9"
"KP";"44,3"
"JP";"25,8"
"MN";"52,8"
"KR";"54,9"
"KZ";"48,2"
"KG";"62,1"
"TJ";"63,9"
"TM";"52,4"
"UZ";"61,9"
"AF";"87,2"
"BD";"91,5"
"BT";"92,9"
"IN";"79,4"
"IR";"56,1"
"MV";"85,1"
"NP";"95,6"
"PK";"74,3"
"LK";"82,1"
"BN";"36,1"
"KH";"74,7"
"ID";"81,7"
"LA";"89,4"
"MY";"64,1"
"MM";"76,1"
"PH";"65,5"
"SG";"0,0"
"TH";"77,4"
"TL";"86,1"
"VN";"81,4"
"AM";"37,8"
"AZ";"48,6"
"BH";"15,5"
"CY";"57,2"
"GE";"50,6"
"IQ";"40,7"
"IL";"14,2"
"JO";"43,0"
"KW";"12,1"
"LB";"35,9"
"OM";"65,3"
"QA";"11,2"
"SA";"45,3"
"PS";"42,5"
"SY";"55,6"
"TR";"59,7"
"AE";"20,2"
"YE";"85,8"
"BY";"52,0"
"BG";"44,5"
"CZ";"32,4"
"HU";"38,6"
"PL";"46,0"
"MD";"65,5"
"RO";"58,2"
"RU";"35,1"
"SK";"55,9"
"UA";"43,0"
"DK";"18,8"
"EE";"33,5"
"FO";"70,6"
"FI";"33,8"
"IS";"14,0"
"IE";"47,1"
"IM";"46,0"
"LV";"37,2"
"LT";"46,8"
"NO";"32,8"
"SE";"17,8"
"GB";"22,6"
"AL";"67,7"
"AD";"15,3"
"BA";"70,3"
"HR";"57,5"
"GI";"0,0"
"GR";"34,1"
"VA";"0,0"
"IT";"34,8"
"MT";"10,3"
"ME";"70,3"
"PT";"60,0"
"SM";"33,0"
"RS";"58,1"
"SI";"59,9"
"ES";"31,8"
"MK";"50,6"
"AT";"34,7"
"BE";"5,8"
"FR";"27,7"
"DE";"27,6"
"LI";"81,7"
"LU";"23,9"
"MC";"0,0"
"NL";"37,5"
"CH";"25,9"
"AI";"0,0"
"AG";"65,9"
"AW";"49,4"
"BS";"31,3"
"BB";"61,7"
"VG";"81,7"
"KY";"0,0"
"CU";"37,4"
"CW";"20,5"
"DM";"58,9"
"DO";"56,5"
"GD";"67,6"
"GP";"16,3"
"HT";"79,7"
"JM";"57,1"
"MQ";"32,7"
"MS";"88,3"
"PR";"39,0"
"KN";"65,3"
"LC";"75,3"
"VC";"67,8"
"SX";"0,0"
"TT";"54,2"
"TC";"47,7"
"VI";"26,9"
"BZ";"49,5"
"CR";"59,3"
"SV";"59,5"
"GT";"63,5"
"HN";"69,1"
"MX";"38,7"
"NI";"51,7"
"PA";"51,5"
"AR";"19,8"
"BO";"59,3"
"BR";"41,1"
"CL";"22,8"
"CO";"41,1"
"EC";"59,1"
"FK";"44,6"
"GF";"31,6"
"GY";"70,3"
"PY";"62,1"
"PE";"39,8"
"SR";"50,9"
"UY";"17,0"
"VE";"25,7"
"BM";"0,0"
"CA";"24,2"
"GL";"26,1"
"PM";"11,3"
"US";"26,4"
"AU";"15,5"
"NZ";"17,9"
"FJ";"64,1"
"NC";"46,4"
"PG";"88,5"
"SB";"91,0"
"VU";"87,0"
"FM";"47,0"
"GU";"23,6"
"KI";"72,0"
"MH";"38,8"
"FM";"74,4"
"NR";"0,0"
"MP";"22,7"
"PW";"39,4"
"AS";"28,4"
"CK";"46,1"
"PF";"42,8"
"NU";"78,0"
"WS";"79,2"
"TK";"100,0"
"TO";"79,7"
"TV";"75,8"
"WF";"100,0"
