;populacao_1
"AF";"9731361"
"AL";"1843593"
"DZ";"12295970"
"AS";"22698"
"AD";"17469"
"AO";"6093321"
"AI";"6060"
"AG";"59524"
"AR";"21953929"
"AM";"2144998"
"AW";"57032"
"AU";"11115211"
"AT";"7256091"
"AZ";"4456689"
"BS";"133698"
"BH";"182887"
"BD";"54129100"
"BB";"234547"
"BY";"8489930"
"BE";"9394292"
"BZ";"103069"
"BJ";"2585965"
"BM";"48435"
"BT";"247325"
"BO";"3990857"
"BA";"3478995"
"BW";"580799"
"BR";"81168654"
"VG";"8627"
"BN";"97848"
"BG";"8157722"
"BF";"5098890"
"BI";"3010859"
"CV";"223846"
"KH";"6331583"
"CM";"5646316"
"CA";"19359165"
"KY";"8298"
"CF";"1616516"
"TD";"3246505"
"CL";"8430838"
"CN";"706460953"
"HK";"3410959"
"MO";"193563"
"TW";"12241535"
"CO";"18581974"
"KM";"203753"
"CG";"1152412"
"CK";"18698"
"CR";"1537041"
"CI";"4157965"
"HR";"4304986"
"CU";"7787146"
"CW";"132322"
"CY";"578627"
"CZ";"9784356"
"KP";"12282419"
"CD";"16903923"
"DK";"4723629"
"DJ";"107583"
"DM";"63926"
"DO";"3757956"
"EC";"5099468"
"EG";"30071102"
"SV";"3106186"
"GQ";"271457"
"ER";"1548187"
"EE";"1275437"
"ET";"24397024"
"FO";"36454"
"FK";"2087"
"FJ";"450450"
"FI";"4550239"
"FR";"48402837"
"GF";"37287"
"PF";"90132"
"GA";"523789"
"GM";"394553"
"GE";"4296656"
"DE";"75676011"
"GH";"7513289"
"GI";"25454"
"GR";"8416193"
"GL";"36445"
"GD";"94066"
"GP";"295833"
"GU";"73051"
"GT";"4730540"
"GN";"3811659"
"GW";"643961"
"GY";"637845"
"HT";"4186640"
"VA";"879"
"HN";"2280045"
"HU";"10133076"
"IS";"189338"
"IN";"487484535"
"ID";"97638029"
"IR";"24308085"
"IQ";"8122199"
"IE";"2847340"
"IM";"49391"
"IL";"2443298"
"IT";"51322645"
"JM";"1730486"
"JP";"97379848"
"JO";"1101459"
"KZ";"11577469"
"KE";"9200157"
"KI";"45425"
"KW";"425235"
"KG";"2485430"
"LA";"2327137"
"LV";"2240945"
"LB";"2041207"
"LS";"915822"
"LR";"1224344"
"LY";"1667825"
"LI";"18170"
"LT";"2927380"
"LU";"327366"
"MG";"5625164"
"MW";"3963417"
"MY";"9253963"
"MV";"100214"
"ML";"5503752"
"MT";"319588"
"MH";"16710"
"MQ";"306371"
"MR";"963747"
"MU";"735860"
"YT";"29219"
"MX";"43264272"
"FM";"212623"
"MC";"23236"
"MN";"1074514"
"ME";"529175"
"MS";"11841"
"MA";"13857142"
"MZ";"8030025"
"MM";"22867741"
"NA";"665282"
"NR";"5500"
"NP";"10728197"
"NL";"12089385"
"NC";"88579"
"NZ";"2580530"
"NI";"2002119"
"NE";"3802640"
"NG";"49066059"
"NU";"5045"
"MP";"10857"
"NO";"3695408"
"OM";"608887"
"PK";"49551904"
"PW";"10593"
"PA";"1276276"
"PG";"2186340"
"PY";"2114095"
"PE";"11281015"
"PH";"29962876"
"PL";"31056315"
"PT";"8940092"
"PR";"2537636"
"QA";"67567"
"KR";"28220780"
"MD";"3275457"
"RE";"377791"
"RO";"19207135"
"RU";"125412625"
"RW";"3161724"
"SH";"4625"
"KN";"49930"
"LC";"94814"
"PM";"5046"
"VC";"85069"
"WS";"123354"
"SM";"17032"
"ST";"64212"
"SA";"4677404"
"SN";"3580312"
"RS";"7780685"
"SC";"45649"
"SL";"2435204"
"SG";"1834493"
"SX";"4067"
"SK";"4343459"
"SI";"1621879"
"SB";"132782"
"SO";"3001126"
"ZA";"19412975"
"SS";"3196113"
"ES";"31885404"
"LK";"10849979"
"PS";"1182053"
"SD";"8503994"
"SR";"322997"
"SZ";"382469"
"SE";"7686730"
"CH";"5729464"
"SY";"5200336"
"TJ";"2402455"
"MK";"1569141"
"TH";"30881332"
"TL";"537786"
"TG";"1662073"
"TK";"1947"
"TO";"71757"
"TT";"903275"
"TN";"4458611"
"TR";"30244232"
"TM";"1833063"
"TC";"5710"
"TV";"6684"
"UG";"7746198"
"UA";"44794327"
"AE";"138529"
"GB";"53945019"
"TZ";"11339097"
"US";"197491844"
"VI";"46726"
"UY";"2665390"
"UZ";"9788986"
"VU";"72131"
"VE";"9476252"
"VN";"36780985"
"WF";"9172"
"EH";"46314"
"YE";"5543339"
"ZM";"3452942"
"ZW";"4269863"
