;populacao_1
"AF";"20093756"
"AL";"3121970"
"DZ";"31183660"
"AS";"57521"
"AD";"65390"
"AO";"16440924"
"AI";"11070"
"AG";"83584"
"AR";"37057452"
"AM";"3069588"
"AW";"90853"
"AU";"19065837"
"AT";"8069276"
"AZ";"8122741"
"BS";"297890"
"BH";"664614"
"BD";"131581243"
"BB";"269847"
"BY";"9933609"
"BE";"10282033"
"BZ";"247315"
"BJ";"6865951"
"BM";"64028"
"BT";"573416"
"BO";"8339512"
"BA";"3766706"
"BW";"1728340"
"BR";"175287587"
"VG";"20645"
"BN";"333241"
"BG";"7997787"
"BF";"11607942"
"BI";"6400706"
"CV";"435079"
"KH";"12152354"
"CM";"15274234"
"CA";"30735773"
"KY";"41687"
"CF";"3754986"
"TD";"8342559"
"CL";"15262754"
"CN";"1283198970"
"HK";"6663654"
"MO";"427979"
"TW";"21840235"
"CO";"40403958"
"KM";"542357"
"CG";"3225727"
"CK";"18122"
"CR";"3925443"
"CI";"16686561"
"HR";"4428072"
"CU";"11150736"
"CW";"132099"
"CY";"943286"
"CZ";"10289594"
"KP";"22929075"
"CD";"47076387"
"DK";"5341194"
"DJ";"717584"
"DM";"69676"
"DO";"8562622"
"EC";"12628596"
"EG";"69905988"
"SV";"5867626"
"GQ";"614323"
"ER";"3392801"
"EE";"1399112"
"ET";"66537331"
"FO";"47258"
"FK";"2882"
"FJ";"811223"
"FI";"5187954"
"FR";"59608201"
"GF";"163165"
"PF";"237258"
"GA";"1231122"
"GM";"1231844"
"GE";"4722059"
"DE";"81487757"
"GH";"18938762"
"GI";"31180"
"GR";"11142119"
"GL";"56175"
"GD";"101619"
"GP";"424646"
"GU";"155329"
"GT";"11650743"
"GN";"8808546"
"GW";"1243229"
"GY";"753301"
"HT";"8549200"
"VA";"785"
"HN";"6524283"
"HU";"10221051"
"IS";"280435"
"IN";"1053050912"
"ID";"211540429"
"IR";"66131854"
"IQ";"23565413"
"IE";"3848776"
"IM";"72554"
"IL";"6013741"
"IT";"57293721"
"JM";"2656864"
"JP";"127533934"
"JO";"5103130"
"KZ";"15057363"
"KE";"31450483"
"KI";"84406"
"KW";"2050741"
"KG";"4920718"
"LA";"5329304"
"LV";"2384163"
"LB";"3235366"
"LS";"1868699"
"LR";"2884522"
"LY";"5355751"
"LI";"33286"
"LT";"3501835"
"LU";"436103"
"MG";"15766806"
"MW";"11376172"
"MY";"23185608"
"MV";"280384"
"ML";"10967690"
"MT";"396668"
"MH";"52159"
"MQ";"387004"
"MR";"2709359"
"MU";"1185145"
"YT";"150331"
"MX";"101719673"
"FM";"497632"
"MC";"32082"
"MN";"2397436"
"ME";"613560"
"MS";"4955"
"MA";"28849621"
"MZ";"18067687"
"MM";"46095462"
"NA";"1899257"
"NR";"10037"
"NP";"23740911"
"NL";"15926188"
"NC";"212871"
"NZ";"3858999"
"NI";"5026796"
"NE";"11352973"
"NG";"122352009"
"NU";"1899"
"MP";"69094"
"NO";"4499367"
"OM";"2267991"
"PK";"138523285"
"PW";"19175"
"PA";"3030347"
"PG";"5572222"
"PY";"5302700"
"PE";"25914879"
"PH";"77991569"
"PL";"38550495"
"PT";"10355117"
"PR";"3796977"
"QA";"592267"
"KR";"47386312"
"MD";"4201089"
"RE";"736710"
"RO";"22128128"
"RU";"146396514"
"RW";"8025703"
"SH";"5114"
"KN";"45374"
"LC";"156949"
"PM";"6272"
"VC";"107898"
"WS";"174610"
"SM";"27418"
"ST";"138606"
"SA";"20764312"
"SN";"9884052"
"RS";"9487615"
"SC";"81151"
"SL";"4564297"
"SG";"3913960"
"SX";"31819"
"SK";"5399211"
"SI";"1988499"
"SB";"412609"
"SO";"9011479"
"ZA";"45728315"
"SS";"6700656"
"ES";"40903711"
"LK";"18781938"
"PS";"3223009"
"SD";"27250535"
"SR";"472390"
"SZ";"1061468"
"SE";"8881640"
"CH";"7167250"
"SY";"16410848"
"TJ";"6216205"
"MK";"2034819"
"TH";"62958021"
"TL";"871607"
"TG";"4970367"
"TK";"1554"
"TO";"98082"
"TT";"1267984"
"TN";"9699197"
"TR";"63240121"
"TM";"4516131"
"TC";"18873"
"TV";"9420"
"UG";"24039274"
"UA";"48840074"
"AE";"3154925"
"GB";"58950848"
"TZ";"34178042"
"US";"281982778"
"VI";"108722"
"UY";"3321245"
"UZ";"24848920"
"VU";"185063"
"VE";"24488340"
"VN";"80285562"
"WF";"14500"
"EH";"314118"
"YE";"17874725"
"ZM";"10531221"
"ZW";"12222251"
