;populacao_4
"BI";"12,1"
"KM";"28,5"
"DJ";"77,4"
"ER";"38,2"
"ET";"19,4"
"KE";"25,7"
"MG";"35,2"
"MW";"16,3"
"MU";"41,0"
"YT";"47,0"
"MZ";"34,4"
"RE";"99,3"
"RW";"17,0"
"SC";"55,4"
"SO";"43,2"
"SS";"18,9"
"UG";"22,1"
"TZ";"31,6"
"ZM";"41,9"
"ZW";"32,4"
"AO";"63,5"
"CM";"54,6"
"CF";"40,3"
"TD";"22,5"
"CG";"65,5"
"CD";"42,7"
"GQ";"70,6"
"GA";"88,1"
"ST";"70,2"
"DZ";"70,9"
"EG";"42,8"
"LY";"79,3"
"MA";"60,8"
"SD";"33,9"
"TN";"68,1"
"EH";"86,5"
"BW";"67,2"
"LS";"26,9"
"NA";"46,9"
"ZA";"64,8"
"SZ";"23,3"
"BJ";"45,7"
"BF";"27,5"
"CV";"64,3"
"CI";"49,4"
"GM";"59,2"
"GH";"54,1"
"GN";"35,1"
"GW";"42,1"
"LR";"49,8"
"ML";"40,0"
"MR";"51,1"
"NE";"16,3"
"NG";"47,8"
"SH";"39,5"
"SN";"45,9"
"SL";"40,8"
"TG";"40,1"
"CN";"55,5"
"HK";"100,0"
"MO";"100,0"
"TW";"76,9"
"KP";"61,3"
"JP";"91,4"
"MN";"68,2"
"KR";"81,6"
"KZ";"57,2"
"KG";"35,8"
"TJ";"26,7"
"TM";"50,3"
"UZ";"50,8"
"AF";"24,8"
"BD";"34,3"
"BT";"38,7"
"IN";"32,8"
"IR";"73,4"
"MV";"38,5"
"NP";"18,6"
"PK";"36,0"
"LK";"18,3"
"BN";"76,7"
"KH";"22,2"
"ID";"53,3"
"LA";"33,1"
"MY";"74,2"
"MM";"29,9"
"PH";"46,3"
"SG";"100,0"
"TH";"47,7"
"TL";"29,5"
"VN";"33,8"
"AM";"63,1"
"AZ";"54,7"
"BH";"89,0"
"CY";"67,0"
"GE";"57,5"
"IQ";"69,9"
"IL";"92,2"
"JO";"90,3"
"KW";"100,0"
"LB";"88,1"
"OM";"81,4"
"QA";"98,9"
"SA";"83,2"
"PS";"75,4"
"SY";"52,2"
"TR";"73,6"
"AE";"85,7"
"YE";"34,8"
"BY";"77,2"
"BG";"74,0"
"CZ";"73,5"
"HU";"70,5"
"PL";"60,3"
"MD";"42,5"
"RO";"53,9"
"RU";"74,1"
"SK";"53,9"
"UA";"69,1"
"DK";"87,5"
"EE";"68,4"
"FO";"41,6"
"FI";"85,2"
"IS";"93,7"
"IE";"62,5"
"IM";"52,2"
"LV";"68,0"
"LT";"67,2"
"NO";"81,1"
"SE";"86,6"
"GB";"82,6"
"AL";"57,4"
"AD";"88,3"
"BA";"47,2"
"HR";"56,2"
"GI";"100,0"
"GR";"78,1"
"VA";"100,0"
"IT";"69,6"
"MT";"94,4"
"ME";"65,8"
"PT";"63,5"
"SM";"96,7"
"RS";"55,7"
"SI";"53,8"
"ES";"79,6"
"MK";"57,4"
"AT";"57,7"
"BE";"97,9"
"FR";"79,7"
"DE";"77,2"
"LI";"14,3"
"LU";"90,2"
"MC";"100,0"
"NL";"90,2"
"CH";"73,7"
"AI";"100,0"
"AG";"25,0"
"AW";"43,1"
"BS";"82,8"
"BB";"31,3"
"VG";"46,6"
"KY";"100,0"
"CU";"76,9"
"CW";"89,4"
"DM";"69,6"
"DO";"78,6"
"GD";"36,0"
"GP";"98,4"
"HT";"52,4"
"JM";"54,8"
"MQ";"89,0"
"MS";"9,0"
"PR";"93,6"
"KN";"30,8"
"LC";"18,5"
"VC";"51,0"
"SX";"100,0"
"TT";"53,3"
"TC";"92,2"
"VI";"95,4"
"BZ";"45,4"
"CR";"76,9"
"SV";"69,7"
"GT";"50,0"
"HN";"55,2"
"MX";"79,3"
"NI";"57,9"
"PA";"66,7"
"AR";"91,5"
"BO";"68,4"
"BR";"85,8"
"CL";"87,4"
"CO";"79,8"
"EC";"63,4"
"FK";"76,3"
"GF";"84,5"
"GY";"26,4"
"PY";"60,8"
"PE";"77,4"
"SR";"66,1"
"UY";"95,0"
"VE";"88,2"
"BM";"100,0"
"CA";"81,3"
"GL";"86,1"
"PM";"89,9"
"US";"81,7"
"AU";"85,7"
"NZ";"86,3"
"FJ";"54,7"
"NC";"69,4"
"PG";"13,0"
"SB";"22,4"
"VU";"25,0"
"FM";"67,9"
"GU";"94,5"
"KI";"51,6"
"MH";"75,8"
"FM";"22,5"
"NR";"100,0"
"MP";"91,4"
"PW";"78,2"
"AS";"87,2"
"CK";"74,4"
"PF";"61,7"
"NU";"42,6"
"WS";"18,9"
"TK";"0,0"
"TO";"23,3"
"TV";"59,7"
"WF";"0,0"
