;indicadoressociais_15
"AW";"97.93"
"AF";"29.20"
"AO";"27.99"
"AI";"93.04"
"AL";"92.90"
"AD";"100.00"
"AE";"99.98"
"AR";"94.85"
"AM";"90.88"
"AS";"62.44"
"AG";"84.76"
"AU";"100.00"
"AT";"99.99"
"AZ";"75.26"
"BI";"45.30"
"BE";"99.49"
"BJ";"11.48"
"BF";"14.47"
"BD";"34.18"
"BG";"85.89"
"BH";"99.94"
"BS";"90.30"
"BA";"94.84"
"BY";"94.74"
"BZ";"84.38"
"BM";"99.95"
"BO";"43.98"
"BR";"78.62"
"BB";"91.54"
"BN";"99999999999998"
"BT";"57.43"
"BW";"56.98"
"CF";"19.73"
"CA";"98.50"
"CH";"99.90"
"CL";"99999999999998"
"CL";"95.52"
"CN";"66.15"
"CI";"25.28"
"CM";"39.27"
"CD";"21.25"
"CG";"13.57"
"CK";"94.65"
"CO";"79.46"
"KM";"29.92"
"CV";"50.29"
"CR";"95.54"
"CU";"89.88"
"CW";"99999999999998"
"KY";"95.55"
"CY";"99.86"
"CZ";"99.14"
"DE";"99.21"
"DJ";"51.11"
"DM";"71.59"
"DK";"99.60"
"DO";"80.84"
"DZ";"85.58"
"EC";"77.16"
"EG";"92.74"
"ER";"9.29"
"ES";"99.90"
"EE";"99.30"
"ET";"4.62"
"FI";"99.45"
"FJ";"85.48"
"FK";"100.00"
"FR";"98.66"
"FO";"99999999999998"
"FM";"68.40"
"GA";"39.78"
"GB";"99.12"
"GE";"92.06"
"GH";"12.45"
"GN";"14.18"
"GP";"97.37"
"GM";"49.30"
"GW";"15.62"
"GQ";"77.53"
"GR";"97.58"
"GD";"90.54"
"GL";"99.58"
"GT";"62.56"
"GF";"93.49"
"GU";"89.54"
"GY";"81.45"
"HK";"96.79"
"HN";"69.46"
"HR";"97.26"
"HT";"22.90"
"HU";"98.03"
"ID";"54.21"
"IN";"30.73"
"IE";"90.02"
"IR";"87.75"
"IQ";"80.10"
"IS";"98.79"
"IL";"100.00"
"IT";"99.28"
"JM";"84.47"
"JO";"98.07"
"JP";"99.99"
"KZ";"97.25"
"KE";"30.48"
"KG";"93.59"
"KH";"26.80"
"KI";"35.02"
"KN";"89.52"
"KR";"100.00"
"KW";"100.00"
"LA";"46.45"
"LB";"81.31"
"LR";"14.59"
"LY";"99.70"
"LC";"82.47"
"LI";"99.95"
"LK";"89.20"
"LS";"22.08"
"LT";"88.34"
"LU";"97.67"
"LV";"88.79"
"MA";"75.19"
"MC";"100.00"
"MD";"74.54"
"MG";"6.51"
"MV";"89.29"
"MX";"81.76"
"MH";"86.17"
"MK";"90.13"
"ML";"24.11"
"MT";"99.99"
"MM";"67.54"
"ME";"91.42"
"MN";"53.36"
"MP";"76.32"
"MZ";"16.57"
"MR";"31.65"
"MS";"84.81"
"MQ";"97.27"
"MU";"92.17"
"MW";"38.12"
"MY";"98.08"
"YT";"99999999999998"
"NA";"30.49"
"NC";"100.00"
"NE";"8.58"
"NG";"34.68"
"NI";"66.80"
"NU";"100.00"
"NL";"97.89"
"NO";"98.07"
"NP";"30.19"
"NR";"65.65"
"NZ";"100.00"
"OM";"92.74"
"PK";"42.50"
"PA";"69.28"
"PE";"68.73"
"PH";"70.07"
"PW";"94.52"
"PG";"18.64"
"PL";"91.42"
"PR";"97.10"
"KP";"76.99"
"PT";"98.23"
"PY";"79.98"
"PS";"95.01"
"PF";"97.72"
"QA";"99.42"
"RE";"98.98"
"RO";"81.50"
"RU";"85.80"
"RW";"52.22"
"SA";"99.09"
"SD";"23.44"
"SN";"42.35"
"SG";"100.00"
"SH";"98.88"
"SB";"23.47"
"SL";"11.82"
"SV";"85.08"
"SM";"100.00"
"SO";"20.18"
"PM";"99.34"
"RS";"96.38"
"SS";"99999999999998"
"ST";"28.46"
"SR";"80.17"
"SK";"98.88"
"SI";"99.11"
"SE";"99.31"
"SZ";"52.69"
"SX";"99999999999998"
"SC";"96.69"
"SY";"92.95"
"TC";"83.93"
"TD";"9.71"
"TG";"12.09"
"TH";"94.97"
"TJ";"92.29"
"TK";"79.97"
"TM";"95.77"
"TL";"36.67"
"TO";"89.69"
"TT";"91.42"
"TN";"85.93"
"TR";"88.00"
"TV";"87.47"
"TZ";"12.95"
"UG";"16.91"
"UA";"95.21"
"UY";"94.53"
"US";"99.97"
"UZ";"99.64"
"VC";"77.84"
"VE";"90.90"
"VG";"96.82"
"VI";"97.00"
"VN";"63.70"
"VU";"53.17"
"WF";"94.70"
"WS";"98.29"
"YE";"47.47"
"ZA";"65.25"
"ZM";"28.08"
"ZW";"40.75"
