;populacao_7
"AF";"12150"
"AL";"22063"
"DZ";"43350"
"AO";"12463"
"AG";"231"
"AR";"86770"
"AM";"17127"
"AW";"121"
"AU";"105668"
"AT";"89034"
"AZ";"34126"
"BS";"474"
"BH";"319"
"BD";"142536"
"BB";"2113"
"BY";"103506"
"BE";"132156"
"BZ";"272"
"BJ";"22130"
"BT";"344"
"BO";"32935"
"BA";"14594"
"BW";"1724"
"BR";"156946"
"BN";"358"
"BG";"54769"
"BF";"5052"
"BI";"6563"
"CV";"2135"
"KH";"11079"
"CM";"12672"
"CA";"154405"
"CF";"6222"
"TD";"9501"
"CL";"31816"
"CN";"1727808"
"HK";"6021"
"MO";"889"
"TW";"14110"
"CO";"51707"
"KM";"643"
"CG";"2498"
"CR";"2883"
"CI";"4588"
"HR";"47138"
"CU";"38319"
"CW";"852"
"CY";"3299"
"CZ";"96320"
"KP";"23676"
"CD";"85998"
"DK";"55543"
"DJ";"086"
"DO";"7563"
"EC";"19577"
"EG";"39414"
"SV";"10027"
"GQ";"1185"
"ER";"3116"
"EE";"20732"
"ET";"44861"
"FJ";"1277"
"FI";"31977"
"FR";"706768"
"GF";"162"
"PF";"079"
"GA";"3718"
"GM";"463"
"GE";"51545"
"DE";"754558"
"GH";"9917"
"GR";"80624"
"GD";"814"
"GP";"1103"
"GU";"102"
"GT";"8609"
"GN";"13574"
"GW";"1630"
"GY";"2231"
"HT";"17396"
"HN";"12785"
"HU";"88281"
"IS";"2183"
"IN";"1435595"
"ID";"263382"
"IR";"97486"
"IQ";"18926"
"IE";"47928"
"IL";"4584"
"IT";"519291"
"JM";"4083"
"JP";"401359"
"JO";"2340"
"KZ";"55044"
"KE";"23136"
"KI";"181"
"KW";"289"
"KG";"18254"
"LA";"2260"
"LV";"30182"
"LB";"12957"
"LS";"3246"
"LR";"2498"
"LY";"5511"
"LT";"41933"
"LU";"3973"
"MG";"9591"
"MW";"7611"
"MY";"41477"
"MV";"263"
"ML";"8020"
"MT";"2007"
"MQ";"1299"
"MR";"327"
"MU";"1742"
"YT";"832"
"MX";"171082"
"FM";"891"
"FM";"190"
"MN";"2116"
"ME";"4715"
"MA";"18092"
"MZ";"11596"
"MM";"49238"
"NA";"1738"
"NP";"9322"
"NL";"107391"
"NC";"232"
"NZ";"22236"
"NI";"3060"
"NE";"2441"
"NG";"80839"
"NO";"57930"
"OM";"1091"
"PK";"399654"
"PA";"3860"
"PG";"6538"
"PY";"5464"
"PE";"27003"
"PH";"74341"
"PL";"190672"
"PT";"91152"
"PR";"12308"
"QA";"072"
"KR";"75886"
"MD";"26560"
"RE";"1264"
"RO";"92949"
"RU";"595993"
"RW";"4828"
"LC";"674"
"VC";"364"
"WS";"296"
"ST";"439"
"SA";"7160"
"SN";"7289"
"RS";"83387"
"SC";"481"
"SL";"3736"
"SG";"4316"
"SK";"31418"
"SI";"15534"
"SB";"151"
"SO";"2981"
"ZA";"87955"
"SS";"7829"
"ES";"304857"
"LK";"189962"
"PS";"4268"
"SD";"17472"
"SR";"2144"
"SZ";"535"
"SE";"112160"
"CH";"56425"
"SY";"14170"
"TJ";"7006"
"MK";"15616"
"TH";"91277"
"TL";"1096"
"TG";"5567"
"TO";"076"
"TT";"2971"
"TN";"28880"
"TR";"58239"
"TM";"7762"
"UG";"14581"
"UA";"465767"
"AE";"169"
"GB";"799958"
"TZ";"12798"
"US";"1893815"
"VI";"292"
"UY";"33155"
"UZ";"43984"
"VU";"123"
"VE";"15380"
"VN";"93049"
"EH";"031"
"YE";"15398"
"ZM";"5702"
"ZW";"7592"
