;populacao_7
"AF";"471415"
"AL";"150910"
"DZ";"764146"
"AO";"376665"
"AG";"3474"
"AR";"1739020"
"AM";"116298"
"AW";"3935"
"AU";"1010906"
"AT";"557105"
"AZ";"216047"
"BS";"11371"
"BH";"24513"
"BD";"4322630"
"BB";"11331"
"BY";"476923"
"BE";"585255"
"BZ";"4991"
"BJ";"186052"
"BT";"23429"
"BO";"278584"
"BA";"208667"
"BW";"45295"
"BR";"6513976"
"BN";"10166"
"BG";"571312"
"BF";"298550"
"BI";"168485"
"CV";"6090"
"KH";"320485"
"CM";"421896"
"CA";"1680470"
"CF";"118547"
"TD";"203724"
"CL";"672836"
"CN";"51545008"
"HK";"248315"
"MO";"13079"
"TW";"900373"
"CO";"1338075"
"KM";"13829"
"CG";"88956"
"CR";"140799"
"CI";"482653"
"HR";"264902"
"CU";"557630"
"CW";"8800"
"CY";"43687"
"CZ";"727942"
"KP";"1280617"
"CD";"1340549"
"DK";"381184"
"DJ";"18790"
"DO";"262304"
"EC";"405601"
"EG";"2144305"
"SV";"218702"
"GQ";"17165"
"ER";"129787"
"EE";"90880"
"ET";"1848689"
"FJ";"33672"
"FI";"337879"
"FR";"3171819"
"GF";"5287"
"PF";"9837"
"GA";"38589"
"GM";"28896"
"GE";"250814"
"DE";"5177599"
"GH";"559669"
"GR";"545489"
"GD";"2820"
"GP";"19148"
"GU";"6613"
"GT";"302205"
"GN";"226302"
"GW";"38058"
"GY";"26701"
"HT";"280962"
"HN";"148075"
"HU";"713257"
"IS";"13661"
"IN";"37213692"
"ID";"7598205"
"IR";"1670059"
"IQ";"578105"
"IE";"194615"
"IL";"199143"
"IT";"3550384"
"JM";"93337"
"JP";"9521020"
"JO";"107873"
"KZ";"610586"
"KE";"593536"
"KI";"2796"
"KW";"101630"
"KG";"121492"
"LA";"141034"
"LV";"165080"
"LB";"121038"
"LS";"47337"
"LR";"94925"
"LY";"161030"
"LT";"222877"
"LU";"24378"
"MG";"366310"
"MW";"314228"
"MY";"700950"
"MV";"7419"
"ML";"323667"
"MT";"23406"
"MQ";"17904"
"MR";"70178"
"MU";"56004"
"YT";"2795"
"MX";"3143016"
"FM";"16816"
"FM";"3079"
"MN";"73542"
"ME";"33445"
"MA";"759667"
"MZ";"541191"
"MM";"1478904"
"NA";"43960"
"NP";"756212"
"NL";"973891"
"NC";"9300"
"NZ";"196860"
"NI";"130538"
"NE";"300577"
"NG";"3813608"
"NO";"266114"
"OM";"78457"
"PK";"4329659"
"PA";"104280"
"PG";"165109"
"PY";"156081"
"PE";"869110"
"PH";"2282026"
"PL";"1930877"
"PT";"567112"
"PR";"196672"
"QA";"26183"
"KR";"2227749"
"MD";"212209"
"RE";"26096"
"RO";"1212938"
"RU";"6293636"
"RW";"199332"
"LC";"4892"
"VC";"3223"
"WS";"6160"
"ST";"2733"
"SA";"632665"
"SN";"258610"
"RS";"509793"
"SC";"2359"
"SL";"178213"
"SG";"153216"
"SK";"298894"
"SI";"125219"
"SB";"12286"
"SO";"295881"
"ZA";"1592903"
"SS";"260054"
"ES";"2263307"
"LK";"830000"
"PS";"68165"
"SD";"689969"
"SR";"16793"
"SZ";"26643"
"SE";"619021"
"CH";"475404"
"SY";"322897"
"TJ";"129695"
"MK";"111040"
"TH";"2542022"
"TL";"32635"
"TG";"135360"
"TO";"3585"
"TT";"58501"
"TN";"278489"
"TR";"2314286"
"TM";"95979"
"UG";"566384"
"UA";"2633551"
"AE";"101671"
"GB";"3556750"
"TZ";"908351"
"US";"14651224"
"VI";"7093"
"UY";"173057"
"UZ";"588069"
"VU";"5776"
"VE";"806746"
"VN";"2093857"
"EH";"9227"
"YE";"359269"
"ZM";"274028"
"ZW";"303317"
