;populacao_9
"AF";"16"
"AL";"6"
"DZ";"6"
"AD";"99999999999998"
"AO";"23"
"AI";"99999999999998"
"AG";"7"
"AR";"8"
"AM";"8"
"AU";"7"
"AT";"11"
"AZ";"9"
"BS";"6"
"BH";"3"
"BD";"10"
"BB";"10"
"BY";"11"
"BE";"11"
"BZ";"5"
"BJ";"15"
"BT";"13"
"BO";"13"
"BA";"8"
"BW";"8"
"BR";"7"
"VG";"99999999999998"
"BN";"4"
"BG";"12"
"BF";"17"
"BI";"18"
"CV";"8"
"KH";"13"
"CM";"15"
"CA";"7"
"CF";"17"
"TD";"19"
"CL";"6"
"CN";"7"
"CO";"6"
"KM";"12"
"CG";"12"
"CK";"99999999999998"
"CR";"4"
"CI";"14"
"HR";"11"
"CU";"7"
"CY";"7"
"CZ";"12"
"KP";"6"
"CD";"17"
"DK";"12"
"DJ";"11"
"DM";"99999999999998"
"DO";"6"
"EC";"6"
"EG";"8"
"SV";"8"
"GQ";"18"
"ER";"16"
"EE";"13"
"ET";"18"
"FJ";"6"
"FI";"10"
"FR";"9"
"GA";"11"
"GM";"14"
"GE";"9"
"DE";"12"
"GH";"11"
"GR";"9"
"GD";"9"
"GT";"9"
"GN";"17"
"GW";"17"
"GY";"8"
"HT";"13"
"VA";"99999999999998"
"HN";"7"
"HU";"14"
"IS";"7"
"IN";"11"
"ID";"8"
"IR";"7"
"IQ";"7"
"IE";"9"
"IL";"6"
"IT";"10"
"JM";"7"
"JP";"7"
"JO";"5"
"KZ";"9"
"KE";"10"
"KI";"10"
"KW";"3"
"KG";"8"
"LA";"14"
"LV";"13"
"LB";"7"
"LS";"10"
"LR";"18"
"LY";"5"
"LI";"99999999999998"
"LT";"11"
"LU";"10"
"MG";"15"
"MW";"19"
"MY";"5"
"MV";"9"
"ML";"20"
"MT";"8"
"MH";"99999999999998"
"MR";"11"
"MU";"6"
"MX";"5"
"FM";"7"
"MC";"99999999999998"
"MN";"10"
"ME";"7"
"MS";"99999999999998"
"MA";"7"
"MZ";"21"
"MM";"10"
"NA";"9"
"NR";"99999999999998"
"NP";"13"
"NL";"9"
"NZ";"8"
"NI";"7"
"NE";"23"
"NG";"19"
"NU";"99999999999998"
"NO";"11"
"OM";"5"
"PK";"11"
"PW";"99999999999998"
"PA";"5"
"PG";"9"
"PY";"6"
"PE";"7"
"PH";"7"
"PL";"10"
"PT";"10"
"QA";"2"
"KR";"6"
"MD";"10"
"RO";"11"
"RU";"12"
"RW";"32"
"KN";"99999999999998"
"LC";"6"
"VC";"7"
"WS";"7"
"SM";"99999999999998"
"ST";"10"
"SA";"5"
"SN";"11"
"RS";"10"
"SC";"7"
"SL";"26"
"SG";"4"
"SK";"10"
"SI";"10"
"SB";"11"
"SO";"20"
"ZA";"8"
"SS";"21"
"ES";"8"
"LK";"7"
"PS";"5"
"SD";"12"
"SR";"7"
"SZ";"9"
"SE";"11"
"CH";"9"
"SY";"5"
"TJ";"10"
"TH";"6"
"MK";"8"
"TL";"16"
"TG";"12"
"TK";"99999999999998"
"TO";"6"
"TT";"8"
"TN";"6"
"TR";"8"
"TM";"9"
"TC";"99999999999998"
"TV";"99999999999998"
"UG";"18"
"UA";"13"
"AE";"3"
"GB";"11"
"TZ";"15"
"US";"9"
"UY";"10"
"UZ";"8"
"VU";"8"
"VE";"5"
"VN";"6"
"YE";"11"
"ZM";"18"
"ZW";"10"
