;populacao_8
"AF";"52"
"AL";"32"
"DZ";"47"
"AD";"99999999999998"
"AO";"53"
"AI";"99999999999998"
"AG";"31"
"AR";"23"
"AM";"23"
"AU";"20"
"AT";"16"
"AZ";"32"
"BS";"26"
"BH";"38"
"BD";"48"
"BB";"22"
"BY";"16"
"BE";"14"
"BZ";"42"
"BJ";"47"
"BT";"49"
"BO";"42"
"BA";"24"
"BW";"46"
"BR";"35"
"VG";"99999999999998"
"BN";"37"
"BG";"16"
"BF";"47"
"BI";"47"
"CV";"42"
"KH";"43"
"CM";"45"
"CA";"17"
"CF";"43"
"TD";"47"
"CL";"30"
"CN";"36"
"CO";"38"
"KM";"46"
"CG";"43"
"CK";"99999999999998"
"CR";"33"
"CI";"52"
"HR";"15"
"CU";"29"
"CY";"19"
"CZ";"16"
"KP";"37"
"CD";"47"
"DK";"15"
"DJ";"45"
"DM";"99999999999998"
"DO";"42"
"EC";"41"
"EG";"42"
"SV";"43"
"GQ";"42"
"ER";"47"
"EE";"15"
"ET";"48"
"FJ";"34"
"FI";"14"
"FR";"17"
"GA";"37"
"GM";"50"
"GE";"20"
"DE";"14"
"GH";"47"
"GR";"18"
"GD";"28"
"GT";"45"
"GN";"45"
"GW";"43"
"GY";"36"
"HT";"39"
"VA";"99999999999998"
"HN";"48"
"HU";"15"
"IS";"21"
"IN";"39"
"ID";"40"
"IR";"42"
"IQ";"46"
"IE";"22"
"IL";"26"
"IT";"17"
"JM";"35"
"JP";"19"
"JO";"51"
"KZ";"26"
"KE";"51"
"KI";"35"
"KW";"48"
"KG";"32"
"LA";"43"
"LV";"14"
"LB";"32"
"LS";"43"
"LR";"49"
"LY";"51"
"LI";"99999999999998"
"LT";"17"
"LU";"13"
"MG";"48"
"MW";"54"
"MY";"34"
"MV";"50"
"ML";"50"
"MT";"16"
"MH";"99999999999998"
"MR";"46"
"MU";"29"
"MX";"44"
"FM";"41"
"MC";"99999999999998"
"MN";"44"
"ME";"22"
"MS";"99999999999998"
"MA";"43"
"MZ";"48"
"MM";"40"
"NA";"43"
"NR";"99999999999998"
"NP";"43"
"NL";"18"
"NZ";"22"
"NI";"46"
"NE";"57"
"NG";"46"
"NU";"99999999999998"
"NO";"17"
"OM";"48"
"PK";"43"
"PW";"99999999999998"
"PA";"38"
"PG";"41"
"PY";"37"
"PE";"42"
"PH";"39"
"PL";"17"
"PT";"21"
"QA";"36"
"KR";"30"
"MD";"20"
"RO";"21"
"RU";"15"
"RW";"50"
"KN";"99999999999998"
"LC";"39"
"VC";"40"
"WS";"41"
"SM";"99999999999998"
"ST";"41"
"SA";"47"
"SN";"50"
"RS";"19"
"SC";"35"
"SL";"49"
"SG";"23"
"SK";"18"
"SI";"17"
"SB";"45"
"SO";"47"
"ZA";"38"
"SS";"51"
"ES";"20"
"LK";"31"
"PS";"50"
"SD";"47"
"SR";"37"
"SZ";"49"
"SE";"14"
"CH";"16"
"SY";"46"
"TJ";"42"
"TH";"38"
"MK";"25"
"TL";"43"
"TG";"48"
"TK";"99999999999998"
"TO";"36"
"TT";"27"
"TN";"41"
"TR";"40"
"TM";"38"
"TC";"99999999999998"
"TV";"99999999999998"
"UG";"49"
"UA";"15"
"AE";"37"
"GB";"15"
"TZ";"48"
"US";"16"
"UY";"21"
"UZ";"37"
"VU";"42"
"VE";"37"
"VN";"36"
"YE";"53"
"ZM";"50"
"ZW";"47"
