;populacao_8
"AF";"33"
"AL";"12"
"DZ";"23"
"AD";"99999999999998"
"AO";"42"
"AI";"99999999999998"
"AG";"16"
"AR";"17"
"AM";"13"
"AU";"13"
"AT";"10"
"AZ";"18"
"BS";"14"
"BH";"15"
"BD";"19"
"BB";"12"
"BY";"12"
"BE";"11"
"BZ";"23"
"BJ";"37"
"BT";"18"
"BO";"23"
"BA";"9"
"BW";"24"
"BR";"14"
"VG";"99999999999998"
"BN";"16"
"BG";"9"
"BF";"39"
"BI";"42"
"CV";"21"
"KH";"23"
"CM";"36"
"CA";"11"
"CF";"36"
"TD";"43"
"CL";"13"
"CN";"12"
"CO";"15"
"KM";"33"
"CG";"35"
"CK";"99999999999998"
"CR";"14"
"CI";"37"
"HR";"9"
"CU";"11"
"CY";"11"
"CZ";"10"
"KP";"14"
"CD";"42"
"DK";"10"
"DJ";"23"
"DM";"99999999999998"
"DO";"20"
"EC";"20"
"EG";"26"
"SV";"19"
"GQ";"34"
"ER";"32"
"EE";"11"
"ET";"32"
"FJ";"19"
"FI";"11"
"FR";"12"
"GA";"30"
"GM";"39"
"GE";"14"
"DE";"9"
"GH";"31"
"GR";"8"
"GD";"19"
"GT";"25"
"GN";"36"
"GW";"37"
"GY";"21"
"HT";"24"
"VA";"99999999999998"
"HN";"22"
"HU";"9"
"IS";"13"
"IN";"19"
"ID";"19"
"IR";"17"
"IQ";"33"
"IE";"14"
"IL";"20"
"IT";"8"
"JM";"17"
"JP";"8"
"JO";"26"
"KZ";"21"
"KE";"31"
"KI";"28"
"KW";"16"
"KG";"25"
"LA";"24"
"LV";"10"
"LB";"15"
"LS";"28"
"LR";"34"
"LY";"20"
"LI";"99999999999998"
"LT";"11"
"LU";"11"
"MG";"33"
"MW";"37"
"MY";"17"
"MV";"18"
"ML";"43"
"MT";"10"
"MH";"99999999999998"
"MR";"34"
"MU";"11"
"MX";"18"
"FM";"24"
"MC";"99999999999998"
"MN";"24"
"ME";"11"
"MS";"99999999999998"
"MA";"20"
"MZ";"39"
"MM";"18"
"NA";"29"
"NR";"99999999999998"
"NP";"20"
"NL";"11"
"NZ";"13"
"NI";"20"
"NE";"48"
"NG";"39"
"NU";"99999999999998"
"NO";"12"
"OM";"19"
"PK";"28"
"PW";"99999999999998"
"PA";"20"
"PG";"28"
"PY";"21"
"PE";"19"
"PH";"23"
"PL";"9"
"PT";"8"
"QA";"10"
"KR";"9"
"MD";"10"
"RO";"10"
"RU";"13"
"RW";"31"
"KN";"99999999999998"
"LC";"12"
"VC";"16"
"WS";"25"
"SM";"99999999999998"
"ST";"34"
"SA";"20"
"SN";"36"
"RS";"11"
"SC";"16"
"SL";"35"
"SG";"9"
"SK";"10"
"SI";"10"
"SB";"29"
"SO";"43"
"ZA";"21"
"SS";"36"
"ES";"9"
"LK";"15"
"PS";"32"
"SD";"33"
"SR";"18"
"SZ";"29"
"SE";"12"
"CH";"10"
"SY";"21"
"TJ";"29"
"TH";"10"
"MK";"11"
"TL";"35"
"TG";"34"
"TK";"99999999999998"
"TO";"24"
"TT";"14"
"TN";"18"
"TR";"16"
"TM";"25"
"TC";"99999999999998"
"TV";"99999999999998"
"UG";"42"
"UA";"11"
"AE";"10"
"GB";"12"
"TZ";"38"
"US";"13"
"UY";"14"
"UZ";"21"
"VU";"26"
"VE";"19"
"VN";"17"
"YE";"32"
"ZM";"38"
"ZW";"33"
