;redes_29
"AF";"52,97"
"AL";"126,28"
"DZ";"103,07"
"AS";"99999999999998"
"AD";"79,13"
"AO";"51,10"
"AI";"181,83"
"AG";"116,90"
"AR";"158,35"
"AM";"115,65"
"AW";"134,51"
"99999999999998";"99999999999998"
"AU";"107,73"
"AT";"154,73"
"AZ";"107,94"
"BS";"76,08"
"BH";"168,02"
"BD";"73,97"
"BB";"108,92"
"BY";"117,25"
"BE";"110,44"
"BZ";"50,73"
"BJ";"96,23"
"BM";"150,23"
"BT";"71,16"
"BO";"100,24"
"BA";"96,76"
"BW";"152,54"
"BR";"133,94"
"VG";"183,80"
"BN";"115,55"
"BG";"144,32"
"BF";"65,84"
"BI";"26,42"
"KH";"134,89"
"CM";"72,34"
"CA";"80,44"
"CV";"96,03"
"KY";"167,95"
"CF";"30,23"
"TD";"34,73"
"CL";"135,49"
"CN";"88,89"
"CO";"106,24"
"KM";"46,86"
"CD";"39,59"
"CG";"98,07"
"CK";"64,73"
"CR";"151,11"
"CI";"88,28"
"HR";"110,36"
"CU";"17,49"
"CY";"127,58"
"CZ";"129,49"
"KP";"9,69"
"DK";"124,71"
"DJ";"27,22"
"DM";"129,25"
"DO";"89,49"
"EC";"106,16"
"EG";"111,02"
"SV";"143,85"
"GQ";"47,13"
"ER";"7,63"
"EE";"145,84"
"ET";"27,03"
"FK";"125,68"
"FO";"118,47"
"FJ";"105,76"
"FI";"136,32"
"FR";"99,07"
"GF";"99999999999998"
"PF";"88,98"
"GA";"151,06"
"GM";"99,44"
"GE";"123,41"
"DE";"123,10"
"GH";"106,38"
"GI";"99999999999998"
"GR";"110,58"
"GL";"107,07"
"GD";"125,58"
"GP";"99999999999998"
"GU";"99999999999998"
"GT";"139,24"
"GG";"99999999999998"
"GN";"64,46"
"GW";"55,90"
"GY";"73,22"
"HT";"68,64"
"HN";"89,71"
"HK";"237,43"
"HU";"117,77"
"IS";"108,94"
"IN";"69,32"
"ID";"124,28"
"IR";"84,26"
"IQ";"95,77"
"IE";"104,25"
"IL";"121,47"
"IT";"162,34"
"JM";"99,80"
"JP";"115,26"
"JE";"99999999999998"
"JO";"122,59"
"KZ";"176,47"
"KE";"71,01"
"KI";"18,43"
"KR";"108,99"
"KW";"178,14"
"KG";"118,54"
"LA";"71,02"
"LV";"125,34"
"LB";"73,63"
"LS";"84,55"
"LR";"59,51"
"LY";"165,19"
"LI";"104,32"
"LT";"152,33"
"LU";"144,73"
"MO";"299,08"
"MG";"36,85"
"MW";"31,91"
"MY";"144,77"
"MV";"157,31"
"ML";"119,85"
"MT";"131,52"
"MH";"99999999999998"
"MQ";"99999999999998"
"MR";"101,06"
"MU";"122,17"
"YT";"99999999999998"
"MX";"87,12"
"FM";"30,27"
"MD";"90,79"
"MC";"93,40"
"MN";"100,30"
"ME";"158,49"
"MS";"88,79"
"MA";"125,42"
"MZ";"46,91"
"MM";"13,28"
"NA";"117,76"
"NR";"99999999999998"
"NP";"76,33"
"AN";"99999999999998"
"NL";"115,60"
"NC";"91,83"
"NZ";"105,50"
"NI";"114,52"
"NE";"38,02"
"NG";"74,05"
"NU";"99999999999998"
"MP";"99999999999998"
"NO";"112,11"
"OM";"151,35"
"PK";"70,30"
"PS";"72,26"
"PA";"161,64"
"PG";"39,51"
"PY";"109,09"
"PE";"97,47"
"PH";"104,41"
"PL";"148,72"
"PT";"113,90"
"PR";"83,64"
"QA";"147,10"
"RE";"99999999999998"
"RO";"114,16"
"RU";"152,02"
"RW";"60,45"
"ST";"67,00"
"WS";"52,36"
"SM";"113,86"
"SA";"177,34"
"SN";"93,01"
"RS";"129,30"
"SC";"147,46"
"SL";"57,79"
"SG";"157,40"
"SK";"114,44"
"SI";"110,52"
"SB";"57,34"
"SO";"39,47"
"ZA";"142,96"
"SS";"25,53"
"ES";"107,41"
"LK";"98,97"
"SH";"0,00"
"KN";"144,82"
"LC";"120,72"
"PM";"99999999999998"
"VC";"114,69"
"SD";"75,06"
"SR";"160,10"
"SZ";"70,23"
"SE";"124,95"
"CH";"135,85"
"SY";"62,05"
"TW";"127,29"
"TJ";"92,17"
"TZ";"54,20"
"MK";"107,78"
"TH";"137,72"
"TL";"54,88"
"TG";"60,53"
"TK";"99999999999998"
"TO";"54,59"
"TT";"144,18"
"TN";"115,41"
"TR";"91,92"
"TM";"114,14"
"TC";"99999999999998"
"TV";"31,43"
"UG";"48,11"
"UA";"138,44"
"AE";"178,36"
"GB";"121,71"
"US";"98,47"
"UY";"154,58"
"UZ";"71,62"
"VU";"50,27"
"VE";"101,91"
"VN";"135,23"
"VI";"99999999999998"
"WF";"99999999999998"
"YE";"65,86"
"ZM";"68,60"
"ZW";"90,56"
