;redes_28
"AF";"99999999999998"
"AL";"9,92"
"DZ";"8,95"
"AS";"17,96"
"AD";"44,93"
"AO";"0,45"
"AI";"45,78"
"AG";"41,47"
"AR";"23,77"
"AM";"21,30"
"AW";"38,14"
"99999999999998";"99999999999998"
"AU";"46,59"
"AT";"40,99"
"AZ";"14,37"
"BS";"38,81"
"BH";"19,65"
"BD";"0,81"
"BB";"48,62"
"BY";"38,50"
"BE";"45,31"
"BZ";"11,36"
"BJ";"1,31"
"BM";"88,76"
"BT";"4,35"
"BO";"7,18"
"BA";"28,20"
"BW";"7,15"
"BR";"20,63"
"VG";"59,65"
"BN";"21,22"
"BG";"30,40"
"BF";"0,82"
"BI";"0,36"
"KH";"0,27"
"CM";"1,03"
"CA";"55,37"
"CV";"14,75"
"KY";"68,08"
"CF";"99999999999998"
"TD";"0,30"
"CL";"20,98"
"CN";"27,35"
"CO";"17,86"
"KM";"4,06"
"CD";"0,01"
"CG";"0,34"
"CK";"34,89"
"CR";"32,88"
"CI";"1,30"
"HR";"42,33"
"CU";"9,33"
"CY";"38,50"
"CZ";"23,20"
"KP";"4,88"
"DK";"51,65"
"DJ";"1,74"
"DM";"24,59"
"DO";"9,54"
"EC";"12,83"
"EG";"14,12"
"SV";"17,75"
"GQ";"1,21"
"ER";"0,90"
"EE";"36,86"
"ET";"1,09"
"FK";"80,84"
"FO";"46,36"
"FJ";"14,60"
"FI";"32,84"
"FR";"56,16"
"GF";"23,53"
"PF";"20,76"
"GA";"1,78"
"GM";"3,16"
"GE";"12,67"
"DE";"65,28"
"GH";"1,66"
"GI";"73,82"
"GR";"48,06"
"GL";"40,68"
"GD";"27,54"
"GP";"54,17"
"GU";"41,23"
"GT";"10,32"
"GG";"99999999999998"
"GN";"0,22"
"GW";"0,32"
"GY";"17,17"
"HT";"1,13"
"HN";"10,65"
"HK";"61,02"
"HU";"32,43"
"IS";"61,16"
"IN";"3,33"
"ID";"8,38"
"IR";"33,09"
"IQ";"4,81"
"IE";"51,35"
"IL";"44,41"
"IT";"37,79"
"JM";"13,32"
"JP";"39,87"
"JE";"84,09"
"JO";"9,03"
"KZ";"20,43"
"KE";"1,22"
"KI";"4,15"
"KR";"46,89"
"KW";"21,50"
"KG";"9,29"
"LA";"1,59"
"LV";"29,29"
"LB";"17,07"
"LS";"2,40"
"LR";"0,06"
"LY";"16,23"
"LI";"55,43"
"LT";"24,52"
"LU";"52,28"
"MO";"35,33"
"MG";"0,69"
"MW";"1,27"
"MY";"16,34"
"MV";"9,84"
"ML";"0,59"
"MT";"56,16"
"MH";"99999999999998"
"MQ";"43,26"
"MR";"1,22"
"MU";"29,24"
"YT";"5,26"
"MX";"17,88"
"FM";"8,28"
"MD";"26,16"
"MC";"98,83"
"MN";"7,08"
"ME";"28,46"
"MS";"58,66"
"MA";"7,67"
"MZ";"0,35"
"MM";"0,94"
"NA";"6,64"
"NR";"18,00"
"NP";"2,67"
"AN";"45,36"
"NL";"44,86"
"NC";"25,07"
"NZ";"41,27"
"NI";"4,51"
"NE";"0,28"
"NG";"1,08"
"NU";"60,57"
"MP";"40,66"
"NO";"42,13"
"OM";"11,08"
"PK";"3,00"
"PS";"9,30"
"PA";"14,34"
"PG";"0,91"
"PY";"6,61"
"PE";"10,05"
"PH";"4,41"
"PL";"27,37"
"PT";"39,55"
"PR";"27,05"
"QA";"19,95"
"RE";"51,93"
"RO";"20,99"
"RU";"31,59"
"RW";"0,24"
"ST";"4,69"
"WS";"99999999999998"
"SM";"70,32"
"SA";"15,82"
"SN";"2,27"
"RS";"40,48"
"SC";"25,17"
"SL";"0,50"
"SG";"39,34"
"SK";"24,27"
"SI";"49,94"
"SB";"1,58"
"SO";"0,91"
"ZA";"9,79"
"SS";"99999999999998"
"ES";"44,48"
"LK";"13,84"
"SH";"54,69"
"KN";"41,08"
"LC";"23,72"
"PM";"76,67"
"VC";"21,02"
"SD";"1,07"
"SR";"16,09"
"SZ";"3,94"
"SE";"60,02"
"CH";"65,17"
"SY";"17,58"
"TW";"62,91"
"TJ";"4,09"
"TZ";"0,39"
"MK";"22,45"
"TH";"10,61"
"TL";"0,23"
"TG";"1,66"
"TK";"26,29"
"TO";"20,55"
"TT";"23,47"
"TN";"12,36"
"TR";"26,15"
"TM";"9,41"
"TC";"12,92"
"TV";"12,69"
"UG";"0,54"
"UA";"27,82"
"AE";"22,92"
"GB";"54,49"
"US";"52,70"
"UY";"28,90"
"UZ";"6,68"
"VU";"4,01"
"VE";"18,76"
"VN";"13,00"
"VI";"68,51"
"WF";"17,01"
"YE";"4,70"
"ZM";"0,72"
"ZW";"2,59"
