;economia_27
"AF";"514972983"
"AL";"2331521928"
"DZ";"65998137595"
"AD";"98978051"
"AO";"67712526547"
"AG";"32922552"
"AR";"75962981361"
"AM";"1467799672"
"AW";"167761270"
"AU";"252155105281"
"AT";"166271419892"
"AZ";"23904108012"
"BS";"811465065"
"BH";"20036210162"
"BD";"24537341006"
"BB";"467423520"
"BY";"37203035300"
"BE";"511505015004"
"BZ";"413453886"
"BJ";"602013920"
"BM";"21705082"
"BO";"12207463338"
"BA";"5687463465"
"BW";"7573298685"
"BR";"242032979231"
"BN";"11447186703"
"BG";"29510574320"
"BF";"2650538211"
"BI";"205748813"
"CV";"332515438"
"KH";"6665903101"
"CM";"4520921971"
"CA";"456598271021"
"CF";"48510006"
"CL";"76769729414"
"CN";"2209007280259"
"HK";"535186742965"
"MO";"99999999999998"
"CO";"58821869987"
"KM";"10134246"
"CG";"10453101909"
"CR";"11472063524"
"CI";"12083808280"
"HR";"12741618485"
"CY";"2134405446"
"CZ";"161524152111"
"DK";"110469532387"
"DO";"7960984484"
"EC";"24957644407"
"EG";"28779409063"
"SV";"5519300084"
"EE";"18284136368"
"ET";"4076943557"
"FJ";"1107989820"
"FI";"74445385637"
"FR";"567987697540"
"PF";"151488051"
"FM";"27621441"
"GM";"106204147"
"GE";"2910581723"
"DE";"1450950921369"
"GH";"12643899375"
"GR";"36261644044"
"GL";"490065316"
"GT";"10065328599"
"GN";"1780483526"
"GY";"1375940090"
"HN";"99999999999998"
"HU";"108014637456"
"IS";"4997710433"
"IN";"336611388774"
"ID";"182551754383"
"IQ";"89741882590"
"IE";"118447211689"
"IL";"66781207000"
"IT";"518095102500"
"JM";"1569116558"
"JP";"715097244251"
"JO";"7919620755"
"KZ";"84698536273"
"KE";"5536952633"
"KI";"6674917"
"KW";"114404079435"
"KG";"1773228304"
"LA";"2987771796"
"LV";"13324704654"
"LB";"3937065938"
"LT";"32599742784"
"LU";"13826005986"
"MG";"1626888977"
"MW";"1207984154"
"MY";"228316107468"
"MV";"166504976"
"ML";"99999999999998"
"MT";"5206239197"
"MR";"2462517241"
"MU";"2341299219"
"MX";"379949273136"
"MN";"4269055846"
"ME";"494375744"
"MS";"5961690"
"MA";"21965433272"
"MZ";"4023718958"
"MM";"11436327736"
"NA";"6337215726"
"NP";"863257579"
"NL";"571246854730"
"NC";"1237436478"
"NZ";"39443578425"
"NI";"4594148472"
"NE";"1337151358"
"NG";"90554484841"
"NO";"155350552822"
"OM";"55497131211"
"PK";"25120883202"
"PW";"99999999999998"
"PA";"14732126258"
"PY";"9456253392"
"PE";"42568898535"
"PH";"56697802975"
"PL";"203847917759"
"PT";"62794139450"
"QA";"136855116109"
"KR";"559618558899"
"MD";"2428303313"
"RO";"65881441578"
"RU";"527265918851"
"RW";"608096802"
"KN";"40412323"
"LC";"154530105"
"VC";"48802679"
"WS";"62108623"
"ST";"6938258"
"SA";"375360918001"
"SN";"2660988556"
"RS";"14610779427"
"SC";"574183134"
"SL";"99999999999998"
"SG";"410249671134"
"SK";"85184158316"
"SI";"28628740459"
"SB";"489231135"
"ZA";"95063105327"
"ES";"310963647634"
"LK";"10004878922"
"PS";"900617856"
"SD";"99999999999998"
"SR";"2204441328"
"SE";"167494677078"
"CH";"357905223538"
"MK";"4298765881"
"TH";"228527440414"
"TL";"53136023"
"TG";"1146450968"
"TO";"17083733"
"TT";"16597499210"
"TN";"17060464620"
"TR";"151802637087"
"UG";"2407735576"
"UA";"63320468792"
"AE";"379488767867"
"GB";"548041853304"
"TZ";"4412548850"
"UY";"9065753626"
"US";"1577587252487"
"VE";"87961213304"
"VN";"132032853998"
"YE";"7129806232"
"ZM";"10594069231"
"ZW";"3507296016"
