;redes_31
"AF";"5.45"
"AL";"54.66"
"DZ";"18.20"
"AS";"99999999999998"
"AD";"86.43"
"AO";"6.50"
"AI";"59.21"
"AG";"58.00"
"AR";"55.80"
"AM";"37.50"
"AW";"74.00"
"AU";"79.00"
"AT";"80.03"
"AZ";"54.20"
"BS";"71.75"
"BH";"88.00"
"BD";"5.00"
"BB";"71.20"
"BY";"46.91"
"BE";"80.72"
"BZ";"31.00"
"BJ";"4.50"
"BM";"91.30"
"BT";"15.60"
"BO";"35.34"
"BA";"45.06"
"BW";"16.00"
"BR";"48.56"
"VG";"37.60"
"BN";"60.27"
"BG";"51.90"
"BF";"3.73"
"BI";"1.22"
"KH";"4.94"
"CM";"7.50"
"CA";"83.00"
"CV";"34.74"
"KY";"69.70"
"CF";"3.00"
"TD";"2.10"
"CL";"55.05"
"CN";"42.30"
"CO";"48.98"
"KM";"5.98"
"CD";"1.68"
"CG";"6.11"
"CK";"42.00"
"CR";"47.50"
"CI";"5.00"
"HR";"61.94"
"CU";"21.20"
"CY";"60.69"
"CZ";"73.43"
"KP";"0.00"
"DK";"92.26"
"DJ";"8.27"
"DM";"49.80"
"DO";"42.32"
"EC";"35.14"
"EG";"26.40"
"SV";"20.32"
"GQ";"13.94"
"ER";"0.80"
"EE";"78.39"
"ET";"2.90"
"FK";"96.92"
"FO";"85.34"
"FJ";"33.74"
"FI";"89.88"
"FR";"81.44"
"GF";"99999999999998"
"PF";"52.88"
"GA";"24.00"
"GM";"12.45"
"GE";"36.94"
"DE";"82.35"
"GH";"10.60"
"GI";"65.02"
"GR";"55.07"
"GL";"64.90"
"GD";"32.00"
"GP";"99999999999998"
"GU";"61.53"
"GT";"16.00"
"GG";"99999999999998"
"GN";"3.10"
"GW";"2.89"
"GY";"30.50"
"HT";"9.80"
"HN";"18.12"
"HK";"72.90"
"HU";"70.58"
"IS";"96.21"
"IN";"12.58"
"ID";"14.52"
"IR";"22.73"
"IQ";"7.10"
"IE";"76.92"
"IL";"70.80"
"IT";"55.83"
"JM";"33.79"
"JP";"79.50"
"JE";"41.03"
"JO";"37.00"
"KZ";"61.91"
"KE";"10.50"
"KI";"10.75"
"KR";"84.07"
"KW";"70.45"
"KG";"19.80"
"LA";"10.75"
"LV";"73.12"
"LB";"61.25"
"LS";"10.00"
"LR";"2.60"
"LY";"99999999999998"
"LI";"89.41"
"LT";"67.23"
"LU";"91.95"
"MO";"61.31"
"MG";"2.30"
"MW";"4.35"
"MY";"65.80"
"MV";"38.93"
"ML";"2.80"
"MT";"68.20"
"MH";"12.50"
"MQ";"99999999999998"
"MR";"5.00"
"MU";"35.42"
"YT";"99999999999998"
"MX";"39.75"
"FM";"25.97"
"MD";"43.37"
"MC";"87.00"
"MN";"16.40"
"ME";"56.84"
"MS";"99999999999998"
"MA";"55.42"
"MZ";"6.00"
"MM";"4.00"
"NA";"12.94"
"NR";"99999999999998"
"NP";"11.15"
"AN";"99999999999998"
"NL";"92.86"
"NC";"58.00"
"NZ";"81.64"
"NI";"13.50"
"NE";"1.41"
"NG";"16.10"
"NU";"99999999999998"
"MP";"99999999999998"
"NO";"94.65"
"OM";"60.00"
"PK";"9.96"
"PS";"43.40"
"PA";"40.30"
"PG";"3.50"
"PY";"29.34"
"PE";"38.20"
"PH";"36.24"
"PL";"62.31"
"PT";"60.34"
"PR";"69.00"
"QA";"69.30"
"RE";"99999999999998"
"RO";"45.88"
"RU";"63.80"
"RW";"8.02"
"ST";"21.57"
"WS";"12.92"
"SM";"99999999999998"
"SA";"54.00"
"SN";"10.80"
"RS";"48.10"
"SC";"47.08"
"SL";"2.50"
"SG";"72.00"
"SK";"76.71"
"SI";"68.35"
"SB";"7.00"
"SO";"1.38"
"ZA";"41.00"
"ES";"69.81"
"LK";"18.29"
"SH";"37.60"
"KN";"64.00"
"LC";"34.82"
"PM";"99999999999998"
"VC";"40.00"
"SD";"21.00"
"SR";"34.68"
"SZ";"20.78"
"SE";"93.18"
"CH";"85.20"
"SY";"24.30"
"TW";"75.99"
"TJ";"14.51"
"TZ";"3.95"
"MK";"57.45"
"TH";"26.46"
"TL";"7.00"
"TG";"4.00"
"TK";"99999999999998"
"TO";"30.00"
"TT";"59.52"
"TN";"41.44"
"TR";"45.13"
"TM";"7.20"
"TC";"99999999999998"
"TV";"35.00"
"UG";"14.10"
"UA";"35.27"
"AE";"85.00"
"GB";"87.48"
"US";"74.70"
"UY";"54.45"
"UZ";"23.60"
"VU";"10.60"
"VE";"49.05"
"VN";"36.80"
"VI";"40.55"
"WF";"8.95"
"YE";"17.45"
"ZM";"13.47"
"ZW";"12.00"
