;populacao_6
"BI";"270.8"
"KM";"313.4"
"DJ";"32.7"
"ER";"37.0"
"ET";"72.6"
"KE";"60.0"
"MG";"29.7"
"MW";"130.9"
"MU";"595.6"
"YT";"444.6"
"MZ";"25.1"
"RE";"308.6"
"RW";"351.9"
"SC";"186.8"
"SO";"15.7"
"SS";"12.3"
"UG";"133.3"
"TZ";"41.9"
"ZM";"15.4"
"ZW";"32.7"
"AO";"14.6"
"CM";"34.9"
"CF";"6.4"
"TD";"7.4"
"CG";"10.3"
"CD";"22.7"
"GQ";"24.8"
"GA";"5.2"
"ST";"154.6"
"DZ";"13.6"
"EG";"74.3"
"LY";"3.2"
"MA";"66.9"
"SD";"16.7"
"TN";"64.0"
"EH";"1.5"
"BW";"3.2"
"LS";"63.2"
"NA";"2.4"
"ZA";"39.3"
"SZ";"63.2"
"BJ";"66.7"
"BF";"46.3"
"CV";"114.2"
"CI";"55.6"
"GM";"133.8"
"GH";"89.9"
"GN";"37.9"
"GW";"47.0"
"LR";"32.4"
"ML";"9.8"
"MR";"2.9"
"NE";"10.0"
"NG";"144.9"
"SH";"11.8"
"SN";"55.4"
"SL";"72.0"
"TG";"99.1"
"CN";"139.2"
"HK";"6.459.6"
"MO";"15.389.5"
"TW";"629.9"
"KP";"195.5"
"JP";"351.3"
"MN";"1.6"
"KR";"496.4"
"KZ";"5.6"
"KG";"26.1"
"TJ";"47.0"
"TM";"9.9"
"UZ";"60.7"
"AF";"35.3"
"BD";"1.068.0"
"BT";"16.4"
"IN";"372.7"
"IR";"42.3"
"MV";"1.007.4"
"NP";"174.1"
"PK";"191.6"
"LK";"306.4"
"BN";"67.1"
"KH";"72.8"
"ID";"121.7"
"LA";"24.2"
"MY";"75.1"
"MM";"72.9"
"PH";"278.5"
"SG";"6.070.4"
"TH";"126.4"
"TL";"64.6"
"VN";"266.9"
"AM";"106.0"
"AZ";"101.2"
"BH";"1.024.6"
"CY";"107.5"
"GE";"65.9"
"IQ";"59.0"
"IL";"293.4"
"JO";"60.8"
"KW";"121.7"
"LB";"361.8"
"OM";"7.7"
"QA";"59.3"
"SA";"10.5"
"PS";"571.6"
"SY";"94.8"
"TR";"85.9"
"AE";"44.8"
"YE";"36.9"
"BY";"48.0"
"BG";"71.9"
"CZ";"132.6"
"HU";"112.0"
"PL";"125.5"
"MD";"127.0"
"RO";"94.4"
"RU";"8.8"
"SK";"112.3"
"UA";"82.1"
"DK";"127.0"
"EE";"32.4"
"FO";"34.4"
"FI";"17.2"
"IS";"2.9"
"IE";"58.8"
"IM";"130.9"
"LV";"37.1"
"LT";"54.5"
"NO";"12.5"
"SE";"21.8"
"GB";"246.3"
"AL";"113.5"
"AD";"155.7"
"BA";"74.1"
"HR";"78.4"
"GI";"3.172.0"
"GR";"87.2"
"VA";"1.813.6"
"IT";"197.7"
"MT";"1.260.0"
"ME";"45.7"
"PT";"114.5"
"SM";"474.9"
"RS";"106.4"
"SI";"98.8"
"ES";"85.5"
"MK";"81.4"
"AT";"99.2"
"BE";"344.1"
"FR";"110.6"
"DE";"234.4"
"LI";"214.5"
"LU";"172.7"
"MC";"22.102.7"
"NL";"480.5"
"CH";"184.5"
"AI";"133.6"
"AG";"198.4"
"AW";"539.0"
"BS";"31.5"
"BB";"633.2"
"VG";"146.7"
"KY";"191.8"
"CU";"105.7"
"CW";"288.3"
"DM";"93.5"
"DO";"185.6"
"GD";"301.1"
"GP";"256.9"
"HT";"325.7"
"JM";"250.5"
"MQ";"372.2"
"MS";"44.7"
"PR";"427.0"
"KN";"182.0"
"LC";"263.9"
"VC";"277.8"
"SX";"951.4"
"TT";"250.3"
"TC";"24.6"
"VI";"309.6"
"BZ";"11.8"
"CR";"80.8"
"SV";"288.2"
"GT";"116.7"
"HN";"62.9"
"MX";"54.3"
"NI";"43.6"
"PA";"43.2"
"AR";"14.0"
"BO";"8.1"
"BR";"21.8"
"CL";"21.3"
"CO";"38.0"
"EC";"53.5"
"FK";"0.2"
"GF";"2.3"
"GY";"3.8"
"PY";"14.1"
"PE";"21.1"
"SR";"3.1"
"UY";"19.0"
"VE";"29.3"
"BM";"1.297.4"
"CA";"3.5"
"GL";"0.1"
"PM";"27.2"
"US";"31.7"
"AU";"2.6"
"NZ";"15.3"
"FJ";"44.7"
"NC";"12.3"
"PG";"13.3"
"SB";"16.0"
"VU";"16.3"
"FM";"158.6"
"GU";"292.1"
"KI";"109.8"
"MH";"289.5"
"FM";"152.6"
"NR";"505.3"
"MP";"146.6"
"PW";"42.8"
"AS";"295.6"
"CK";"79.8"
"PF";"67.9"
"NU";"6.8"
"WS";"62.8"
"TK";"135.1"
"TO";"138.6"
"TV";"325.6"
"WF";"104.7"
"BI";"1.412.2"
"KM";"961.7"
"DJ";"58.4"
"ER";"118.7"
"ET";"226.1"
"KE";"208.1"
"MG";"122.7"
"MW";"595.2"
"MU";"552.2"
"YT";"1.638.3"
"MZ";"119.1"
"RE";"400.3"
"RW";"1.045.6"
"SC";"195.7"
"SO";"82.2"
"SS";"53.7"
"UG";"742.1"
"TZ";"222.6"
"ZM";"79.5"
"ZW";"92.1"
"AO";"88.5"
"CM";"140.2"
"CF";"18.1"
"TD";"35.9"
"CG";"46.6"
"CD";"120.1"
"GQ";"132.0"
"GA";"16.4"
"ST";"496.0"
"DZ";"25.8"
"EG";"177.1"
"LY";"4.6"
"MA";"105.1"
"SD";"59.0"
"TN";"90.2"
"EH";"4.3"
"BW";"6.6"
"LS";"119.8"
"NA";"6.3"
"ZA";"63.3"
"SZ";"136.2"
"BJ";"283.9"
"BF";"214.3"
"CV";"190.4"
"CI";"221.4"
"GM";"577.5"
"GH";"275.9"
"GN";"145.1"
"GW";"163.2"
"LR";"135.0"
"ML";"49.5"
"MR";"11.3"
"NE";"87.1"
"NG";"614.2"
"SH";"10.3"
"SN";"237.6"
"SL";"210.5"
"TG";"359.9"
"CN";"130.4"
"HK";"7.868.2"
"MO";"32.009.3"
"TW";"575.2"
"KP";"214.6"
"JP";"267.8"
"MN";"2.8"
"KR";"467.7"
"KZ";"9.1"
"KG";"45.2"
"TJ";"120.1"
"TM";"17.7"
"UZ";"97.1"
"AF";"107.7"
"BD";"1.539.0"
"BT";"25.8"
"IN";"561.8"
"IR";"54.2"
"MV";"1.930.4"
"NP";"249.8"
"PK";"442.5"
"LK";"301.7"
"BN";"101.2"
"KH";"132.3"
"ID";"178.9"
"LA";"40.3"
"MY";"133.0"
"MM";"93.7"
"PH";"557.8"
"SG";"8.945.5"
"TH";"113.9"
"TL";"206.3"
"VN";"370.4"
"AM";"84.1"
"AZ";"128.5"
"BH";"3.206.5"
"CY";"151.2"
"GE";"43.7"
"IQ";"251.9"
"IL";"674.8"
"JO";"181.3"
"KW";"333.3"
"LB";"512.9"
"OM";"23.0"
"QA";"347.4"
"SA";"21.5"
"PS";"2.025.2"
"SY";"205.6"
"TR";"123.9"
"AE";"170.6"
"YE";"102.3"
"BY";"39.8"
"BG";"42.8"
"CZ";"122.6"
"HU";"82.3"
"PL";"91.1"
"MD";"82.7"
"RO";"62.8"
"RU";"7.8"
"SK";"93.4"
"UA";"55.9"
"DK";"154.2"
"EE";"24.4"
"FO";"40.4"
"FI";"19.8"
"IS";"3.9"
"IE";"87.6"
"IM";"177.0"
"LV";"21.5"
"LT";"34.7"
"NO";"20.3"
"SE";"30.1"
"GB";"322.3"
"AL";"84.3"
"AD";"148.2"
"BA";"53.4"
"HR";"54.7"
"GI";"3.728.5"
"GR";"68.2"
"VA";"1.847.7"
"IT";"173.0"
"MT";"1.242.3"
"ME";"40.2"
"PT";"86.3"
"SM";"558.9"
"RS";"76.1"
"SI";"89.0"
"ES";"80.8"
"MK";"69.4"
"AT";"104.0"
"BE";"418.5"
"FR";"131.1"
"DE";"216.5"
"LI";"275.0"
"LU";"341.2"
"MC";"33.947.0"
"NL";"507.3"
"CH";"257.3"
"AI";"161.8"
"AG";"289.1"
"AW";"573.3"
"BS";"48.3"
"BB";"625.9"
"VG";"248.9"
"KY";"368.6"
"CU";"90.5"
"CW";"419.3"
"DM";"95.0"
"DO";"277.0"
"GD";"288.2"
"GP";"230.4"
"HT";"516.2"
"JM";"212.2"
"MQ";"301.0"
"MS";"51.4"
"PR";"320.7"
"KN";"236.8"
"LC";"272.5"
"VC";"256.2"
"SX";"1.659.6"
"TT";"227.8"
"TC";"53.1"
"VI";"217.3"
"BZ";"28.9"
"CR";"111.4"
"SV";"325.1"
"GT";"285.5"
"HN";"126.1"
"MX";"85.9"
"NI";"66.5"
"PA";"85.1"
"AR";"21.2"
"BO";"16.1"
"BR";"26.8"
"CL";"27.6"
"CO";"47.3"
"EC";"99.0"
"FK";"0.2"
"GF";"8.3"
"GY";"3.9"
"PY";"23.2"
"PE";"33.7"
"SR";"4.1"
"UY";"20.5"
"VE";"49.1"
"BM";"963.8"
"CA";"5.3"
"GL";"0.1"
"PM";"32.3"
"US";"45.5"
"AU";"4.8"
"NZ";"22.7"
"FJ";"52.9"
"NC";"22.6"
"PG";"36.3"
"SB";"44.2"
"VU";"46.7"
"FM";"216.2"
"GU";"356.8"
"KI";"255.7"
