;economia_21
"AF";"19.839"
"AO";"75.321"
"AL";"45.771"
"AE";"37.714"
"AR";"46.454"
"AM";"51.467"
"AU";"58.784"
"AT";"53.529"
"AZ";"60.194"
"BI";"79.218"
"BE";"47.312"
"BJ";"70.495"
"BF";"56.076"
"BD";"34.118"
"BG";"47.021"
"BH";"44.053"
"BS";"68.582"
"BA";"33.729"
"BY";"55.212"
"BZ";"57.383"
"BO";"56.46"
"BR";"51.699"
"BB";"58.867"
"BN";"58.648"
"BT";"60.92"
"BW";"67.753"
"CF";"63.7"
"CA";"59.166"
"TD";"65.339"
"CH";"61.543"
"CL";"51.934"
"CN";"55.742"
"CI";"48.893"
"CM";"71.643"
"CD";"71.348"
"CG";"66.778"
"CO";"60.135"
"KM";"37.328"
"CV";"52.43"
"CR";"46.963"
"CU";"39.208"
"CY";"57.087"
"CZ";"50.343"
"DE";"54.324"
"DJ";"50.311"
"DK";"57.846"
"DO";"54.538"
"DZ";"14.757"
"EC";"51.624"
"EG";"23.421"
"ER";"75.519"
"EH";"29.726"
"ES";"49.758"
"EE";"54.671"
"ET";"79.366"
"FI";"53.818"
"FJ";"39.552"
"FR";"49.926"
"GA";"44.189"
"GB";"56.236"
"GE";"56.563"
"GH";"75.7"
"GN";"63.33"
"GM";"52.463"
"GW";"66.311"
"GQ";"55.914"
"GR";"42.982"
"GT";"40.784"
"GU";"51.069"
"GY";"41.563"
"HK";"50.056"
"HN";"51.493"
"HR";"44.393"
"HT";"66.358"
"HU";"48.132"
"ID";"50.177"
"IN";"25.011"
"IE";"50.874"
"IR";"13.83"
"IQ";"20.722"
"IS";"69.342"
"IL";"59.5"
"IT";"38.039"
"JM";"58.237"
"JO";"14.269"
"JP";"50.132"
"KZ";"60.388"
"KE";"61.85"
"KG";"44.372"
"KH";"82.195"
"KR";"50.306"
"KW";"42.282"
"LA";"76.843"
"LB";"23.321"
"LR";"54.279"
"LY";"25.216"
"LC";"61.88"
"LK";"33.842"
"LS";"58.776"
"LT";"53.822"
"LU";"52.513"
"LV";"52.338"
"MO";"61.771"
"MA";"24.012"
"MD";"34.266"
"MG";"85.403"
"MV";"45.688"
"MX";"45.194"
"MK";"42.551"
"ML";"63.753"
"MT";"41.703"
"MM";"50.066"
"ME";"40.728"
"MN";"49.698"
"MZ";"80.695"
"MR";"31.349"
"MU";"45.026"
"MW";"72.235"
"MY";"51.65"
"NA";"61.946"
"NC";"55.165"
"NE";"67.374"
"NG";"51.347"
"NI";"51.932"
"NL";"57.154"
"NO";"60.036"
"NP";"82.825"
"NZ";"62.642"
"OM";"28.386"
"PK";"26.318"
"PA";"52.747"
"PE";"72.733"
"PH";"50.696"
"PG";"68.808"
"PL";"46.365"
"PR";"32.463"
"KP";"72.777"
"PT";"50.625"
"PY";"59.118"
"PS";"21.111"
"PF";"46.349"
"QA";"56.283"
"RO";"40.811"
"RU";"53.809"
"RW";"85.77"
"SA";"21.154"
"SD";"22.658"
"SN";"48.304"
"SG";"58.369"
"SB";"61.976"
"SL";"55.963"
"SV";"49.427"
"SO";"18.86"
"RS";"43.763"
"SS";"71.44"
"ST";"41.298"
"SR";"42.521"
"SK";"50.05"
"SI";"47.83"
"SE";"61.012"
"SZ";"44.037"
"SY";"10.558"
"TG";"73.453"
"TH";"58.068"
"TJ";"43.73"
"TM";"51.788"
"TL";"22.842"
"TO";"44.73"
"TT";"49.786"
"TN";"22.315"
"TR";"30.734"
"TW";"47.827"
"TZ";"78.911"
"UG";"67.86"
"UA";"43.686"
"UY";"57.372"
"US";"53.528"
"UZ";"52.413"
"VC";"58.227"
"VE";"51.153"
"VI";"54.897"
"VN";"71.398"
"VU";"61.154"
"WS";"22.914"
"YE";"4.368"
"ZA";"47.887"
"ZM";"70.517"
"ZW";"80.874"
