;economia_20
"AF";"54.491"
"AO";"77.342"
"AL";"52.99"
"AE";"73.036"
"AR";"58.569"
"AM";"59.618"
"AU";"63.627"
"AT";"57.29"
"AZ";"61.482"
"BI";"77.108"
"BE";"51.07"
"BJ";"71.997"
"BF";"64.603"
"BD";"56.824"
"BG";"52.14"
"BH";"70.622"
"BS";"73.295"
"BA";"44.075"
"BY";"59.519"
"BZ";"69.822"
"BO";"68.416"
"BR";"61.181"
"BB";"61.419"
"BN";"65.129"
"BT";"67.365"
"BW";"73.162"
"CF";"72.741"
"CA";"62.585"
"TD";"71.373"
"CH";"65.213"
"CL";"63.122"
"CN";"62.441"
"CI";"57.214"
"CM";"76.167"
"CD";"72.417"
"CG";"68.78"
"CO";"71.104"
"KM";"43.959"
"CV";"61.992"
"CR";"59.087"
"CU";"50.229"
"CY";"60.775"
"CZ";"57.013"
"DE";"58.335"
"DJ";"59.321"
"DK";"61.139"
"DO";"66.134"
"DZ";"38.02"
"EC";"64.766"
"EG";"48.289"
"ER";"81.277"
"EH";"54.997"
"ES";"53.254"
"EE";"59.519"
"ET";"84.102"
"FI";"56.756"
"FJ";"56.093"
"FR";"53.632"
"GA";"50.946"
"GB";"60.986"
"GE";"65.584"
"GH";"78.234"
"GN";"64.313"
"GM";"60.343"
"GW";"71.771"
"GQ";"58.539"
"GR";"48.346"
"GT";"62.711"
"GU";"62.584"
"GY";"57.766"
"HK";"54.535"
"HN";"67.968"
"HR";"48.683"
"HT";"70.578"
"HU";"54.527"
"ID";"65.023"
"IN";"52.409"
"IE";"56.275"
"IR";"38.925"
"IQ";"48.038"
"IS";"72.029"
"IL";"63.757"
"IT";"45.279"
"JM";"67.566"
"JO";"37.519"
"JP";"58.459"
"KZ";"64.536"
"KE";"65.297"
"KG";"57.337"
"KH";"86.07"
"KR";"60.362"
"KW";"63.641"
"LA";"78.237"
"LB";"46.194"
"LR";"55.96"
"LY";"50.931"
"LC";"67.576"
"LK";"51.451"
"LS";"66.949"
"LT";"56.973"
"LU";"56.826"
"LV";"56.655"
"MO";"65.698"
"MA";"46.916"
"MD";"37.212"
"MG";"88.022"
"MV";"66.916"
"MX";"61.178"
"MK";"53.697"
"ML";"74.897"
"MT";"52.677"
"MM";"63.302"
"ME";"46.032"
"MN";"54.061"
"MZ";"77.883"
"MR";"49.154"
"MU";"56.696"
"MW";"78.235"
"MY";"64.878"
"NA";"64.724"
"NC";"59.892"
"NE";"79.103"
"NG";"54.997"
"NI";"67.1"
"NL";"61.242"
"NO";"62.473"
"NP";"84.442"
"NZ";"67.295"
"OM";"66.894"
"PK";"53.955"
"PA";"66.681"
"PE";"79.95"
"PH";"62.557"
"PG";"69.568"
"PL";"52.808"
"PR";"40.185"
"KP";"78.723"
"PT";"54.209"
"PY";"71.13"
"PS";"47.622"
"PF";"51.426"
"QA";"84.59"
"RO";"49.278"
"RU";"59.258"
"RW";"85.334"
"SA";"52.975"
"SD";"46.049"
"SN";"58.759"
"SG";"65.463"
"SB";"71.089"
"SL";"56.855"
"SV";"64.023"
"SO";"46.671"
"RS";"50.344"
"SS";"72.434"
"ST";"58.018"
"SR";"52.255"
"SK";"56.109"
"SI";"50.697"
"SE";"63.779"
"SZ";"55.307"
"SY";"39.849"
"TG";"76.041"
"TH";"65.275"
"TJ";"57.51"
"TM";"63.087"
"TL";"37.178"
"TO";"59.982"
"TT";"58.69"
"TN";"43.198"
"TR";"48.857"
"TW";"53.904"
"TZ";"83.505"
"UG";"71.79"
"UA";"49.892"
"UY";"66.03"
"US";"59.251"
"UZ";"63.733"
"VC";"67.54"
"VE";"63.054"
"VI";"57.604"
"VN";"75.367"
"VU";"70.144"
"WS";"30.264"
"YE";"36.684"
"ZA";"54"
"ZM";"74.906"
"ZW";"85.725"
