;indicadoressociais_12
"AW";""
"AF";"22.2"
"AO";"38.2"
"AL";"6.6"
"AD";""
"AE";"5.6"
"AR";"3.9"
"AM";"5.6"
"AS";""
"AG";""
"AU";"2.5"
"AT";"2.5"
"AZ";"2.5"
"BI";""
"BE";"2.5"
"BJ";"11.3"
"BF";"20.7"
"BD";"17"
"BG";"5.4"
"BH";""
"BS";""
"BA";"2.5"
"BY";"2.5"
"BZ";"5.8"
"BM";""
"BO";"24.6"
"BR";"2.5"
"BB";"4.9"
"BN";"2.9"
"BT";""
"BW";"26.5"
"CF";"33.6"
"CA";"2.5"
"CH";"2.5"
"CL";"4"
"CN";"11.1"
"CI";"21.6"
"CM";"10.1"
"CD";""
"CG";"39.5"
"CO";"10.9"
"KM";""
"CV";"15.1"
"CR";"5.2"
"CU";"2.5"
"CW";""
"KY";""
"CY";"4.2"
"CZ";"2.5"
"DE";"2.5"
"DJ";"21.3"
"DM";"5.6"
"DK";"2.5"
"DO";"14.6"
"DZ";"5.6"
"EC";"9.1"
"EG";"4.5"
"ER";""
"ES";"2.5"
"EE";"2.7"
"ET";"30.7"
"FI";"2.5"
"FJ";"4.5"
"FR";"2.5"
"FO";""
"FM";""
"GA";"10"
"GB";"2.5"
"GE";"8.1"
"GH";"5.5"
"GI";""
"GN";"17.3"
"GM";"9.1"
"GW";"22.2"
"GQ";""
"GR";"2.5"
"GD";""
"GL";""
"GT";"15.8"
"GU";""
"GY";"10.5"
"HK";"2.5"
"HN";"15.2"
"HR";"2.6"
"HT";"49.5"
"HU";"2.5"
"ID";"10.1"
"IM";""
"IN";"17.4"
"IE";"2.5"
"IR";"5.7"
"IQ";"26.7"
"IS";"2.5"
"IL";"2.5"
"IT";"2.5"
"JM";"9"
"JO";"8.6"
"JP";"2.5"
"KZ";"2.7"
"KE";"22.5"
"KG";"7.8"
"KH";"18.7"
"KI";"3.3"
"KN";""
"KR";"2.5"
"KW";"2.5"
"LA";"19.6"
"LB";"5.9"
"LR";"36.7"
"LY";""
"LC";""
"LI";""
"LK";"13.1"
"LS";"13.1"
"LT";"2.5"
"LU";"2.5"
"LV";"2.5"
"MO";"13.2"
"MF";""
"MA";"4.9"
"MC";""
"MD";""
"MG";"32"
"MV";"11"
"MX";"4.6"
"MH";""
"MK";"4.6"
"ML";"6.7"
"MT";"2.5"
"MM";"15.3"
"ME";"2.5"
"MN";"19.5"
"MP";""
"MZ";"28.9"
"MR";"7.8"
"MU";"5.1"
"MW";"21.7"
"MY";"3.5"
"NA";"36.1"
"NC";"7.5"
"NE";"10.9"
"NG";"6.5"
"NI";"20"
"NL";"2.5"
"NO";"2.5"
"NP";"9.4"
"NR";""
"NZ";"2.5"
"OM";"5.3"
"PK";"21.1"
"PA";"11.8"
"PE";"10.2"
"PH";"13.7"
"PW";""
"PG";""
"PL";"2.5"
"PR";""
"KP";"41.7"
"PT";"2.5"
"PY";"11.9"
"PS";""
"PF";"4.2"
"QA";""
"RO";"2.5"
"RU";"2.5"
"RW";"33.5"
"SA";"6.4"
"SD";""
"SN";"13"
"SG";""
"SB";"11.1"
"SL";"25.2"
"SV";"12.5"
"SM";""
"SO";""
"RS";"6"
"SS";""
"ST";"15.5"
"SR";"8.1"
"SK";"4.1"
"SI";"2.5"
"SE";"2.5"
"SZ";"22.7"
"SX";""
"SC";""
"SY";""
"TC";""
"TD";"38.9"
"TG";"20.1"
"TH";"8.8"
"TJ";""
"TM";"4.9"
"TL";"27.9"
"TO";""
"TT";"8.6"
"TN";"4.6"
"TR";"2.5"
"TV";""
"TZ";"33.6"
"UG";"31.6"
"UA";"2.5"
"UY";"2.5"
"US";"2.5"
"UZ";"8.2"
"VC";"6.4"
"VE";"3.6"
"VG";""
"VI";""
"VN";"13"
"VU";"6.1"
"WS";"3.3"
"YE";"25.2"
"ZA";"4.4"
"ZM";"48.8"
"ZW";"41.3"
