;populacao_5
"BI";"91.1"
"KM";"72.1"
"DJ";"23.3"
"ER";"70.8"
"ET";"84.7"
"KE";"79.1"
"MG";"72.1"
"MW";"85.1"
"MU";"57.7"
"YT";"49.7"
"MZ";"70.4"
"RE";"5.3"
"RW";"83.1"
"SC";"48.9"
"SO";"65.2"
"SS";"83.1"
"UG";"83.9"
"TZ";"76.4"
"ZM";"64.1"
"ZW";"65.5"
"AO";"46.4"
"CM";"52.7"
"CF";"62.1"
"TD";"78.3"
"CG";"39.9"
"CD";"63.5"
"GQ";"45.7"
"GA";"18.9"
"ST";"43.2"
"DZ";"37.7"
"EG";"57.1"
"LY";"23.2"
"MA";"45.7"
"SD";"67.4"
"TN";"35.4"
"EH";"14.1"
"BW";"45.0"
"LS";"78.9"
"NA";"65.3"
"ZA";"41.6"
"SZ";"77.7"
"BJ";"60.5"
"BF";"80.0"
"CV";"44.0"
"CI";"55.6"
"GM";"49.4"
"GH";"54.1"
"GN";"68.3"
"GW";"62.6"
"LR";"54.6"
"ML";"69.5"
"MR";"59.7"
"NE";"83.8"
"NG";"62.6"
"SH";"59.9"
"SN";"59.1"
"SL";"63.7"
"TG";"65.7"
"CN";"60.2"
"HK";"0.0"
"MO";"0.0"
"TW";"28.7"
"KP";"40.4"
"JP";"16.8"
"MN";"39.6"
"KR";"19.4"
"KZ";"43.7"
"KG";"64.7"
"TJ";"73.5"
"TM";"53.4"
"UZ";"52.4"
"AF";"77.7"
"BD";"74.6"
"BT";"71.3"
"IN";"71.4"
"IR";"33.8"
"MV";"68.8"
"NP";"85.5"
"PK";"66.4"
"LK";"81.7"
"BN";"27.6"
"KH";"81.1"
"ID";"55.6"
"LA";"74.9"
"MY";"35.2"
"MM";"72.4"
"PH";"54.1"
"SG";"0.0"
"TH";"65.1"
"TL";"74.7"
"VN";"73.9"
"AM";"35.9"
"AZ";"48.0"
"BH";"11.6"
"CY";"31.5"
"GE";"47.2"
"IQ";"31.3"
"IL";"8.6"
"JO";"21.7"
"KW";"0.0"
"LB";"13.6"
"OM";"28.5"
"QA";"3.1"
"SA";"19.5"
"PS";"27.4"
"SY";"47.0"
"TR";"33.4"
"AE";"18.5"
"YE";"72.2"
"BY";"28.6"
"BG";"30.1"
"CZ";"26.3"
"HU";"34.5"
"PL";"38.3"
"MD";"56.6"
"RO";"47.1"
"RU";"26.6"
"SK";"44.1"
"UA";"32.6"
"DK";"14.6"
"EE";"31.0"
"FO";"61.3"
"FI";"17.4"
"IS";"7.2"
"IE";"40.1"
"IM";"48.1"
"LV";"32.2"
"LT";"33.3"
"NO";"22.9"
"SE";"15.8"
"GB";"20.7"
"AL";"55.4"
"AD";"8.8"
"BA";"56.7"
"HR";"46.0"
"GI";"0.0"
"GR";"26.3"
"VA";"0.0"
"IT";"32.5"
"MT";"6.8"
"ME";"38.4"
"PT";"43.7"
"SM";"6.0"
"RS";"46.6"
"SI";"48.9"
"ES";"23.2"
"MK";"42.1"
"AT";"40.6"
"BE";"2.7"
"FR";"23.4"
"DE";"24.4"
"LI";"85.2"
"LU";"14.3"
"MC";"0.0"
"NL";"19.7"
"CH";"26.6"
"AI";"0.0"
"AG";"69.5"
"AW";"54.4"
"BS";"17.9"
"BB";"66.8"
"VG";"57.4"
"KY";"0.0"
"CU";"24.1"
"CW";"9.2"
"DM";"34.0"
"DO";"35.4"
"GD";"64.1"
"GP";"1.6"
"HT";"59.4"
"JM";"47.6"
"MQ";"10.5"
"MS";"90.6"
"PR";"5.8"
"KN";"67.7"
"LC";"74.8"
"VC";"53.7"
"SX";"0.0"
"TT";"44.7"
"TC";"13.4"
"VI";"6.8"
"BZ";"54.7"
"CR";"36.9"
"SV";"39.4"
"GT";"53.7"
"HN";"52.7"
"MX";"24.3"
"NI";"44.4"
"PA";"36.9"
"AR";"10.3"
"BO";"36.8"
"BR";"17.8"
"CL";"13.3"
"CO";"24.8"
"EC";"38.7"
"FK";"30.4"
"GF";"19.7"
"GY";"71.7"
"PY";"43.0"
"PE";"25.8"
"SR";"33.3"
"UY";"7.2"
"VE";"12.1"
"BM";"0.0"
"CA";"20.0"
"GL";"17.7"
"PM";"10.4"
"US";"20.4"
"AU";"15.7"
"NZ";"13.8"
"FJ";"50.9"
"NC";"37.0"
"PG";"86.9"
"SB";"83.0"
"VU";"77.5"
"FM";"34.1"
"GU";"6.6"
"KI";"56.5"
"MH";"29.9"
"FM";"77.7"
"NR";"0.0"
"MP";"9.6"
"PW";"30.4"
"AS";"11.7"
"CK";"30.9"
"PF";"43.8"
"NU";"65.7"
"WS";"78.3"
"TK";"100.0"
"TO";"76.9"
"TV";"52.3"
"WF";"100.0"
