;populacao_5
"BI";"86.6"
"KM";"70.8"
"DJ";"22.1"
"ER";"59.3"
"ET";"78.8"
"KE";"72.5"
"MG";"62.1"
"MW";"82.8"
"MU";"59.2"
"YT";"54.1"
"MZ";"63.5"
"RE";"0.4"
"RW";"82.7"
"SC";"42.9"
"SO";"54.5"
"SS";"80.1"
"UG";"75.6"
"TZ";"65.5"
"ZM";"55.9"
"ZW";"67.8"
"AO";"33.8"
"CM";"43.0"
"CF";"58.2"
"TD";"76.7"
"CG";"32.6"
"CD";"55.0"
"GQ";"27.4"
"GA";"10.3"
"ST";"26.4"
"DZ";"26.8"
"EG";"57.3"
"LY";"19.6"
"MA";"37.0"
"SD";"65.1"
"TN";"30.8"
"EH";"13.2"
"BW";"29.8"
"LS";"71.4"
"NA";"49.0"
"ZA";"33.1"
"SZ";"76.0"
"BJ";"52.1"
"BF";"70.0"
"CV";"33.8"
"CI";"48.8"
"GM";"38.1"
"GH";"43.3"
"GN";"63.5"
"GW";"56.2"
"LR";"48.4"
"ML";"56.9"
"MR";"45.5"
"NE";"83.5"
"NG";"48.8"
"SH";"60.1"
"SN";"52.4"
"SL";"57.5"
"TG";"57.8"
"CN";"39.7"
"HK";"0.0"
"MO";"0.0"
"TW";"21.5"
"KP";"37.9"
"JP";"8.3"
"MN";"31.5"
"KR";"18.6"
"KZ";"42.5"
"KG";"63.4"
"TJ";"72.7"
"TM";"48.0"
"UZ";"49.6"
"AF";"74.3"
"BD";"62.6"
"BT";"58.4"
"IN";"65.5"
"IR";"24.6"
"MV";"59.8"
"NP";"79.9"
"PK";"63.1"
"LK";"81.4"
"BN";"22.1"
"KH";"76.2"
"ID";"44.0"
"LA";"64.4"
"MY";"23.4"
"MM";"69.2"
"PH";"52.9"
"SG";"0.0"
"TH";"49.3"
"TL";"69.1"
"VN";"63.4"
"AM";"36.8"
"AZ";"44.0"
"BH";"10.6"
"CY";"33.2"
"GE";"41.0"
"IQ";"29.3"
"IL";"7.5"
"JO";"8.8"
"KW";"0.0"
"LB";"11.2"
"OM";"14.6"
"QA";"0.8"
"SA";"15.9"
"PS";"23.6"
"SY";"45.2"
"TR";"24.4"
"AE";"13.2"
"YE";"62.7"
"BY";"21.0"
"BG";"24.7"
"CZ";"26.1"
"HU";"28.4"
"PL";"40.0"
"MD";"57.3"
"RO";"45.9"
"RU";"25.4"
"SK";"46.3"
"UA";"30.5"
"DK";"12.0"
"EE";"31.0"
"FO";"57.8"
"FI";"14.6"
"IS";"6.1"
"IE";"36.6"
"IM";"47.3"
"LV";"31.8"
"LT";"32.1"
"NO";"17.4"
"SE";"12.3"
"GB";"16.4"
"AL";"38.8"
"AD";"12.0"
"BA";"51.4"
"HR";"42.8"
"GI";"0.0"
"GR";"20.6"
"VA";"0.0"
"IT";"29.3"
"MT";"5.3"
"ME";"32.9"
"PT";"34.2"
"SM";"2.6"
"RS";"43.7"
"SI";"45.2"
"ES";"19.4"
"MK";"41.8"
"AT";"41.5"
"BE";"2.0"
"FR";"19.3"
"DE";"22.6"
"LI";"85.6"
"LU";"8.8"
"MC";"0.0"
"NL";"8.1"
"CH";"26.2"
"AI";"0.0"
"AG";"75.5"
"AW";"56.5"
"BS";"16.9"
"BB";"68.8"
"VG";"51.9"
"KY";"0.0"
"CU";"22.9"
"CW";"10.9"
"DM";"29.2"
"DO";"18.2"
"GD";"63.6"
"GP";"1.5"
"HT";"43.8"
"JM";"44.0"
"MQ";"10.9"
"MS";"90.9"
"PR";"6.4"
"KN";"69.2"
"LC";"81.3"
"VC";"47.4"
"SX";"0.0"
"TT";"46.8"
"TC";"6.6"
"VI";"4.2"
"BZ";"54.1"
"CR";"19.9"
"SV";"27.3"
"GT";"48.6"
"HN";"42.3"
"MX";"19.6"
"NI";"41.2"
"PA";"31.9"
"AR";"8.0"
"BO";"30.2"
"BR";"13.2"
"CL";"12.4"
"CO";"18.9"
"EC";"36.0"
"FK";"21.9"
"GF";"14.4"
"GY";"73.3"
"PY";"38.1"
"PE";"21.9"
"SR";"33.9"
"UY";"4.6"
"VE";"11.8"
"BM";"0.0"
"CA";"18.5"
"GL";"13.0"
"PM";"10.1"
"US";"17.5"
"AU";"13.9"
"NZ";"13.4"
"FJ";"43.3"
"NC";"28.9"
"PG";"86.8"
"SB";"75.8"
"VU";"74.6"
"FM";"31.0"
"GU";"5.1"
"KI";"45.2"
"MH";"22.6"
"FM";"77.2"
"NR";"0.0"
"MP";"8.3"
"PW";"19.5"
"AS";"12.9"
"CK";"24.7"
"PF";"38.1"
"NU";"54.5"
"WS";"81.9"
"TK";"100.0"
"TO";"76.9"
"TV";"36.8"
"WF";"100.0"
