;populacao_4
"BI";"12.7"
"KM";"28.8"
"DJ";"77.7"
"ER";"39.5"
"ET";"20.3"
"KE";"26.6"
"MG";"36.5"
"MW";"16.7"
"MU";"40.8"
"YT";"46.4"
"MZ";"35.5"
"RE";"99.5"
"RW";"17.1"
"SC";"56.3"
"SO";"44.4"
"SS";"19.4"
"UG";"23.2"
"TZ";"33.1"
"ZM";"43.0"
"ZW";"32.2"
"AO";"64.8"
"CM";"55.8"
"CF";"41.0"
"TD";"22.9"
"CG";"66.5"
"CD";"43.9"
"GQ";"71.7"
"GA";"89.0"
"ST";"72.0"
"DZ";"72.1"
"EG";"42.7"
"LY";"79.8"
"MA";"61.9"
"SD";"34.4"
"TN";"68.6"
"EH";"86.6"
"BW";"68.7"
"LS";"27.7"
"NA";"49.0"
"ZA";"65.9"
"SZ";"23.6"
"BJ";"46.8"
"BF";"28.7"
"CV";"65.3"
"CI";"50.3"
"GM";"60.6"
"GH";"55.4"
"GN";"35.8"
"GW";"42.9"
"LR";"50.7"
"ML";"41.6"
"MR";"52.8"
"NE";"16.4"
"NG";"49.5"
"SH";"39.7"
"SN";"46.7"
"SL";"41.6"
"TG";"41.2"
"CN";"58.0"
"HK";"100.0"
"MO";"100.0"
"TW";"77.8"
"KP";"61.7"
"JP";"91.5"
"MN";"68.4"
"KR";"81.5"
"KZ";"57.3"
"KG";"36.1"
"TJ";"27.0"
"TM";"51.2"
"UZ";"50.6"
"AF";"25.3"
"BD";"35.9"
"BT";"40.2"
"IN";"33.6"
"IR";"74.4"
"MV";"39.4"
"NP";"19.3"
"PK";"36.4"
"LK";"18.4"
"BN";"77.3"
"KH";"23.0"
"ID";"54.7"
"LA";"34.4"
"MY";"75.5"
"MM";"30.3"
"PH";"46.7"
"SG";"100.0"
"TH";"49.2"
"TL";"30.2"
"VN";"35.2"
"AM";"63.1"
"AZ";"55.3"
"BH";"89.2"
"CY";"66.8"
"GE";"58.2"
"IQ";"70.3"
"IL";"92.3"
"JO";"90.8"
"KW";"100.0"
"LB";"88.4"
"OM";"83.6"
"QA";"99.1"
"SA";"83.6"
"PS";"75.9"
"SY";"53.5"
"TR";"74.6"
"AE";"86.3"
"YE";"36.0"
"BY";"78.1"
"BG";"74.7"
"CZ";"73.7"
"HU";"71.1"
"PL";"60.1"
"MD";"42.6"
"RO";"53.9"
"RU";"74.3"
"SK";"53.8"
"UA";"69.3"
"DK";"87.8"
"EE";"68.7"
"FO";"41.9"
"FI";"85.3"
"IS";"93.8"
"IE";"63.0"
"IM";"52.5"
"LV";"68.1"
"LT";"67.5"
"NO";"81.9"
"SE";"87.2"
"GB";"83.1"
"AL";"59.4"
"AD";"88.2"
"BA";"47.9"
"HR";"56.7"
"GI";"100.0"
"GR";"78.7"
"VA";"100.0"
"IT";"70.1"
"MT";"94.6"
"ME";"66.5"
"PT";"64.7"
"SM";"97.1"
"RS";"55.9"
"SI";"54.3"
"ES";"80.1"
"MK";"57.8"
"AT";"58.1"
"BE";"98.0"
"FR";"80.2"
"DE";"77.3"
"LI";"14.3"
"LU";"90.7"
"MC";"100.0"
"NL";"91.1"
"CH";"73.8"
"AI";"100.0"
"AG";"24.7"
"AW";"43.3"
"BS";"82.9"
"BB";"31.2"
"VG";"47.3"
"KY";"100.0"
"CU";"77.0"
"CW";"89.2"
"DM";"70.2"
"DO";"80.3"
"GD";"36.2"
"GP";"98.5"
"HT";"54.4"
"JM";"55.4"
"MQ";"89.0"
"MS";"9.1"
"PR";"93.6"
"KN";"30.8"
"LC";"18.6"
"VC";"51.8"
"SX";"100.0"
"TT";"53.2"
"TC";"92.8"
"VI";"95.6"
"BZ";"45.6"
"CR";"78.6"
"SV";"71.3"
"GT";"50.7"
"HN";"56.5"
"MX";"79.9"
"NI";"58.3"
"PA";"67.4"
"AR";"91.8"
"BO";"69.1"
"BR";"86.3"
"CL";"87.5"
"CO";"80.5"
"EC";"63.7"
"FK";"77.2"
"GF";"85.0"
"GY";"26.5"
"PY";"61.3"
"PE";"77.7"
"SR";"66.0"
"UY";"95.2"
"VE";"88.2"
"BM";"100.0"
"CA";"81.4"
"GL";"86.6"
"PM";"89.9"
"US";"82.1"
"AU";"85.9"
"NZ";"86.5"
"FJ";"55.7"
"NC";"70.3"
"PG";"13.1"
"SB";"23.3"
"VU";"25.2"
"FM";"68.5"
"GU";"94.7"
"KI";"53.3"
"MH";"76.6"
"FM";"22.6"
"NR";"100.0"
"MP";"91.5"
"PW";"79.4"
"AS";"87.2"
"CK";"74.8"
"PF";"61.8"
"NU";"44.1"
"WS";"18.5"
"TK";"0.0"
"TO";"23.2"
"TV";"61.5"
"WF";"0.0"
