;redes_29
"AF";"58.42"
"AL";"116.34"
"DZ";"108.42"
"AS";"99999999999998"
"AD";"91.44"
"AO";"49.84"
"AI";"177.95"
"AG";"176.14"
"AR";"142.43"
"AM";"118.77"
"AW";"135.13"
"AU";"108.28"
"AT";"155.22"
"AZ";"111.23"
"BS";"80.44"
"BH";"183.62"
"BD";"81.50"
"BB";"117.79"
"BY";"120.69"
"BE";"113.17"
"BZ";"58.99"
"BJ";"88.11"
"BM";"61.29"
"BT";"85.82"
"BO";"94.76"
"BA";"97.39"
"BW";"157.31"
"BR";"125.18"
"VG";"189.93"
"BN";"110.98"
"BG";"128.11"
"BF";"79.77"
"BI";"49.00"
"KH";"134.37"
"CM";"79.53"
"CA";"82.80"
"CV";"114.74"
"KY";"155.50"
"CF";"27.33"
"TD";"39.02"
"CL";"130.65"
"CN";"92.48"
"CO";"118.87"
"KM";"54.64"
"CD";"49.55"
"CG";"104.41"
"CK";"99999999999998"
"CR";"156.74"
"CI";"109.95"
"HR";"104.24"
"CU";"29.10"
"CY";"131.79"
"CZ";"117.45"
"KP";"12.83"
"DK";"124.44"
"DJ";"33.90"
"DM";"105.59"
"DO";"83.56"
"EC";"80.18"
"EG";"100.25"
"SV";"147.87"
"GQ";"45.38"
"ER";"9.80"
"EE";"144.72"
"ET";"42.37"
"FK";"151.83"
"FO";"108.68"
"FJ";"108.27"
"FI";"134.92"
"FR";"103.45"
"GF";"99999999999998"
"PF";"96.63"
"GA";"146.18"
"GM";"137.32"
"GE";"140.47"
"DE";"117.93"
"GH";"126.92"
"GI";"121.07"
"GR";"112.02"
"GL";"108.20"
"GD";"112.12"
"GP";"99999999999998"
"GU";"99999999999998"
"GT";"111.50"
"GG";"99999999999998"
"GN";"89.02"
"GW";"69.95"
"GY";"70.60"
"HT";"68.15"
"HN";"89.82"
"HK";"230.82"
"HU";"120.46"
"IS";"116.25"
"IN";"76.47"
"ID";"131.29"
"IR";"93.52"
"IQ";"92.92"
"IE";"104.30"
"IL";"131.07"
"IT";"147.37"
"JM";"109.24"
"JP";"125.46"
"JE";"99999999999998"
"JO";"150.64"
"KZ";"148.22"
"KE";"79.85"
"KI";"36.47"
"KR";"116.49"
"KW";"148.54"
"KG";"129.22"
"LA";"55.93"
"LV";"129.98"
"LB";"79.60"
"LS";"98.41"
"LR";"81.16"
"LY";"156.33"
"LI";"109.48"
"LT";"142.71"
"LU";"142.36"
"MO";"315.52"
"MG";"44.13"
"MW";"37.37"
"MY";"143.55"
"MV";"176.81"
"ML";"129.95"
"MT";"122.58"
"MH";"29.25"
"MQ";"99999999999998"
"MR";"87.14"
"MU";"139.93"
"YT";"99999999999998"
"MX";"85.54"
"FM";"21.55"
"MD";"91.32"
"MC";"88.81"
"MN";"103.07"
"ME";"160.45"
"MS";"97.58"
"MA";"123.78"
"MZ";"71.88"
"MM";"78.23"
"NA";"105.12"
"NR";"83.48"
"NP";"96.02"
"AN";"99999999999998"
"NL";"122.85"
"NC";"96.72"
"NZ";"121.36"
"NI";"119.44"
"NE";"45.03"
"NG";"83.25"
"NU";"99999999999998"
"MP";"99999999999998"
"NO";"109.91"
"OM";"158.26"
"PK";"66.48"
"PS";"75.73"
"PA";"175.01"
"PG";"44.95"
"PY";"111.64"
"PE";"109.11"
"PH";"115.85"
"PL";"142.52"
"PT";"112.44"
"PR";"87.24"
"QA";"150.73"
"RE";"99999999999998"
"RO";"116.32"
"RU";"157.96"
"RW";"75.32"
"ST";"94.59"
"WS";"62.20"
"SM";"111.12"
"SA";"167.30"
"SN";"99.88"
"RS";"130.35"
"SC";"158.14"
"SL";"78.17"
"SG";"148.74"
"SK";"122.73"
"SI";"113.45"
"SB";"72.29"
"SO";"41.96"
"ZA";"159.16"
"SS";"24.40"
"ES";"110.07"
"LK";"115.38"
"SH";"31.41"
"KN";"134.48"
"LC";"105.95"
"PM";"99999999999998"
"VC";"103.58"
"SD";"72.29"
"SR";"135.66"
"SZ";"71.34"
"SE";"129.45"
"CH";"135.14"
"SY";"76.39"
"TW";"126.38"
"TJ";"99.30"
"TZ";"73.62"
"MK";"100.21"
"TH";"149.94"
"TL";"110.93"
"TG";"65.46"
"TK";"99999999999998"
"TO";"69.10"
"TT";"156.12"
"TN";"129.47"
"TR";"94.08"
"TM";"140.91"
"TC";"99999999999998"
"TV";"59.99"
"UG";"50.37"
"UA";"143.98"
"AE";"196.00"
"GB";"121.18"
"US";"119.50"
"UY";"150.53"
"UZ";"70.32"
"VU";"66.07"
"VE";"93.38"
"VN";"128.59"
"VI";"99999999999998"
"WF";"99999999999998"
"YE";"55.81"
"ZM";"71.78"
"ZW";"80.86"
