;redes_28
"AF";"99999999999998"
"AL";"8.86"
"DZ";"7.57"
"AS";"17.47"
"AD";"45.96"
"AO";"0.50"
"AI";"46.00"
"AG";"43.06"
"AR";"22.62"
"AM";"19.30"
"AW";"38.49"
"AU";"51.98"
"AT";"46.50"
"AZ";"11.99"
"BS";"43.39"
"BH";"23.08"
"BD";"0.59"
"BB";"49.70"
"BY";"32.82"
"BE";"45.81"
"BZ";"12.21"
"BJ";"0.94"
"BM";"82.76"
"BT";"4.73"
"BO";"6.97"
"BA";"25.16"
"BW";"7.20"
"BR";"21.42"
"VG";"76.96"
"BN";"23.11"
"BG";"35.22"
"BF";"0.65"
"BI";"0.39"
"KH";"0.25"
"CM";"0.59"
"CA";"64.36"
"CV";"15.33"
"KY";"80.34"
"CF";"0.25"
"TD";"0.13"
"CL";"20.94"
"CN";"23.73"
"CO";"17.76"
"KM";"2.53"
"CD";"0.02"
"CG";"0.38"
"CK";"33.81"
"CR";"32.08"
"CI";"1.43"
"HR";"43.06"
"CU";"6.82"
"CY";"41.18"
"CZ";"33.47"
"KP";"4.21"
"DK";"64.62"
"DJ";"1.44"
"DM";"29.79"
"DO";"9.91"
"EC";"11.77"
"EG";"12.55"
"SV";"14.80"
"GQ";"1.45"
"ER";"1.02"
"EE";"32.56"
"ET";"0.65"
"FK";"87.27"
"FO";"49.76"
"FJ";"12.83"
"FI";"45.17"
"FR";"55.35"
"GF";"26.01"
"PF";"21.16"
"GA";"2.83"
"GM";"3.07"
"GE";"15.07"
"DE";"66.73"
"GH";"1.49"
"GI";"79.49"
"GR";"56.36"
"GL";"44.19"
"GD";"31.86"
"GP";"51.50"
"GU";"41.43"
"GT";"8.85"
"GG";"80.89"
"GN";"0.28"
"GW";"0.72"
"GY";"13.66"
"HT";"1.54"
"HN";"5.38"
"HK";"55.32"
"HU";"35.23"
"IS";"65.43"
"IN";"4.10"
"ID";"4.64"
"IR";"23.47"
"IQ";"3.93"
"IE";"48.80"
"IL";"44.77"
"IT";"44.37"
"JM";"15.50"
"JP";"46.49"
"JE";"84.09"
"JO";"11.52"
"KZ";"16.57"
"KE";"0.85"
"KI";"4.75"
"KR";"48.60"
"KW";"22.51"
"KG";"8.27"
"LA";"1.32"
"LV";"28.54"
"LB";"16.31"
"LS";"1.93"
"LR";"99999999999998"
"LY";"14.01"
"LI";"57.76"
"LT";"24.25"
"LU";"54.23"
"MO";"36.89"
"MG";"0.33"
"MW";"0.73"
"MY";"17.66"
"MV";"10.15"
"ML";"0.53"
"MT";"50.99"
"MH";"10.58"
"MQ";"43.43"
"MR";"1.28"
"MU";"29.10"
"YT";"5.80"
"MX";"16.89"
"FM";"11.26"
"MD";"20.72"
"MC";"101.59"
"MN";"5.85"
"ME";"99999999999998"
"MS";"99999999999998"
"MA";"4.34"
"MZ";"0.37"
"MM";"0.88"
"NA";"6.37"
"NR";"17.78"
"NP";"1.65"
"AN";"45.75"
"NL";"48.26"
"NC";"23.29"
"NZ";"44.13"
"NI";"4.04"
"NE";"0.18"
"NG";"0.76"
"NU";"61.22"
"MP";"34.72"
"NO";"47.42"
"OM";"9.93"
"PK";"2.99"
"PS";"7.75"
"PA";"12.99"
"PG";"1.03"
"PY";"5.32"
"PE";"8.04"
"PH";"4.06"
"PL";"32.69"
"PT";"40.26"
"PR";"29.44"
"QA";"25.15"
"RE";"46.04"
"RO";"20.32"
"RU";"26.73"
"RW";"0.26"
"ST";"4.64"
"WS";"9.17"
"SM";"71.90"
"SA";"15.91"
"SN";"2.24"
"RS";"29.01"
"SC";"24.31"
"SL";"0.49"
"SG";"42.49"
"SK";"23.16"
"SI";"49.94"
"SB";"1.52"
"SO";"0.99"
"ZA";"10.16"
"SS";"99999999999998"
"ES";"41.37"
"LK";"5.12"
"SH";"51.07"
"KN";"42.42"
"LC";"25.89"
"PM";"76.69"
"VC";"17.52"
"SD";"3.41"
"SR";"16.55"
"SZ";"4.06"
"SE";"63.27"
"CH";"71.50"
"SY";"14.93"
"TW";"63.09"
"TJ";"4.07"
"TZ";"0.39"
"MK";"26.11"
"TH";"10.48"
"TL";"0.21"
"TG";"1.19"
"TK";"21.21"
"TO";"12.95"
"TT";"24.98"
"TN";"12.01"
"TR";"28.54"
"TM";"8.25"
"TC";"14.86"
"TV";"7.58"
"UG";"0.26"
"UA";"25.72"
"AE";"29.05"
"GB";"57.74"
"US";"60.74"
"UY";"29.98"
"UZ";"6.69"
"VU";"3.31"
"VE";"12.71"
"VN";"12.12"
"VI";"65.58"
"WF";"11.87"
"YE";"3.99"
"ZM";"0.78"
"ZW";"2.48"
