;redes_31
"AF";"1.90"
"AL";"15.04"
"DZ";"9.45"
"AS";"99999999999998"
"AD";"70.87"
"AO";"1.70"
"AI";"41.00"
"AG";"34.00"
"AR";"25.95"
"AM";"6.02"
"AW";"30.90"
"AU";"69.45"
"AT";"69.37"
"AZ";"14.54"
"BS";"27.00"
"BH";"32.91"
"BD";"1.80"
"BB";"58.20"
"BY";"19.70"
"BE";"64.44"
"BZ";"24.60"
"BJ";"1.79"
"BM";"74.35"
"BT";"5.92"
"BO";"10.50"
"BA";"27.92"
"BW";"5.28"
"BR";"30.88"
"VG";"99999999999998"
"BN";"44.68"
"BG";"33.64"
"BF";"0.75"
"BI";"0.70"
"KH";"0.49"
"CM";"2.93"
"CA";"73.20"
"CV";"8.28"
"KY";"52.00"
"CF";"0.38"
"TD";"0.85"
"CL";"35.90"
"CN";"16.00"
"CO";"21.80"
"KM";"2.50"
"CD";"0.37"
"CG";"2.76"
"CK";"25.60"
"CR";"28.40"
"CI";"1.80"
"HR";"41.44"
"CU";"11.69"
"CY";"40.77"
"CZ";"51.93"
"KP";"0.00"
"DK";"85.03"
"DJ";"1.62"
"DM";"40.27"
"DO";"17.66"
"EC";"10.80"
"EG";"16.03"
"SV";"6.11"
"GQ";"1.56"
"ER";"0.41"
"EE";"66.19"
"ET";"0.37"
"FK";"90.06"
"FO";"75.98"
"FJ";"10.90"
"FI";"80.78"
"FR";"66.09"
"GF";"23.31"
"PF";"28.59"
"GA";"5.77"
"GM";"6.21"
"GE";"8.26"
"DE";"75.16"
"GH";"3.85"
"GI";"51.61"
"GR";"35.88"
"GL";"61.07"
"GD";"22.29"
"GP";"21.02"
"GU";"46.15"
"GT";"7.30"
"GG";"99999999999998"
"GN";"0.78"
"GW";"2.21"
"GY";"13.80"
"HT";"7.20"
"HN";"9.40"
"HK";"64.80"
"HU";"53.30"
"IS";"90.60"
"IN";"3.95"
"ID";"5.79"
"IR";"9.47"
"IQ";"0.93"
"IE";"61.16"
"IL";"48.13"
"IT";"40.79"
"JM";"21.10"
"JP";"74.30"
"JE";"32.39"
"JO";"20.00"
"KZ";"4.02"
"KE";"4.40"
"KI";"6.00"
"KR";"78.80"
"KW";"34.80"
"KG";"14.03"
"LA";"1.64"
"LV";"59.17"
"LB";"18.74"
"LS";"3.45"
"LR";"0.55"
"LY";"4.72"
"LI";"65.08"
"LT";"49.90"
"LU";"78.92"
"MO";"47.33"
"MG";"0.65"
"MW";"0.97"
"MY";"55.70"
"MV";"16.30"
"ML";"0.81"
"MT";"46.90"
"MH";"3.95"
"MQ";"37.33"
"MR";"1.43"
"MU";"20.22"
"YT";"99999999999998"
"MX";"20.81"
"FM";"13.62"
"MD";"20.45"
"MC";"64.38"
"MN";"9.00"
"ME";"30.80"
"MS";"20.43"
"MA";"21.50"
"MZ";"0.91"
"MM";"0.22"
"NA";"4.84"
"NR";"99999999999998"
"NP";"1.41"
"AN";"99999999999998"
"NL";"85.82"
"NC";"35.05"
"NZ";"69.76"
"NI";"3.90"
"NE";"0.39"
"NG";"6.77"
"NU";"61.01"
"MP";"99999999999998"
"NO";"86.93"
"OM";"16.68"
"PK";"6.80"
"PS";"21.18"
"PA";"22.29"
"PG";"1.79"
"PY";"11.21"
"PE";"25.20"
"PH";"5.97"
"PL";"48.60"
"PT";"42.09"
"PR";"27.86"
"QA";"37.00"
"RE";"32.25"
"RO";"28.30"
"RU";"24.66"
"RW";"2.12"
"ST";"14.59"
"WS";"4.75"
"SM";"50.36"
"SA";"30.00"
"SN";"6.89"
"RS";"33.15"
"SC";"38.38"
"SL";"0.24"
"SG";"69.90"
"SK";"61.80"
"SI";"56.74"
"SB";"2.00"
"SO";"1.12"
"ZA";"8.07"
"ES";"55.11"
"LK";"3.88"
"SH";"18.57"
"KN";"43.50"
"LC";"27.90"
"PM";"99999999999998"
"VC";"16.00"
"SD";"8.66"
"SR";"14.11"
"SZ";"4.10"
"SE";"82.01"
"CH";"77.20"
"SY";"11.50"
"TW";"64.45"
"TJ";"7.20"
"TZ";"1.60"
"MK";"36.30"
"TH";"20.03"
"TL";"1.00"
"TG";"2.20"
"TK";"99999999999998"
"TO";"7.18"
"TT";"32.30"
"TN";"17.10"
"TR";"28.63"
"TM";"1.41"
"TC";"99999999999998"
"TV";"10.00"
"UG";"3.67"
"UA";"6.55"
"AE";"61.00"
"GB";"75.09"
"US";"75.00"
"UY";"34.00"
"UZ";"7.49"
"VU";"6.80"
"VE";"20.83"
"VN";"20.76"
"VI";"27.34"
"WF";"7.95"
"YE";"5.01"
"ZM";"4.87"
"ZW";"3.00"
