;meioambiente_34
"AF";"0.46"
"AL";"0.15"
"DZ";"0.13"
"AS";"99999999999998"
"AD";"0.47"
"AO";"0.43"
"AI";"99999999999998"
"AG";"0.09"
"AR";"0.36"
"AM";"0.30"
"AW";"99999999999998"
"AU";"0.52"
"AT";"0.17"
"AZ";"0.31"
"BS";"0.00"
"BH";"0.06"
"BD";"0.04"
"BB";"0.05"
"BY";"0.16"
"BE";"0.18"
"BZ";"0.02"
"BJ";"0.05"
"BM";"99999999999998"
"BT";"0.10"
"BO";"0.31"
"BA";"0.20"
"BW";"0.44"
"BR";"0.23"
"VG";"0.33"
"BN";"0.01"
"BG";"0.16"
"BF";"0.22"
"BI";"0.17"
"CV";"0.06"
"KH";"0.06"
"CM";"0.04"
"CA";"0.02"
"KY";"0.08"
"CF";"0.05"
"TD";"0.35"
"CL";"0.18"
"CN";"0.41"
"HK";"0.01"
"MO";"99999999999998"
"CO";"0.33"
"KM";"0.08"
"CG";"0.29"
"CK";"99999999999998"
"CR";"0.26"
"CI";"0.40"
"HR";"0.04"
"CU";"0.22"
"CY";"0.00"
"CZ";"0.12"
"KP";"0.00"
"CD";"0.08"
"DK";"0.09"
"DJ";"0.73"
"DM";"0.03"
"DO";"0.25"
"EC";"0.19"
"EG";"99999999999998"
"SV";"0.29"
"GQ";"0.04"
"ER";"0.59"
"EE";"0.01"
"ET";"0.18"
"FK";"0.93"
"FO";"99999999999998"
"FJ";"0.10"
"FI";"0.00"
"FR";"0.18"
"GF";"0.00"
"PF";"0.05"
"GA";"0.17"
"GM";"0.21"
"GE";"0.28"
"DE";"0.14"
"GH";"0.35"
"GI";"99999999999998"
"GR";"0.35"
"GL";"0.01"
"GD";"0.03"
"GP";"0.13"
"GU";"0.15"
"GT";"0.23"
"GN";"0.44"
"GW";"0.30"
"GY";"0.06"
"HT";"0.18"
"HN";"0.14"
"HU";"0.11"
"IS";"0.17"
"IN";"0.03"
"ID";"0.06"
"IR";"0.27"
"IQ";"0.09"
"IE";"0.45"
"IM";"0.47"
"IL";"0.06"
"IT";"0.15"
"JM";"0.21"
"JP";"99999999999998"
"JO";"0.08"
"KZ";"0.68"
"KE";"0.37"
"KI";"99999999999998"
"KW";"0.08"
"KG";"0.47"
"LA";"0.03"
"LV";"0.09"
"LB";"0.33"
"LS";"0.66"
"LR";"0.18"
"LY";"0.08"
"LI";"0.19"
"LT";"0.18"
"LU";"0.25"
"MG";"0.64"
"MW";"0.16"
"MY";"0.01"
"MV";"0.03"
"ML";"0.28"
"MT";"99999999999998"
"MH";"0.17"
"MQ";"0.11"
"MR";"0.38"
"MU";"0.03"
"YT";"99999999999998"
"MX";"0.41"
"FM";"0.04"
"MN";"0.82"
"ME";"99999999999998"
"MS";"0.10"
"MA";"0.47"
"MZ";"0.55"
"MM";"0.00"
"NA";"0.46"
"NR";"99999999999998"
"NP";"0.12"
"NL";"0.24"
"NC";"0.13"
"NZ";"0.43"
"NI";"0.23"
"NE";"0.19"
"NG";"0.33"
"NU";"0.04"
"NF";"0.25"
"MP";"0.02"
"NO";"0.00"
"OM";"0.04"
"PK";"0.06"
"PW";"0.04"
"PA";"0.20"
"PG";"0.00"
"PY";"0.40"
"PE";"0.14"
"PH";"0.05"
"PN";"99999999999998"
"PL";"0.11"
"PT";"0.16"
"PR";"0.13"
"QA";"0.04"
"KR";"0.01"
"MD";"0.12"
"RE";"0.04"
"RO";"0.21"
"RU";"0.05"
"RW";"0.18"
"SH";"0.21"
"KN";"0.04"
"LC";"0.02"
"PM";"99999999999998"
"VC";"0.05"
"WS";"0.01"
"SM";"99999999999998"
"ST";"0.01"
"SA";"0.79"
"SN";"0.29"
"RS";"99999999999998"
"SC";"99999999999998"
"SL";"0.30"
"SG";"99999999999998"
"SK";"0.16"
"SI";"0.15"
"SB";"0.00"
"SO";"0.67"
"ZA";"0.69"
"SS";"99999999999998"
"ES";"0.23"
"LK";"0.07"
"SD";"99999999999998"
"SR";"0.00"
"SZ";"0.59"
"SE";"0.01"
"CH";"0.27"
"SY";"0.45"
"TJ";"0.26"
"TH";"0.02"
"MK";"0.31"
"TL";"0.10"
"TG";"0.18"
"TK";"99999999999998"
"TO";"0.05"
"TT";"0.01"
"TN";"0.30"
"TR";"0.19"
"TM";"0.68"
"TC";"99999999999998"
"TV";"99999999999998"
"UG";"0.21"
"UA";"0.13"
"AE";"0.04"
"GB";"0.46"
"TZ";"0.25"
"US";"0.25"
"VI";"0.09"
"UY";"0.77"
"UZ";"0.50"
"VU";"0.03"
"VE";"0.20"
"VN";"0.02"
"WF";"99999999999998"
"EH";"0.19"
"YE";"0.42"
"ZM";"0.27"
"ZW";"0.30"
