;meioambiente_32
"AF";"0.36"
"AL";"0.15"
"DZ";"5.97"
"AS";"0.06"
"AD";"5.53"
"AO";"4.97"
"AI";"99999999999998"
"AG";"0.02"
"AR";"3.25"
"AM";"7.91"
"AW";"0.48"
"AU";"6.64"
"AT";"19.18"
"AZ";"5.19"
"BS";"0.22"
"BH";"0.10"
"BD";"0.55"
"BB";"99999999999998"
"BY";"6.51"
"BE";"6.57"
"BZ";"10.08"
"BJ";"18.87"
"BM";"4.86"
"BT";"14.19"
"BO";"8.76"
"BA";"0.03"
"BW";"17.90"
"BR";"4.73"
"VG";"0.06"
"BN";"24.94"
"BG";"1.52"
"BF";"13.96"
"BI";"3.84"
"KH";"0.02"
"CM";"5.71"
"CA";"3.77"
"CV";"0.01"
"KY";"1.30"
"CF";"17.65"
"TD";"11.68"
"CL";"3.00"
"CN";"12.38"
"CO";"11.58"
"KM";"99999999999998"
"CG";"1.51"
"CK";"99999999999998"
"CR";"2.23"
"CI";"14.70"
"HR";"4.32"
"CU";"1.36"
"CY";"0.05"
"CZ";"13.05"
"CD";"10.11"
"DK";"10.78"
"DJ";"99999999999998"
"DM";"0.55"
"DO";"3.58"
"EC";"14.64"
"EG";"0.38"
"SV";"99999999999998"
"GQ";"0.58"
"ER";"2.96"
"EE";"0.64"
"ET";"17.72"
"FO";"99999999999998"
"FK";"0.24"
"FJ";"0.13"
"FI";"3.96"
"FR";"6.83"
"GF";"99999999999998"
"PF";"99999999999998"
"GA";"3.12"
"GM";"0.58"
"GE";"1.39"
"DE";"19.21"
"GH";"7.52"
"GR";"2.14"
"GL";"22.22"
"GD";"0.03"
"GP";"2.54"
"GU";"3.25"
"GT";"12.50"
"GN";"4.69"
"GW";"2.39"
"GY";"0.20"
"HT";"0.06"
"HN";"4.89"
"HU";"6.12"
"IS";"0.33"
"IN";"2.74"
"ID";"2.62"
"IR";"5.12"
"IQ";"0.05"
"IE";"0.07"
"IL";"5.22"
"IT";"2.18"
"JM";"0.43"
"JP";"1.97"
"JO";"1.05"
"KZ";"2.41"
"KE";"9.67"
"KI";"0.01"
"KP";"1.20"
"KR";"1.85"
"KW";"1.18"
"KG";"6.28"
"LA";"1.47"
"LV";"4.53"
"LB";"0.17"
"LS";"0.50"
"LR";"0.46"
"LY";"0.08"
"LI";"40.23"
"LT";"1.82"
"LU";"12.06"
"MG";"0.78"
"MW";"15.03"
"MY";"7.40"
"MV";"9.15"
"ML";"3.82"
"MT";"0.02"
"MH";"99999999999998"
"MQ";"11.48"
"MR";"1.02"
"MU";"99999999999998"
"YT";"99999999999998"
"MX";"1.00"
"FM";"99999999999998"
"MC";"0.18"
"MN";"4.14"
"ME";"1.69"
"MS";"0.55"
"MA";"0.09"
"MZ";"7.91"
"MM";"1.70"
"NA";"6.92"
"NR";"99999999999998"
"NP";"7.67"
"NL";"4.50"
"AN";"1.48"
"NC";"0.13"
"NZ";"7.82"
"NI";"7.00"
"NE";"7.74"
"NG";"9.64"
"NU";"99999999999998"
"MP";"99999999999998"
"NO";"6.46"
"OM";"99999999999998"
"PK";"7.99"
"PW";"99999999999998"
"PA";"4.05"
"PG";"0.46"
"PY";"2.91"
"PE";"3.02"
"PH";"1.32"
"PL";"10.12"
"PT";"0.58"
"PR";"0.56"
"QA";"0.46"
"MD";"0.95"
"RE";"1.01"
"RO";"2.50"
"RU";"3.59"
"RW";"8.78"
"KN";"0.26"
"LC";"0.56"
"VC";"0.44"
"WS";"0.09"
"SM";"99999999999998"
"ST";"99999999999998"
"SA";"6.83"
"SN";"14.24"
"RS";"3.70"
"SC";"0.04"
"SL";"0.86"
"SG";"2.52"
"SK";"14.83"
"SI";"7.19"
"SB";"99999999999998"
"SO";"0.25"
"ZA";"2.58"
"SS";"12.83"
"ES";"2.77"
"LK";"2.26"
"PS";"99999999999998"
"SD";"1.28"
"SR";"2.58"
"SZ";"3.98"
"SE";"5.23"
"CH";"0.70"
"SY";"0.24"
"TJ";"2.61"
"TH";"8.01"
"MK";"8.17"
"TL";"99999999999998"
"TG";"8.75"
"TK";"99999999999998"
"TO";"0.01"
"TT";"1.95"
"TN";"0.93"
"TR";"0.01"
"TM";"2.99"
"TC";"2.82"
"TV";"99999999999998"
"UG";"12.27"
"UA";"1.96"
"AE";"7.24"
"GB";"6.07"
"TZ";"21.60"
"US";"10.45"
"VI";"2.42"
"UY";"1.27"
"UZ";"2.12"
"VU";"0.08"
"VE";"26.90"
"VN";"1.58"
"EH";"99999999999998"
"YE";"99999999999998"
"ZM";"36.05"
"ZW";"16.90"
