;indicadoressociais_13
"DZ";""
"EG";""
"LY";""
"MA";""
"SD";""
"TN";""
"BI";""
"KM";""
"DJ";""
"ER";""
"ET";""
"KE";""
"MG";""
"MW";""
"MU";""
"MZ";""
"RW";""
"SC";""
"SO";""
"SS";""
"UG";""
"TZ";""
"ZM";""
"ZW";""
"AO";""
"CM";""
"CF";""
"TD";""
"CG";""
"CD";""
"GQ";""
"GA";""
"ST";""
"BW";""
"LS";""
"NA";""
"ZA";""
"BJ";""
"BF";""
"CV";""
"CI";""
"GM";""
"GH";""
"GN";""
"GW";""
"LR";""
"ML";""
"MR";""
"NE";""
"NG";""
"SN";""
"SL";""
"TG";""
"KZ";""
"KG";""
"TJ";""
"TM";""
"UZ";""
"CN";""
"TW";""
"HK";""
"MO";""
"KP";""
"JP";""
"MN";""
"KR";""
"BN";""
"KH";""
"ID";""
"LA";""
"MY";""
"MM";""
"PH";""
"SG";""
"TH";""
"TL";""
"VN";""
"AF";""
"BD";""
"BT";""
"IN";""
"IR";""
"MV";""
"NP";""
"PK";""
"LK";""
"AM";""
"AZ";""
"BH";""
"CY";""
"GE";""
"IQ";""
"IL";""
"JO";""
"KW";""
"LB";""
"OM";""
"QA";""
"SA";""
"PS";""
"SY";""
"TR";""
"AE";""
"YE";""
"AG";""
"BS";""
"BB";""
"CU";""
"DM";""
"DO";""
"GD";""
"HT";""
"JM";""
"PR";""
"KN";""
"LC";""
"VC";""
"TT";""
"BZ";""
"CR";""
"SV";""
"GT";""
"HN";""
"MX";""
"NI";""
"PA";""
"AR";""
"BO";""
"BR";""
"CL";""
"CO";""
"EC";""
"GY";""
"PY";""
"PE";""
"SR";""
"UY";""
"VE";""
"AU";""
"NZ";""
"FJ";""
"NC";""
"PG";""
"SB";""
"VU";""
"FM";""
"KI";""
"MH";""
"NR";""
"PW";""
"AS";""
"CK";""
"PF";""
"NU";""
"WS";""
"TK";""
"TO";""
"TV";""
"BM";""
"CA";""
"GL";""
"US";""
"BY";""
"BG";""
"CZ";""
"HU";""
"PL";""
"MD";""
"RO";""
"RU";""
"SK";""
"UA";""
"DK";""
"EE";""
"FI";""
"IS";""
"IE";""
"LV";""
"LT";""
"NO";""
"SE";""
"GB";""
"AL";""
"AD";""
"BA";""
"HR";""
"GR";""
"IT";""
"MT";""
"ME";""
"PT";""
"RS";""
"SI";""
"ES";""
"MK";""
"AT";""
"BE";""
"FR";""
"DE";""
"LU";""
"NL";""
"CH";""
