;populacao_6
"BI";"385.2"
"KM";"408.1"
"DJ";"39.4"
"ER";"47.0"
"ET";"97.4"
"KE";"80.9"
"MG";"40.6"
"MW";"181.0"
"MU";"619.3"
"YT";"623.0"
"MZ";"34.6"
"RE";"342.8"
"RW";"459.9"
"SC";"202.7"
"SO";"21.5"
"SS";"18.9"
"UG";"194.4"
"TZ";"59.0"
"ZM";"21.0"
"ZW";"39.8"
"AO";"21.6"
"CM";"47.1"
"CF";"7.3"
"TD";"10.8"
"CG";"14.3"
"CD";"32.5"
"GQ";"40.3"
"GA";"7.3"
"ST";"199.2"
"DZ";"16.4"
"EG";"92.2"
"LY";"3.5"
"MA";"76.9"
"SD";"21.4"
"TN";"71.7"
"EH";"1.9"
"BW";"3.8"
"LS";"70.7"
"NA";"2.9"
"ZA";"45.0"
"SZ";"75.3"
"BJ";"91.2"
"BF";"64.3"
"CV";"130.6"
"CI";"70.9"
"GM";"189.5"
"GH";"118.5"
"GN";"48.0"
"GW";"61.4"
"LR";"45.6"
"ML";"13.9"
"MR";"3.9"
"NE";"15.1"
"NG";"193.8"
"SH";"10.4"
"SN";"75.6"
"SL";"98.1"
"TG";"132.9"
"CN";"148.1"
"HK";"6.852.0"
"MO";"19.691.7"
"TW";"661.2"
"KP";"208.6"
"JP";"351.6"
"MN";"1.9"
"KR";"518.2"
"KZ";"6.5"
"KG";"30.1"
"TJ";"59.8"
"TM";"11.6"
"UZ";"71.7"
"AF";"50.2"
"BD";"1.224.6"
"BT";"20.4"
"IN";"435.2"
"IR";"48.2"
"MV";"1.360.8"
"NP";"197.6"
"PK";"240.7"
"LK";"328.9"
"BN";"78.1"
"KH";"86.5"
"ID";"140.8"
"LA";"28.5"
"MY";"92.0"
"MM";"79.5"
"PH";"335.7"
"SG";"7.783.4"
"TH";"133.9"
"TL";"81.6"
"VN";"298.5"
"AM";"102.1"
"AZ";"115.0"
"BH";"1.758.4"
"CY";"124.7"
"GE";"57.5"
"IQ";"80.6"
"IL";"367.0"
"JO";"99.2"
"KW";"212.3"
"LB";"547.7"
"OM";"12.8"
"QA";"204.5"
"SA";"14.3"
"PS";"753.7"
"SY";"104.6"
"TR";"100.1"
"AE";"108.5"
"YE";"49.7"
"BY";"46.7"
"BG";"66.5"
"CZ";"137.2"
"HU";"108.4"
"PL";"125.1"
"MD";"123.9"
"RO";"86.8"
"RU";"8.8"
"SK";"113.0"
"UA";"77.5"
"DK";"133.5"
"EE";"31.1"
"FO";"35.0"
"FI";"18.0"
"IS";"3.3"
"IE";"68.0"
"IM";"144.9"
"LV";"32.4"
"LT";"47.3"
"NO";"14.1"
"SE";"23.6"
"GB";"268.7"
"AL";"106.6"
"AD";"168.6"
"BA";"69.9"
"HR";"76.1"
"GI";"3.403.8"
"GR";"87.4"
"VA";"1.818.2"
"IT";"202.6"
"MT";"1.329.9"
"ME";"46.7"
"PT";"114.3"
"SM";"544.3"
"RS";"101.6"
"SI";"102.8"
"ES";"93.3"
"MK";"82.4"
"AT";"104.8"
"BE";"370.5"
"FR";"117.2"
"DE";"233.8"
"LI";"232.0"
"LU";"214.8"
"MC";"25.592.0"
"NL";"500.9"
"CH";"208.3"
"AI";"160.7"
"AG";"224.7"
"AW";"576.6"
"BS";"38.2"
"BB";"659.0"
"VG";"197.3"
"KY";"246.6"
"CU";"107.5"
"CW";"352.5"
"DM";"97.0"
"DO";"215.4"
"GD";"312.8"
"GP";"266.8"
"HT";"383.6"
"JM";"264.3"
"MQ";"365.3"
"MS";"51.0"
"PR";"415.0"
"KN";"206.7"
"LC";"289.2"
"VC";"280.4"
"SX";"1.108.7"
"TT";"264.0"
"TC";"35.5"
"VI";"300.3"
"BZ";"15.4"
"CR";"93.2"
"SV";"303.2"
"GT";"148.6"
"HN";"78.7"
"MX";"63.9"
"NI";"50.0"
"PA";"52.5"
"AR";"15.7"
"BO";"9.8"
"BR";"24.4"
"CL";"23.7"
"CO";"43.1"
"EC";"64.0"
"FK";"0.2"
"GF";"3.2"
"GY";"3.9"
"PY";"16.5"
"PE";"24.2"
"SR";"3.5"
"UY";"19.5"
"VE";"34.9"
"BM";"1.247.6"
"CA";"3.9"
"GL";"0.1"
"PM";"27.3"
"US";"34.7"
"AU";"3.1"
"NZ";"17.3"
"FJ";"48.5"
"NC";"14.5"
"PG";"17.1"
"SB";"20.6"
"VU";"21.2"
"FM";"162.5"
"GU";"298.1"
"KI";"136.4"
"MH";"293.9"
"FM";"148.6"
"NR";"553.5"
"MP";"118.4"
"PW";"45.9"
"AS";"277.2"
"CK";"73.3"
"PF";"75.3"
"NU";"6.2"
"WS";"68.0"
"TK";"121.9"
"TO";"146.9"
"TV";"363.6"
"WF";"87.8"
"BI";"1.672.5"
"KM";"1.050.0"
"DJ";"57.5"
"ER";"130.6"
"ET";"239.8"
"KE";"227.3"
"MG";"140.2"
"MW";"679.8"
"MU";"519.0"
"YT";"1.794.7"
"MZ";"139.0"
"RE";"395.1"
"RW";"1.106.3"
"SC";"188.0"
"SO";"98.1"
"SS";"60.4"
"UG";"868.7"
"TZ";"265.5"
"ZM";"95.8"
"ZW";"98.8"
"AO";"106.3"
"CM";"160.8"
"CF";"20.0"
"TD";"41.2"
"CG";"54.7"
"CD";"139.0"
"GQ";"147.6"
"GA";"17.8"
"ST";"551.6"
"DZ";"26.2"
"EG";"187.7"
"LY";"4.5"
"MA";"103.8"
"SD";"66.6"
"TN";"89.0"
"EH";"4.5"
"BW";"6.7"
"LS";"125.0"
"NA";"6.7"
"ZA";"63.9"
"SZ";"141.1"
"BJ";"325.8"
"BF";"247.3"
"CV";"188.4"
"CI";"258.9"
"GM";"639.4"
"GH";"302.2"
"GN";"165.4"
"GW";"182.3"
"LR";"154.3"
"ML";"57.1"
"MR";"12.8"
