;economia_21
"AF";"19.419"
"AO";"75.334"
"AL";"47.439"
"AE";"41.251"
"AR";"47.43"
"AM";"51.211"
"AU";"59.24"
"AT";"54.947"
"AZ";"62.963"
"BI";"80.125"
"BE";"47.766"
"BJ";"68.497"
"BF";"58.367"
"BD";"32.89"
"BG";"47.763"
"BH";"43.901"
"BS";"69.796"
"BA";"35.269"
"BY";"58.653"
"BZ";"52.768"
"BO";"55.031"
"BR";"53.322"
"BB";"62.568"
"BN";"59.03"
"BT";"57.571"
"BW";"65.246"
"CF";"63.381"
"CA";"60.807"
"TD";"64.737"
"CH";"62.886"
"CL";"50.351"
"CN";"62.034"
"CI";"48.053"
"CM";"71.161"
"CD";"71.37"
"CG";"67.451"
"CO";"58.623"
"KM";"35.762"
"CV";"49.115"
"CR";"45.023"
"CU";"41.57"
"CY";"58.069"
"CZ";"52.066"
"DE";"54.96"
"DJ";"49.379"
"DK";"59.312"
"DO";"54.339"
"DZ";"15.125"
"EC";"55.808"
"EG";"22.043"
"ER";"75.414"
"EH";"28.634"
"ES";"52.302"
"EE";"56.473"
"ET";"76.997"
"FI";"54.954"
"FJ";"40.819"
"FR";"50.675"
"GA";"42.524"
"GB";"56.774"
"GE";"57.737"
"GH";"74.597"
"GN";"62.998"
"GM";"51.081"
"GW";"65.44"
"GQ";"55.756"
"GR";"45.702"
"GT";"40.629"
"GU";"53.261"
"GY";"40.558"
"HK";"54.213"
"HN";"50.84"
"HR";"45.556"
"HT";"63.509"
"HU";"47.962"
"ID";"50.762"
"IN";"27.448"
"IE";"53.241"
"IR";"17.079"
"IQ";"18.483"
"IS";"73.172"
"IL";"59.372"
"IT";"39.635"
"JM";"57.02"
"JO";"13.896"
"JP";"50.6"
"KZ";"65.413"
"KE";"62.514"
"KG";"48.356"
"KH";"80.7"
"KR";"52.234"
"KW";"47.978"
"LA";"76.769"
"LB";"23.034"
"LR";"53.961"
"LY";"25.809"
"LC";"60.901"
"LK";"35.195"
"LS";"59.282"
"LT";"55.859"
"LU";"52.24"
"LV";"55.28"
"MO";"66.122"
"MA";"25.027"
"MD";"39.975"
"MG";"83.41"
"MV";"42.377"
"MX";"43.969"
"MK";"42.353"
"ML";"60.431"
"MT";"42.338"
"MM";"51.454"
"ME";"42.317"
"MN";"52.662"
"MZ";"82.757"
"MR";"30.959"
"MU";"45.192"
"MW";"72.302"
"MY";"50.596"
"NA";"58.016"
"NC";"57.591"
"NE";"67.515"
"NG";"50.326"
"NI";"50.05"
"NL";"58.02"
"NO";"60.883"
"NP";"82.768"
"NZ";"63.921"
"OM";"30.264"
"PK";"24.73"
"PA";"52.778"
"PE";"68.513"
"PH";"49.395"
"PG";"69.033"
"PL";"49.02"
"PR";"33.247"
"KP";"74.439"
"PT";"53.575"
"PY";"56.274"
"PS";"19.249"
"PF";"47.964"
"QA";"58.373"
"RO";"44.476"
"RU";"56.909"
"RW";"86.053"
"SA";"22.2"
"SD";"23.753"
"SN";"45.167"
"SG";"60.629"
"SB";"62.514"
"SL";"57.298"
"SV";"46.669"
"SO";"18.602"
"RS";"46.138"
"SS";"70.717"
"ST";"41.329"
"SR";"41.585"
"SK";"52.653"
"SI";"52.073"
"SE";"60.666"
"SZ";"42.399"
"SY";"12.139"
"TG";"76.07"
"TH";"60.658"
"TJ";"45.522"
"TM";"53.452"
"TL";"25.118"
"TO";"45.146"
"TT";"51.023"
"TN";"24.387"
"TR";"32.505"
"TW";"50.651"
"TZ";"79.529"
"UG";"66.454"
"UA";"47.207"
"UY";"55.928"
"US";"55.99"
"UZ";"53.752"
"VC";"58.492"
"VE";"50.117"
"VI";"57.303"
"VN";"73.202"
"VU";"61.533"
"WS";"23.8"
"YE";"6.171"
"ZA";"47.787"
"ZM";"70.128"
"ZW";"78.209"
