;economia_20
"AF";"53.383"
"AO";"77.846"
"AL";"54.358"
"AE";"81.337"
"AR";"59.861"
"AM";"60.504"
"AU";"64.766"
"AT";"60.16"
"AZ";"65.052"
"BI";"78.164"
"BE";"53.549"
"BJ";"70.802"
"BF";"66.686"
"BD";"56.617"
"BG";"54.151"
"BH";"71.574"
"BS";"75.753"
"BA";"46.951"
"BY";"64.111"
"BZ";"67.222"
"BO";"71.289"
"BR";"63.95"
"BB";"65.248"
"BN";"67.945"
"BT";"64.385"
"BW";"71.371"
"CF";"71.792"
"CA";"65.7"
"TD";"71.416"
"CH";"67.964"
"CL";"62.197"
"CN";"70.039"
"CI";"58.398"
"CM";"76.201"
"CD";"72.488"
"CG";"69.838"
"CO";"70.365"
"KM";"42.666"
"CV";"59.792"
"CR";"62.926"
"CU";"54.866"
"CY";"63.246"
"CZ";"59.44"
"DE";"60.378"
"DJ";"59.04"
"DK";"62.086"
"DO";"66.277"
"DZ";"41.517"
"EC";"64.137"
"EG";"48.719"
"ER";"81.365"
"EH";"55.83"
"ES";"58.511"
"EE";"61.153"
"ET";"82.935"
"FI";"58.87"
"FJ";"58.743"
"FR";"55.778"
"GA";"50.49"
"GB";"62.204"
"GE";"67.125"
"GH";"76.73"
"GN";"64.438"
"GM";"59.375"
"GW";"71.435"
"GQ";"59.019"
"GR";"52.981"
"GT";"61.859"
"GU";"65.706"
"GY";"57.242"
"HK";"60.738"
"HN";"65.64"
"HR";"52.422"
"HT";"67.265"
"HU";"53.638"
"ID";"67.11"
"IN";"53.963"
"IE";"60.273"
"IR";"41.63"
"IQ";"46.471"
"IS";"76.269"
"IL";"64.154"
"IT";"48.505"
"JM";"66.745"
"JO";"39.199"
"JP";"59.814"
"KZ";"70.889"
"KE";"65.708"
"KG";"62.397"
"KH";"84.63"
"KR";"62.284"
"KW";"70.551"
"LA";"78.146"
"LB";"46.711"
"LR";"55.945"
"LY";"52.475"
"LC";"67.78"
"LK";"54.089"
"LS";"66.15"
"LT";"59.11"
"LU";"59.025"
"LV";"59.377"
"MO";"71.793"
"MA";"49.233"
"MD";"41.299"
"MG";"87.242"
"MV";"67.032"
"MX";"61.247"
"MK";"55.884"
"ML";"71.279"
"MT";"53.685"
"MM";"66.015"
"ME";"49.079"
"MN";"60.261"
"MZ";"79.166"
"MR";"49.368"
"MU";"59.144"
"MW";"77.243"
"MY";"64.068"
"NA";"60.877"
"NC";"63.001"
"NE";"79.033"
"NG";"55.093"
"NI";"65.981"
"NL";"64.014"
"NO";"64.719"
"NP";"84.045"
"NZ";"68.397"
"OM";"68.351"
"PK";"52.166"
"PA";"66.063"
"PE";"77.181"
"PH";"62.935"
"PG";"70.273"
"PL";"56.842"
"PR";"42.318"
"KP";"80.554"
"PT";"58.779"
"PY";"69.534"
"PS";"44.291"
"PF";"55.691"
"QA";"86.774"
"RO";"54.679"
"RU";"63.518"
"RW";"86.581"
"SA";"54.824"
"SD";"46.84"
"SN";"56.867"
"SG";"68.213"
"SB";"71.661"
"SL";"58.004"
"SV";"61.797"
"SO";"45.96"
"RS";"52.441"
"SS";"72.587"
"ST";"58.204"
"SR";"53.558"
"SK";"59.278"
"SI";"57.693"
"SE";"63.933"
"SZ";"53.504"
"SY";"42.093"
"TG";"77.924"
"TH";"70.605"
"TJ";"59.18"
"TM";"65.279"
"TL";"39.56"
"TO";"59.715"
"TT";"63.352"
"TN";"47.318"
"TR";"50.137"
"TW";"58.74"
"TZ";"83.423"
"UG";"70.864"
"UA";"54.278"
"UY";"65.373"
"US";"62.209"
"UZ";"65.169"
"VC";"69.549"
"VE";"64.404"
"VI";"61.598"
"VN";"78.563"
"VU";"70.401"
"WS";"32.128"
"YE";"36.954"
"ZA";"53.432"
"ZM";"75.065"
"ZW";"83.147"
