;indicadoressociais_12
"AW";""
"AF";"33.2"
"AO";"54.8"
"AL";"10.9"
"AD";""
"AE";"4.1"
"AR";"4.7"
"AM";"7.8"
"AS";""
"AG";""
"AU";"2.5"
"AT";"2.5"
"AZ";"5.5"
"BI";""
"BE";"2.5"
"BJ";"15.4"
"BF";"24.9"
"BD";"16.6"
"BG";"6.5"
"BH";""
"BS";""
"BA";"3.2"
"BY";"3"
"BZ";"4.6"
"BM";""
"BO";"30.3"
"BR";"4.6"
"BB";"5.9"
"BN";"2.5"
"BT";""
"BW";"31.9"
"CF";"39.5"
"CA";"2.5"
"CH";"2.5"
"CL";"3.9"
"CN";"15.2"
"CI";"20"
"CM";"20.3"
"CD";""
"CG";"40.2"
"CO";"9.7"
"KM";""
"CV";"14"
"CR";"5.4"
"CU";"2.5"
"CW";""
"KY";""
"CY";"5.7"
"CZ";"2.5"
"DE";"2.5"
"DJ";"32.2"
"DM";"5.7"
"DK";"2.5"
"DO";"24.4"
"DZ";"8.8"
"EC";"17"
"EG";"5.4"
"ER";""
"ES";"2.5"
"EE";"4.2"
"ET";"39.7"
"FI";"2.5"
"FJ";"4.3"
"FR";"2.5"
"FO";""
"FM";""
"GA";"10.9"
"GB";"2.5"
"GE";"7.2"
"GH";"9.3"
"GI";""
"GN";"21.3"
"GM";"15.1"
"GW";"24.4"
"GQ";""
"GR";"2.5"
"GD";""
"GL";""
"GT";"15.8"
"GU";""
"GY";"9.4"
"HK";"2.5"
"HN";"17"
"HR";"2.9"
"HT";"57.1"
"HU";"2.5"
"ID";"18.5"
"IM";""
"IN";"22.2"
"IE";"2.5"
"IR";"6.1"
"IQ";"28.2"
"IS";"2.5"
"IL";"2.5"
"IT";"2.5"
"JM";"7"
"JO";"6.6"
"JP";"2.5"
"KZ";"5.9"
"KE";"28.2"
"KG";"9.7"
"KH";"20"
"KI";"4.6"
"KN";""
"KR";"2.5"
"KW";"2.5"
"LA";"27"
"LB";"3.4"
"LR";"39.4"
"LY";""
"LC";""
"LI";""
"LK";"18.2"
"LS";"11.7"
"LT";"2.5"
"LU";"2.5"
"LV";"2.5"
"MO";"14.6"
"MF";""
"MA";"5.7"
"MC";""
"MD";""
"MG";"35"
"MV";"18.2"
"MX";"5.5"
"MH";""
"MK";"6.1"
"ML";"11.1"
"MT";"2.5"
"MM";"32"
"ME";""
"MN";"31"
"MP";""
"MZ";"37"
"MR";"12.1"
"MU";"5.2"
"MW";"26.1"
"MY";"3.9"
"NA";"25.1"
"NC";"8.2"
"NE";"15.1"
"NG";"6.5"
"NI";"24.4"
"NL";"2.5"
"NO";"2.5"
"NP";"16"
"NR";""
"NZ";"2.5"
"OM";"10.5"
"PK";"23.3"
"PA";"22.9"
"PE";"19.6"
"PH";"16.3"
"PW";""
"PG";""
"PL";"2.5"
"PR";""
"KP";"35.4"
"PT";"2.5"
"PY";"11.9"
"PS";""
"PF";"3.9"
"QA";""
"RO";"2.5"
"RU";"2.5"
"RW";"45.3"
"SA";"7.9"
"SD";""
"SN";"21.6"
"SG";""
"SB";"11.9"
"SL";"37"
"SV";"10.5"
"SM";""
"SO";""
"RS";""
"SS";""
"ST";"9.4"
"SR";"10.9"
"SK";"6.2"
"SI";"2.5"
"SE";"2.5"
"SZ";"17"
"SX";""
"SC";""
"SY";""
"TC";""
"TD";"39.2"
"TG";"26"
"TH";"12.5"
"TJ";""
"TM";"4.8"
"TL";"31.3"
"TO";""
"TT";"11.8"
"TN";"5.6"
"TR";"2.5"
"TV";""
"TZ";"34.4"
"UG";"24.1"
"UA";"2.5"
"UY";"4.3"
"US";"2.5"
"UZ";"14.5"
"VC";"9.1"
"VE";"10.5"
"VG";""
"VI";""
"VN";"18.2"
"VU";"7"
"WS";"3.5"
"YE";"30.1"
"ZA";"4.4"
"ZM";"51.1"
"ZW";"42.2"
