;populacao_5
"BI";"89.6"
"KM";"72.1"
"DJ";"23.1"
"ER";"65.4"
"ET";"83.1"
"KE";"76.8"
"MG";"68.7"
"MW";"84.6"
"MU";"58.3"
"YT";"50.6"
"MZ";"68.7"
"RE";"1.8"
"RW";"83.1"
"SC";"47.0"
"SO";"62.4"
"SS";"82.3"
"UG";"81.1"
"TZ";"72.6"
"ZM";"61.1"
"ZW";"66.6"
"AO";"41.0"
"CM";"49.1"
"CF";"61.3"
"TD";"78.1"
"CG";"37.2"
"CD";"60.5"
"GQ";"35.6"
"GA";"15.0"
"ST";"36.2"
"DZ";"33.2"
"EG";"57.0"
"LY";"22.2"
"MA";"42.6"
"SD";"67.0"
"TN";"33.6"
"EH";"13.8"
"BW";"39.1"
"LS";"75.7"
"NA";"59.4"
"ZA";"38.3"
"SZ";"77.7"
"BJ";"57.4"
"BF";"75.9"
"CV";"39.0"
"CI";"53.1"
"GM";"45.1"
"GH";"50.0"
"GN";"66.6"
"GW";"60.3"
"LR";"52.6"
"ML";"64.8"
"MR";"54.3"
"NE";"83.8"
"NG";"57.4"
"SH";"60.5"
"SN";"56.6"
"SL";"61.5"
"TG";"62.9"
"CN";"52.1"
"HK";"0.0"
"MO";"0.0"
"TW";"25.8"
"KP";"39.8"
"JP";"10.0"
"MN";"33.4"
"KR";"18.2"
"KZ";"43.2"
"KG";"64.7"
"TJ";"73.5"
"TM";"51.8"
"UZ";"49.5"
"AF";"76.5"
"BD";"70.3"
"BT";"66.0"
"IN";"69.4"
"IR";"30.0"
"MV";"64.0"
"NP";"83.6"
"PK";"65.2"
"LK";"81.8"
"BN";"25.4"
"KH";"80.1"
"ID";"50.9"
"LA";"70.5"
"MY";"29.9"
"MM";"71.3"
"PH";"54.6"
"SG";"0.0"
"TH";"57.5"
"TL";"72.6"
"VN";"70.2"
"AM";"36.5"
"AZ";"46.8"
"BH";"11.4"
"CY";"32.3"
"GE";"44.9"
"IQ";"31.0"
"IL";"8.2"
"JO";"15.1"
"KW";"0.0"
"LB";"12.8"
"OM";"25.4"
"QA";"1.7"
"SA";"18.1"
"PS";"26.1"
"SY";"44.8"
"TR";"29.8"
"AE";"16.3"
"YE";"68.8"
"BY";"25.8"
"BG";"28.0"
"CZ";"26.7"
"HU";"31.5"
"PL";"39.0"
"MD";"57.4"
"RO";"46.3"
"RU";"26.4"
"SK";"45.0"
"UA";"31.5"
"DK";"13.4"
"EE";"31.8"
"FO";"59.3"
"FI";"16.6"
"IS";"6.5"
"IE";"38.7"
"IM";"48.0"
"LV";"32.2"
"LT";"33.2"
"NO";"21.2"
"SE";"15.1"
"GB";"19.0"
"AL";"48.9"
"AD";"11.1"
"BA";"54.8"
"HR";"45.0"
"GI";"0.0"
"GR";"24.1"
"VA";"0.0"
"IT";"31.8"
"MT";"6.0"
"ME";"36.2"
"PT";"40.0"
"SM";"4.5"
"RS";"45.2"
"SI";"47.6"
"ES";"21.8"
"MK";"42.9"
"AT";"42.3"
"BE";"2.4"
"FR";"21.9"
"DE";"23.2"
"LI";"85.5"
"LU";"11.8"
"MC";"0.0"
"NL";"13.7"
"CH";"26.4"
"AI";"0.0"
"AG";"73.2"
"AW";"56.6"
"BS";"17.6"
"BB";"67.9"
"VG";"55.5"
"KY";"0.0"
"CU";"23.5"
"CW";"10.0"
"DM";"32.2"
"DO";"27.5"
"GD";"64.1"
"GP";"1.6"
"HT";"53.5"
"JM";"46.4"
"MQ";"10.9"
"MS";"90.8"
"PR";"6.1"
"KN";"68.5"
"LC";"80.8"
"VC";"51.4"
"SX";"0.0"
"TT";"45.8"
"TC";"10.2"
"VI";"5.6"
"BZ";"54.8"
"CR";"29.4"
"SV";"35.4"
"GT";"51.9"
"HN";"48.8"
"MX";"22.5"
"NI";"43.3"
"PA";"35.2"
"AR";"9.3"
"BO";"34.0"
"BR";"16.0"
"CL";"13.0"
"CO";"22.4"
"EC";"37.5"
"FK";"26.9"
"GF";"17.4"
"GY";"73.1"
"PY";"41.1"
"PE";"23.8"
"SR";"33.6"
"UY";"5.8"
"VE";"11.9"
"BM";"0.0"
"CA";"19.2"
"GL";"15.9"
"PM";"10.1"
"US";"19.4"
"AU";"14.9"
"NZ";"13.8"
"FJ";"48.3"
"NC";"33.4"
"PG";"87.0"
"SB";"80.4"
"VU";"75.7"
"FM";"33.6"
"GU";"6.0"
"KI";"53.5"
"MH";"26.9"
"FM";"77.7"
"NR";"0.0"
"MP";"9.1"
"PW";"25.9"
"AS";"12.3"
"CK";"27.0"
"PF";"40.3"
"NU";"62.1"
"WS";"79.7"
"TK";"100.0"
"TO";"76.7"
"TV";"46.2"
"WF";"100.0"
