;populacao_4
"BI";"10.4"
"KM";"27.9"
"DJ";"76.9"
"ER";"34.6"
"ET";"16.9"
"KE";"23.2"
"MG";"31.3"
"MW";"15.4"
"MU";"41.7"
"YT";"49.4"
"MZ";"31.3"
"RE";"98.2"
"RW";"16.9"
"SC";"53.0"
"SO";"37.7"
"SS";"17.7"
"UG";"18.9"
"TZ";"27.4"
"ZM";"38.9"
"ZW";"33.4"
"AO";"59.0"
"CM";"51.0"
"CF";"38.7"
"TD";"21.9"
"CG";"62.8"
"CD";"39.5"
"GQ";"64.4"
"GA";"85.0"
"ST";"63.8"
"DZ";"66.8"
"EG";"43.0"
"LY";"77.8"
"MA";"57.5"
"SD";"33.0"
"TN";"66.4"
"EH";"86.2"
"BW";"60.9"
"LS";"24.3"
"NA";"40.6"
"ZA";"61.7"
"SZ";"22.3"
"BJ";"42.6"
"BF";"24.1"
"CV";"61.0"
"CI";"46.9"
"GM";"54.9"
"GH";"50.0"
"GN";"33.4"
"GW";"39.7"
"LR";"47.4"
"ML";"35.2"
"MR";"45.7"
"NE";"16.2"
"NG";"42.6"
"SH";"39.6"
"SN";"43.4"
"SL";"38.5"
"TG";"37.1"
"CN";"47.9"
"HK";"100.0"
"MO";"100.0"
"TW";"74.2"
"KP";"60.2"
"JP";"90.0"
"MN";"66.6"
"KR";"81.8"
"KZ";"56.8"
"KG";"35.3"
"TJ";"26.5"
"TM";"48.2"
"UZ";"50.5"
"AF";"23.5"
"BD";"29.7"
"BT";"34.0"
"IN";"30.6"
"IR";"70.0"
"MV";"36.0"
"NP";"16.4"
"PK";"34.8"
"LK";"18.2"
"BN";"74.6"
"KH";"19.9"
"ID";"49.1"
"LA";"29.5"
"MY";"70.1"
"MM";"28.7"
"PH";"45.4"
"SG";"100.0"
"TH";"42.5"
"TL";"27.4"
"VN";"29.8"
"AM";"63.5"
"AZ";"53.2"
"BH";"88.6"
"CY";"67.7"
"GE";"55.2"
"IQ";"69.0"
"IL";"91.8"
"JO";"84.9"
"KW";"100.0"
"LB";"87.2"
"OM";"74.6"
"QA";"98.3"
"SA";"81.9"
"PS";"73.9"
"SY";"55.2"
"TR";"70.2"
"AE";"83.7"
"YE";"31.2"
"BY";"74.2"
"BG";"72.0"
"CZ";"73.3"
"HU";"68.5"
"PL";"61.0"
"MD";"42.7"
"RO";"53.7"
"RU";"73.6"
"SK";"55.0"
"UA";"68.5"
"DK";"86.7"
"EE";"68.2"
"FO";"40.7"
"FI";"83.4"
"IS";"93.5"
"IE";"61.3"
"IM";"52.0"
"LV";"67.8"
"LT";"66.8"
"NO";"78.8"
"SE";"84.9"
"GB";"81.0"
"AL";"51.1"
"AD";"88.9"
"BA";"45.2"
"HR";"55.0"
"GI";"100.0"
"GR";"75.9"
"VA";"100.0"
"IT";"68.2"
"MT";"94.0"
"ME";"63.8"
"PT";"60.0"
"SM";"95.5"
"RS";"54.8"
"SI";"52.4"
"ES";"78.2"
"MK";"57.1"
"AT";"57.7"
"BE";"97.6"
"FR";"78.1"
"DE";"76.8"
"LI";"14.5"
"LU";"88.2"
"MC";"100.0"
"NL";"86.3"
"CH";"73.6"
"AI";"100.0"
"AG";"26.8"
"AW";"43.4"
"BS";"82.4"
"BB";"32.1"
"VG";"44.5"
"KY";"100.0"
"CU";"76.5"
"CW";"90.0"
"DM";"67.8"
"DO";"72.5"
"GD";"35.9"
"GP";"98.4"
"HT";"46.5"
"JM";"53.6"
"MQ";"89.1"
"MS";"9.2"
"PR";"93.9"
"KN";"31.5"
"LC";"19.2"
"VC";"48.6"
"SX";"100.0"
"TT";"54.2"
"TC";"89.8"
"VI";"94.4"
"BZ";"45.2"
"CR";"70.6"
"SV";"64.6"
"GT";"48.1"
"HN";"51.2"
"MX";"77.5"
"NI";"56.7"
"PA";"64.9"
"AR";"90.7"
"BO";"66.0"
"BR";"84.0"
"CL";"87.0"
"CO";"77.6"
"EC";"62.5"
"FK";"73.1"
"GF";"82.6"
"GY";"26.9"
"PY";"58.9"
"PE";"76.2"
"SR";"66.4"
"UY";"94.2"
"VE";"88.1"
"BM";"100.0"
"CA";"80.8"
"GL";"84.1"
"PM";"89.9"
"US";"80.6"
"AU";"85.1"
"NZ";"86.2"
"FJ";"51.7"
"NC";"66.6"
"PG";"13.0"
"SB";"19.6"
"VU";"24.3"
"FM";"66.4"
"GU";"94.0"
"KI";"46.6"
"MH";"73.1"
"FM";"22.3"
"NR";"100.0"
"MP";"90.9"
"PW";"74.1"
"AS";"87.7"
"CK";"73.0"
"PF";"59.7"
"NU";"37.9"
"WS";"20.3"
"TK";"0.0"
"TO";"23.3"
"TV";"53.8"
"WF";"0.0"
