;redes_29
"AF";"28.94"
"AL";"62.16"
"DZ";"77.54"
"AS";"99999999999998"
"AD";"76.56"
"AO";"31.13"
"AI";"198.23"
"AG";"147.70"
"AR";"115.17"
"AM";"49.58"
"AW";"119.19"
"AU";"103.64"
"AT";"129.71"
"AZ";"74.22"
"BS";"102.69"
"BH";"129.27"
"BD";"30.00"
"BB";"104.09"
"BY";"85.49"
"BE";"105.22"
"BZ";"52.27"
"BJ";"41.69"
"BM";"122.24"
"BT";"36.16"
"BO";"52.49"
"BA";"84.47"
"BW";"76.34"
"BR";"78.06"
"VG";"89.83"
"BN";"105.17"
"BG";"138.86"
"BF";"20.59"
"BI";"5.85"
"KH";"30.52"
"CM";"32.59"
"CA";"66.14"
"CV";"56.47"
"KY";"185.76"
"CF";"13.12"
"TD";"14.37"
"CL";"88.80"
"CN";"47.70"
"CO";"92.12"
"KM";"13.96"
"CD";"16.46"
"CG";"43.91"
"CK";"34.74"
"CR";"42.59"
"CI";"53.59"
"HR";"104.65"
"CU";"2.93"
"CY";"129.41"
"CZ";"132.20"
"KP";"0.00"
"DK";"119.27"
"DJ";"13.71"
"DM";"128.04"
"DO";"74.82"
"EC";"80.88"
"EG";"51.00"
"SV";"113.75"
"GQ";"20.73"
"ER";"2.57"
"EE";"121.25"
"ET";"2.35"
"FK";"103.67"
"FO";"113.15"
"FJ";"71.15"
"FI";"128.39"
"FR";"93.01"
"GF";"99999999999998"
"PF";"71.11"
"GA";"84.61"
"GM";"73.41"
"GE";"63.47"
"DE";"130.07"
"GH";"49.66"
"GI";"79.43"
"GR";"120.84"
"GL";"98.20"
"GD";"57.75"
"GP";"99999999999998"
"GU";"99999999999998"
"GT";"106.73"
"GG";"99999999999998"
"GN";"26.64"
"GW";"33.78"
"GY";"60.00"
"HT";"32.97"
"HN";"78.89"
"HK";"166.85"
"HU";"122.35"
"IS";"108.38"
"IN";"28.98"
"ID";"59.53"
"IR";"59.03"
"IQ";"60.21"
"IE";"112.44"
"IL";"126.55"
"IT";"151.83"
"JM";"97.61"
"JP";"85.88"
"JE";"99999999999998"
"JO";"81.88"
"KZ";"93.18"
"KE";"41.65"
"KI";"1.02"
"KR";"92.66"
"KW";"56.55"
"KG";"64.50"
"LA";"33.41"
"LV";"105.83"
"LB";"34.71"
"LS";"29.66"
"LR";"23.33"
"LY";"121.91"
"LI";"95.66"
"LT";"156.24"
"LU";"145.74"
"MO";"181.32"
"MG";"24.18"
"MW";"10.56"
"MY";"102.22"
"MV";"126.25"
"ML";"24.32"
"MT";"93.57"
"MH";"99999999999998"
"MQ";"99999999999998"
"MR";"61.39"
"MU";"83.38"
"YT";"99999999999998"
"MX";"66.25"
"FM";"26.32"
"MD";"58.94"
"MC";"61.36"
"MN";"67.09"
"ME";"186.42"
"MS";"66.22"
"MA";"72.21"
"MZ";"19.28"
"MM";"0.74"
"NA";"49.94"
"NR";"99999999999998"
"NP";"15.86"
"AN";"99999999999998"
"NL";"124.49"
"NC";"80.59"
"NZ";"107.99"
"NI";"55.55"
"NE";"12.46"
"NG";"41.90"
"NU";"99999999999998"
"MP";"99999999999998"
"NO";"109.22"
"OM";"116.68"
"PK";"53.79"
"PS";"34.12"
"PA";"111.35"
"PG";"12.88"
"PY";"95.76"
"PE";"73.15"
"PH";"75.06"
"PL";"114.61"
"PT";"131.89"
"PR";"68.09"
"QA";"102.89"
"RE";"99999999999998"
"RO";"117.53"
"RU";"139.44"
"RW";"13.62"
"ST";"30.29"
"WS";"99999999999998"
"SM";"80.40"
"SA";"138.78"
"SN";"44.16"
"RS";"130.69"
"SC";"103.08"
"SL";"16.36"
"SG";"132.23"
"SK";"102.24"
"SI";"101.50"
"SB";"5.95"
"SO";"5.51"
"ZA";"89.26"
"SS";"99999999999998"
"ES";"107.88"
"LK";"55.56"
"SH";"0.00"
"KN";"148.02"
"LC";"103.44"
"PM";"99999999999998"
"VC";"119.18"
"SD";"36.39"
"SR";"127.56"
"SZ";"45.87"
"SE";"108.41"
"CH";"116.36"
"SY";"34.72"
"TW";"110.83"
"TJ";"50.26"
"TZ";"30.06"
"MK";"95.17"
"TH";"92.92"
"TL";"11.59"
"TG";"25.15"
"TK";"99999999999998"
"TO";"49.00"
"TT";"137.31"
"TN";"82.65"
"TR";"93.45"
"TM";"23.00"
"TC";"99999999999998"
"TV";"99999999999998"
"UG";"27.02"
"UA";"120.56"
"AE";"135.73"
"GB";"120.72"
"US";"86.13"
"UY";"104.69"
"UZ";"44.65"
"VU";"15.98"
"VE";"97.42"
"VN";"86.35"
"VI";"99999999999998"
"WF";"99999999999998"
"YE";"28.83"
"ZM";"27.05"
"ZW";"12.20"
