;redes_28
"AF";"0.30"
"AL";"9.63"
"DZ";"8.17"
"AS";"18.08"
"AD";"47.74"
"AO";"0.83"
"AI";"41.96"
"AG";"33.87"
"AR";"22.71"
"AM";"19.99"
"AW";"33.92"
"AU";"44.71"
"AT";"38.87"
"AZ";"18.73"
"BS";"36.05"
"BH";"22.16"
"BD";"0.69"
"BB";"52.65"
"BY";"47.14"
"BE";"41.13"
"BZ";"6.99"
"BJ";"1.59"
"BM";"114.70"
"BT";"3.46"
"BO";"8.41"
"BA";"23.48"
"BW";"8.18"
"BR";"22.25"
"VG";"41.57"
"BN";"99999999999998"
"BG";"26.73"
"BF";"0.80"
"BI";"0.22"
"KH";"2.80"
"CM";"3.69"
"CA";"48.00"
"CV";"12.72"
"KY";"62.90"
"CF";"0.02"
"TD";"0.24"
"CL";"19.17"
"CN";"19.31"
"CO";"15.08"
"KM";"3.10"
"CD";"0.00"
"CG";"0.33"
"CK";"43.90"
"CR";"20.58"
"CI";"1.24"
"HR";"39.00"
"CU";"10.84"
"CY";"40.50"
"CZ";"18.89"
"KP";"4.72"
"DK";"37.15"
"DJ";"2.31"
"DM";"23.68"
"DO";"11.39"
"EC";"15.29"
"EG";"7.60"
"SV";"15.37"
"GQ";"1.37"
"ER";"1.33"
"EE";"32.27"
"ET";"0.80"
"FK";"71.11"
"FO";"44.26"
"FJ";"7.98"
"FI";"13.84"
"FR";"61.14"
"GF";"99999999999998"
"PF";"22.59"
"GA";"1.06"
"GM";"3.45"
"GE";"29.67"
"DE";"59.93"
"GH";"1.03"
"GI";"99999999999998"
"GR";"47.63"
"GL";"31.91"
"GD";"26.99"
"GP";"99999999999998"
"GU";"41.78"
"GT";"11.95"
"GG";"99999999999998"
"GN";"0.00"
"GW";"0.00"
"GY";"20.68"
"HT";"0.39"
"HN";"7.15"
"HK";"61.82"
"HU";"30.26"
"IS";"51.38"
"IN";"2.27"
"ID";"12.19"
"IR";"38.34"
"IQ";"5.61"
"IE";"43.45"
"IL";"43.46"
"IT";"35.36"
"JM";"8.78"
"JP";"49.89"
"JE";"99999999999998"
"JO";"4.50"
"KZ";"25.52"
"KE";"0.46"
"KI";"5.53"
"KR";"60.46"
"KW";"14.12"
"KG";"8.12"
"LA";"10.80"
"LV";"20.73"
"LB";"16.49"
"LS";"2.38"
"LR";"0.26"
"LY";"12.73"
"LI";"49.68"
"LT";"20.88"
"LU";"49.13"
"MO";"27.51"
"MG";"0.63"
"MW";"0.20"
"MY";"15.27"
"MV";"5.68"
"ML";"0.77"
"MT";"54.66"
"MH";"99999999999998"
"MQ";"99999999999998"
"MR";"1.37"
"MU";"28.92"
"YT";"4.40"
"MX";"15.17"
"FM";"9.69"
"MD";"30.00"
"MC";"123.38"
"MN";"6.12"
"ME";"26.95"
"MS";"59.19"
"MA";"8.65"
"MZ";"0.29"
"MM";"1.04"
"NA";"7.92"
"NR";"0.00"
"NP";"2.96"
"AN";"99999999999998"
"NL";"42.31"
"NC";"32.46"
"NZ";"40.95"
"NI";"5.47"
"NE";"0.55"
"NG";"0.21"
"NU";"61.61"
"MP";"42.56"
"NO";"24.36"
"OM";"9.47"
"PK";"3.51"
"PS";"9.13"
"PA";"15.03"
"PG";"1.84"
"PY";"6.77"
"PE";"10.49"
"PH";"3.20"
"PL";"21.55"
"PT";"43.03"
"PR";"17.92"
"QA";"18.33"
"RE";"99999999999998"
"RO";"23.52"
"RU";"28.19"
"RW";"0.41"
"ST";"3.73"
"WS";"4.39"
"SM";"58.05"
"SA";"16.50"
"SN";"2.43"
"RS";"42.61"
"SC";"23.45"
"SL";"0.23"
"SG";"36.69"
"SK";"17.83"
"SI";"38.64"
"SB";"1.35"
"SO";"0.49"
"ZA";"7.21"
"SS";"0.00"
"ES";"41.51"
"LK";"13.19"
"SH";"63.91"
"KN";"36.11"
"LC";"19.07"
"PM";"99999999999998"
"VC";"17.44"
"SD";"1.13"
"SR";"15.66"
"SZ";"3.62"
"SE";"40.86"
"CH";"56.48"
"SY";"22.36"
"TW";"71.11"
"TJ";"5.20"
"TZ";"0.33"
"MK";"19.10"
"TH";"8.89"
"TL";"0.25"
"TG";"0.89"
"TK";"0.00"
"TO";"29.43"
"TT";"21.61"
"TN";"9.28"
"TR";"17.88"
"TM";"11.22"
"TC";"12.08"
"TV";"13.40"
"UG";"0.73"
"UA";"26.22"
"AE";"23.16"
"GB";"51.64"
"US";"42.22"
"UY";"30.76"
"UZ";"6.66"
"VU";"2.17"
"VE";"25.64"
"VN";"7.35"
"VI";"72.17"
"WF";"99999999999998"
"YE";"4.47"
"ZM";"0.76"
"ZW";"2.02"
