;meioambiente_33
"AF";"0.58"
"AL";"0.44"
"DZ";"0.17"
"AS";"0.25"
"AD";"0.42"
"AO";"0.47"
"AI";"99999999999998"
"AG";"0.20"
"AR";"0.54"
"AM";"0.61"
"AW";"0.11"
"AU";"0.52"
"AT";"0.34"
"AZ";"0.58"
"BS";"0.01"
"BH";"0.11"
"BD";"0.71"
"BB";"0.35"
"BY";"0.44"
"BE";"0.45"
"BZ";"0.07"
"BJ";"0.31"
"BM";"0.06"
"BT";"0.14"
"BO";"0.35"
"BA";"0.42"
"BW";"0.46"
"BR";"0.33"
"VG";"0.47"
"BN";"0.03"
"BG";"0.47"
"BF";"0.44"
"BI";"0.71"
"CV";"0.19"
"KH";"0.31"
"CM";"0.21"
"CA";"0.07"
"KY";"0.11"
"CF";"0.08"
"TD";"0.39"
"CL";"0.21"
"CN";"0.55"
"HK";"0.05"
"MO";"99999999999998"
"CO";"0.38"
"KM";"0.71"
"CG";"0.31"
"CK";"0.06"
"CR";"0.36"
"CI";"0.65"
"HR";"0.24"
"CU";"0.61"
"CY";"0.12"
"CZ";"0.55"
"KP";"0.22"
"CD";"0.11"
"DK";"0.62"
"DJ";"0.73"
"DM";"0.33"
"DO";"0.50"
"EC";"0.30"
"EG";"0.04"
"SV";"0.74"
"GQ";"0.10"
"ER";"0.75"
"EE";"0.22"
"ET";"0.36"
"FK";"0.91"
"FO";"0.02"
"FJ";"0.23"
"FI";"0.08"
"FR";"0.53"
"GF";"0.00"
"PF";"0.12"
"GA";"0.20"
"GM";"0.61"
"GE";"0.36"
"DE";"0.48"
"GH";"0.69"
"GI";"99999999999998"
"GR";"0.64"
"GL";"0.01"
"GD";"0.24"
"GP";"0.35"
"GU";"0.33"
"GT";"0.37"
"GN";"0.58"
"GW";"0.58"
"GY";"0.09"
"HT";"0.68"
"HN";"0.29"
"HU";"0.59"
"IS";"0.19"
"IN";"0.60"
"ID";"0.31"
"IR";"0.29"
"IQ";"0.19"
"IE";"0.66"
"IM";"0.76"
"IL";"0.23"
"IT";"0.49"
"JM";"0.41"
"JP";"0.13"
"JO";"0.11"
"KZ";"0.80"
"KE";"0.48"
"KI";"0.42"
"KW";"0.09"
"KG";"0.55"
"LA";"0.10"
"LV";"0.29"
"LB";"0.63"
"LS";"0.77"
"LR";"0.28"
"LY";"0.09"
"LI";"0.39"
"LT";"0.44"
"LU";"0.51"
"MG";"0.71"
"MW";"0.60"
"MY";"0.23"
"MV";"0.26"
"ML";"0.34"
"MT";"0.32"
"MH";"0.72"
"MQ";"0.35"
"MR";"0.39"
"MU";"0.45"
"YT";"0.32"
"MX";"0.55"
"FM";"0.31"
"MN";"0.73"
"ME";"0.38"
"MS";"0.30"
"MA";"0.67"
"MZ";"0.64"
"MM";"0.19"
"NA";"0.47"
"NR";"0.20"
"NP";"0.29"
"NL";"0.56"
"NC";"0.11"
"NZ";"0.43"
"NI";"0.42"
"NE";"0.35"
"NG";"0.77"
"NU";"0.19"
"NF";"0.25"
"MP";"0.07"
"NO";"0.03"
"OM";"0.05"
"PK";"0.46"
"PW";"0.11"
"PA";"0.30"
"PG";"0.03"
"PY";"0.53"
"PE";"0.19"
"PH";"0.41"
"PN";"99999999999998"
"PL";"0.47"
"PT";"0.40"
"PR";"0.22"
"QA";"0.06"
"KR";"0.18"
"MD";"0.75"
"RE";"0.20"
"RO";"0.62"
"RU";"0.13"
"RW";"0.73"
"SH";"0.31"
"KN";"0.22"
"LC";"0.17"
"PM";"0.13"
"VC";"0.26"
"WS";"0.12"
"SM";"0.17"
"ST";"0.51"
"SA";"0.81"
"SN";"0.49"
"RS";"0.40"
"SC";"0.05"
"SL";"0.54"
"SG";"0.01"
"SK";"0.40"
"SI";"0.31"
"SB";"0.04"
"SO";"0.70"
"ZA";"0.80"
"SS";"99999999999998"
"ES";"0.55"
"LK";"0.42"
"SD";"99999999999998"
"SR";"0.01"
"SZ";"0.71"
"SE";"0.08"
"CH";"0.39"
"SY";"0.76"
"TJ";"0.34"
"TH";"0.41"
"MK";"0.44"
"TL";"0.25"
"TG";"0.67"
"TK";"0.60"
"TO";"0.44"
"TT";"0.11"
"TN";"0.65"
"TR";"0.51"
"TM";"0.72"
"TC";"0.01"
"TV";"0.60"
"UG";"0.71"
"UA";"0.71"
"AE";"0.05"
"GB";"0.71"
"TZ";"0.42"
"US";"0.45"
"VI";"0.11"
"UY";"0.82"
"UZ";"0.63"
"VU";"0.15"
"VE";"0.24"
"VN";"0.35"
"WF";"0.43"
"EH";"0.19"
"YE";"0.45"
"ZM";"0.32"
"ZW";"0.42"
