;indicadoressociais_13
"DZ";"2875"
"EG";"3404"
"LY";"3195"
"MA";"3112"
"SD";"99999999999998"
"TN";"3233"
"BI";"99999999999998"
"KM";"2217"
"DJ";"2010"
"ER";"99999999999998"
"ET";"1820"
"KE";"2046"
"MG";"1981"
"MW";"2204"
"MU";"2937"
"MZ";"2005"
"RW";"1957"
"SC";"2252"
"SO";"1656"
"SS";"99999999999998"
"UG";"2293"
"TZ";"2049"
"ZM";"1857"
"ZW";"2044"
"AO";"1565"
"CM";"2161"
"CF";"1989"
"TD";"1978"
"CG";"2149"
"CD";"99999999999998"
"GQ";"99999999999998"
"GA";"2684"
"ST";"2415"
"BW";"2115"
"LS";"2488"
"NA";"2245"
"ZA";"2900"
"BJ";"2322"
"BF";"2355"
"CV";"2349"
"CI";"2538"
"GM";"2521"
"GH";"2578"
"GN";"2349"
"GW";"2266"
"LR";"2075"
"ML";"2484"
"MR";"2632"
"NE";"2326"
"NG";"2609"
"SN";"2160"
"SL";"2011"
"TG";"2161"
"KZ";"2877"
"KG";"2448"
"TJ";"1954"
"TM";"2640"
"UZ";"2314"
"CN";"2819"
"TW";"3044"
"HK";"3086"
"MO";"2523"
"KP";"2142"
"JP";"2880"
"MN";"2208"
"KR";"3085"
"BN";"2867"
"KH";"2185"
"ID";"2437"
"LA";"2115"
"MY";"2811"
"MM";"1957"
"PH";"2386"
"SG";"99999999999998"
"TH";"2604"
"TL";"1960"
"VN";"2300"
"AF";"1785"
"BD";"2301"
"BT";"99999999999998"
"IN";"2306"
"IR";"3037"
"MV";"2471"
"NP";"2271"
"PK";"2321"
"LK";"2334"
"AM";"2245"
"AZ";"2372"
"BH";"99999999999998"
"CY";"2754"
"GE";"2651"
"IQ";"2235"
"IL";"3619"
"JO";"2639"
"KW";"3454"
"LB";"3288"
"OM";"2634"
"QA";"99999999999998"
"SA";"3070"
"PS";"99999999999998"
"SY";"3025"
"TR";"3630"
"AE";"3324"
"YE";"2080"
"AG";"2101"
"BS";"2756"
"BB";"2814"
"CU";"3087"
"DM";"3029"
"DO";"2256"
"GD";"2273"
"HT";"1919"
"JM";"2774"
"PR";"99999999999998"
"KN";"2522"
"LC";"2665"
"VC";"2543"
"TT";"2800"
"BZ";"2742"
"CR";"2788"
"SV";"2604"
"GT";"2247"
"HN";"2433"
"MX";"3075"
"NI";"2242"
"PA";"2249"
"AR";"3149"
"BO";"2087"
"BR";"2900"
"CL";"2867"
"CO";"2792"
"EC";"2287"
"GY";"2740"
"PY";"2636"
"PE";"2342"
"SR";"2536"
"UY";"2839"
"VE";"2392"
"AU";"3039"
"NZ";"3137"
"FJ";"2869"
"NC";"2776"
"PG";"2321"
"SB";"2354"
"VU";"2690"
"FM";"99999999999998"
"KI";"2860"
"MH";"99999999999998"
"NR";"99999999999998"
"PW";"99999999999998"
"AS";"99999999999998"
"CK";"99999999999998"
"PF";"2838"
"NU";"99999999999998"
"WS";"2803"
"TK";"99999999999998"
"TO";"99999999999998"
"TV";"99999999999998"
"BM";"2615"
"CA";"3501"
"GL";"99999999999998"
"US";"3748"
"BY";"3007"
"BG";"2803"
"CZ";"3164"
"HU";"3114"
"PL";"3423"
"MD";"2531"
"RO";"3233"
"RU";"2952"
"SK";"2788"
"UA";"2976"
"DK";"3340"
"EE";"3046"
"FI";"3158"
"IS";"3172"
"IE";"3677"
"LV";"2895"
"LT";"3235"
"NO";"3418"
"SE";"3119"
"GB";"3393"
"AL";"2800"
"AD";"99999999999998"
"BA";"2869"
"HR";"2704"
"GR";"3618"
"IT";"3667"
"MT";"3339"
"ME";"99999999999998"
"PT";"3539"
"RS";"99999999999998"
"SI";"3064"
"ES";"3350"
"MK";"2701"
"AT";"3702"
"BE";"3735"
"FR";"3634"
"DE";"3375"
"LU";"3482"
"NL";"3256"
"CH";"3419"
