;populacao_6
"BI";"262.50"
"KM";"306.00"
"DJ";"32.20"
"ER";"35.80"
"ET";"70.50"
"KE";"58.40"
"MG";"28.80"
"MW";"127.40"
"MU";"592.00"
"YT";"429.90"
"MZ";"24.30"
"RE";"304.10"
"RW";"346.00"
"SC";"183.10"
"SO";"15.30"
"SS";"11.90"
"UG";"128.70"
"TZ";"40.80"
"ZM";"15.00"
"ZW";"32.30"
"AO";"14.10"
"CM";"34.00"
"CF";"6.30"
"TD";"7.20"
"CG";"10.00"
"CD";"22.00"
"GQ";"23.80"
"GA";"5.00"
"ST";"150.90"
"DZ";"13.40"
"EG";"72.90"
"LY";"3.10"
"MA";"66.10"
"SD";"16.30"
"TN";"63.50"
"EH";"1.40"
"BW";"3.10"
"LS";"62.70"
"NA";"2.40"
"ZA";"38.80"
"SZ";"62.80"
"BJ";"64.70"
"BF";"44.90"
"CV";"112.20"
"CI";"54.60"
"GM";"129.60"
"GH";"87.60"
"GN";"37.20"
"GW";"46.00"
"LR";"31.80"
"ML";"9.50"
"MR";"2.80"
"NE";"9.60"
"NG";"141.30"
"SH";"12.30"
"SN";"54.00"
"SL";"68.70"
"TG";"96.60"
"CN";"138.30"
"HK";"6.437.60"
"MO";"15.013.20"
"TW";"625.30"
"KP";"193.80"
"JP";"350.90"
"MN";"1.60"
"KR";"493.70"
"KZ";"5.60"
"KG";"26.00"
"TJ";"46.10"
"TM";"9.80"
"UZ";"60.00"
"AF";"33.70"
"BD";"1.049.40"
"BT";"15.90"
"IN";"366.50"
"IR";"41.70"
"MV";"981.10"
"NP";"171.40"
"PK";"187.70"
"LK";"303.90"
"BN";"65.80"
"KH";"71.60"
"ID";"120.10"
"LA";"23.80"
"MY";"73.70"
"MM";"72.20"
"PH";"272.80"
"SG";"5.901.70"
"TH";"125.40"
"TL";"62.10"
"VN";"264.30"
"AM";"106.60"
"AZ";"100.10"
"BH";"967.30"
"CY";"105.70"
"GE";"66.60"
"IQ";"57.40"
"IL";"288.30"
"JO";"59.60"
"KW";"120.30"
"LB";"344.40"
"OM";"7.50"
"QA";"55.60"
"SA";"10.20"
"PS";"561.30"
"SY";"93.10"
"TR";"84.60"
"AE";"42.00"
"YE";"35.80"
"BY";"48.30"
"BG";"72.50"
"CZ";"132.70"
"HU";"112.30"
"PL";"125.70"
"MD";"127.10"
"RO";"95.00"
"RU";"8.90"
"SK";"112.30"
"UA";"82.80"
"DK";"126.60"
"EE";"32.60"
"FO";"34.20"
"FI";"17.20"
"IS";"2.90"
"IE";"57.70"
"IM";"129.60"
"LV";"37.50"
"LT";"55.00"
"NO";"12.50"
"SE";"21.70"
"GB";"245.30"
"AL";"113.80"
"AD";"149.00"
"BA";"74.00"
"HR";"78.60"
"GI";"3.154.40"
"GR";"87.00"
"VA";"1.800.00"
"IT";"196.50"
"MT";"1.254.10"
"ME";"45.60"
"PT";"114.00"
"SM";"468.70"
"RS";"106.90"
"SI";"98.70"
"ES";"84.20"
"MK";"81.20"
"AT";"98.70"
"BE";"342.30"
"FR";"110.00"
"DE";"234.10"
"LI";"212.60"
"LU";"171.30"
"MC";"21.898.70"
"NL";"477.80"
"CH";"183.30"
"AI";"129.90"
"AG";"196.10"
"AW";"527.70"
"BS";"30.90"
"BB";"631.30"
"VG";"143.50"
"KY";"186.40"
"CU";"105.40"
"CW";"290.20"
"DM";"93.10"
"DO";"182.80"
"GD";"300.30"
"GP";"255.20"
"HT";"320.60"
"JM";"248.90"
"MQ";"370.30"
"MS";"43.80"
"PR";"428.00"
"KN";"179.40"
"LC";"261.90"
"VC";"277.30"
"SX";"946.50"
"TT";"249.10"
"TC";"22.90"
"VI";"310.20"
"BZ";"11.50"
"CR";"79.60"
"SV";"286.70"
"GT";"113.90"
"HN";"61.30"
"MX";"53.70"
"NI";"43.00"
"PA";"42.40"
"AR";"13.80"
"BO";"8.00"
"BR";"21.60"
"CL";"21.00"
"CO";"37.50"
"EC";"52.60"
"FK";"0.20"
"GF";"2.20"
"GY";"3.80"
"PY";"13.90"
"PE";"20.80"
"SR";"3.10"
"UY";"19.00"
"VE";"28.80"
"BM";"1.292.20"
"CA";"3.40"
"GL";"0.10"
"PM";"27.20"
"US";"31.40"
"AU";"2.50"
"NZ";"15.10"
"FJ";"44.70"
"NC";"12.10"
"PG";"13.00"
"SB";"15.60"
"VU";"15.90"
"FM";"158.40"
"GU";"291.10"
"KI";"107.80"
"MH";"289.80"
"FM";"152.80"
"NR";"504.00"
"MP";"149.50"
"PW";"42.60"
"AS";"293.70"
"CK";"77.90"
"PF";"66.90"
"NU";"6.90"
"WS";"62.40"
"TK";"143.50"
"TO";"137.80"
"TV";"321.20"
"WF";"104.40"
"BI";"1.388.70"
"KM";"952.90"
"DJ";"58.40"
"ER";"117.50"
"ET";"224.60"
"KE";"206.10"
"MG";"121.00"
"MW";"587.10"
"MU";"555.00"
"YT";"1.622.50"
"MZ";"117.20"
"RE";"400.70"
"RW";"1.038.50"
"SC";"196.50"
"SO";"80.80"
"SS";"53.10"
"UG";"730.20"
"TZ";"218.70"
"ZM";"78.10"
"ZW";"91.40"
"AO";"86.90"
"CM";"138.30"
"CF";"17.90"
"TD";"35.40"
"CG";"45.80"
"CD";"118.30"
"GQ";"130.40"
"GA";"16.30"
"ST";"490.70"
"DZ";"25.80"
"EG";"176.00"
"LY";"4.60"
"MA";"105.10"
"SD";"58.20"
"TN";"90.30"
"EH";"4.30"
"BW";"6.60"
"LS";"119.20"
"NA";"6.20"
"ZA";"63.10"
"SZ";"135.50"
"BJ";"279.90"
"BF";"211.20"
"CV";"190.40"
"CI";"217.90"
"GM";"571.20"
"GH";"273.30"
"GN";"143.10"
"GW";"161.30"
"LR";"133.20"
"ML";"48.80"
"MR";"11.10"
"NE";"85.10"
"NG";"605.10"
"SH";"10.30"
"SN";"234.20"
"SL";"209.20"
"TG";"355.70"
"CN";"131.30"
"HK";"7.872.30"
"MO";"31.893.50"
"TW";"579.20"
"KP";"215.10"
"JP";"269.50"
"MN";"2.80"
"KR";"470.60"
"KZ";"9.00"
"KG";"45.10"
"TJ";"119.30"
"TM";"17.70"
"UZ";"97.20"
"AF";"107.20"
"BD";"1.542.40"
"BT";"25.90"
"IN";"562.50"
"IR";"54.50"
"MV";"1.935.50"
"NP";"250.50"
"PK";"440.80"
"LK";"303.50"
"BN";"101.40"
"KH";"132.10"
"ID";"179.00"
"LA";"40.40"
"MY";"132.90"
"MM";"93.90"
"PH";"555.80"
"SG";"8.978.30"
"TH";"114.70"
"TL";"204.00"
"VN";"371.00"
"AM";"84.80"
"AZ";"128.90"
"BH";"3.203.30"
"CY";"151.30"
"GE";"43.90"
"IQ";"248.30"
"IL";"670.10"
"JO";"180.40"
"KW";"332.50"
"LB";"514.90"
"OM";"23.00"
"QA";"346.70"
"SA";"21.50"
"PS";"2.004.40"
"SY";"204.80"
"TR";"124.10"
"AE";"170.00"
"YE";"102.00"
"BY";"39.90"
"BG";"43.10"
"CZ";"123.10"
"HU";"82.90"
"PL";"92.00"
"MD";"83.80"
"RO";"63.30"
"RU";"7.80"
"SK";"94.00"
"UA";"56.30"
"DK";"153.90"
"EE";"24.50"
"FO";"40.40"
"FI";"19.70"
"IS";"3.90"
"IE";"87.40"
"IM";"176.70"
"LV";"21.70"
"LT";"34.90"
"NO";"20.20"
"SE";"30.10"
"GB";"321.70"
"AL";"85.10"
"AD";"149.10"
"BA";"53.80"
"HR";"55.10"
"GI";"3.728.80"
"GR";"68.70"
"VA";"1.827.30"
"IT";"173.70"
"MT";"1.247.20"
"ME";"40.40"
"PT";"86.90"
"SM";"560.10"
"RS";"76.60"
"SI";"89.40"
"ES";"81.30"
"MK";"69.90"
"AT";"104.20"
"BE";"418.20"
"FR";"131.00"
"DE";"217.00"
"LI";"274.60"
"LU";"339.40"
"MC";"33.744.30"
"NL";"507.80"
"CH";"257.00"
"AI";"162.60"
"AG";"288.90"
"AW";"573.90"
"BS";"48.30"
"BB";"627.10"
"VG";"249.20"
"KY";"366.80"
"CU";"91.20"
"CW";"418.70"
"DM";"95.60"
"DO";"277.20"
"GD";"290.60"
"GP";"231.40"
"HT";"516.80"
"JM";"214.60"
"MQ";"302.50"
"MS";"51.60"
"PR";"323.70"
"KN";"237.50"
"LC";"274.30"
"VC";"257.80"
"SX";"1.653.00"
"TT";"229.20"
"TC";"52.90"
"VI";"219.10"
"BZ";"28.80"
"CR";"111.60"
"SV";"326.40"
"GT";"284.10"
"HN";"125.90"
"MX";"85.90"
"NI";"66.60"
"PA";"84.90"
"AR";"21.20"
"BO";"16.10"
"BR";"26.90"
"CL";"27.60"
"CO";"47.40"
"EC";"98.80"
"FK";"0.20"
"GF";"8.20"
"GY";"3.90"
"PY";"23.20"
"PE";"33.70"
"SR";"4.10"
"UY";"20.50"
"VE";"49.10"
"BM";"968.00"
"CA";"5.30"
"GL";"0.10"
"PM";"32.30"
"US";"45.40"
"AU";"4.80"
"NZ";"22.60"
"FJ";"53.00"
"NC";"22.50"
"PG";"36.00"
"SB";"43.80"
"VU";"46.30"
"FM";"215.90"
"GU";"357.00"
"KI";"254.00"
"MH";"388.40"
"FM";"185.60"
"NR";"535.20"
"MP";"100.80"
"PW";"62.80"
"AS";"266.40"
"CK";"73.40"
"PF";"88.20"
"NU";"7.10"
"WS";"91.70"
"TK";"161.80"
"TO";"209.30"
"TV";"536.80"
"WF";"74.90"
"BI";"1.614.80"
"KM";"1.136.40"
"DJ";"70.60"
"ER";"140.40"
"ET";"269.70"
"KE";"247.50"
"MG";"145.00"
"MW";"700.20"
"MU";"686.80"
"YT";"1.927.10"
"MZ";"137.00"
"RE";"488.50"
"RW";"1.245.30"
"SC";"242.80"
"SO";"94.20"
"SS";"62.80"
"UG";"860.30"
"TZ";"258.20"
"ZM";"91.70"
"ZW";"111.10"
"AO";"101.10"
"CM";"162.70"
"CF";"21.20"
"TD";"41.30"
"CG";"54.30"
"CD";"138.30"
"GQ";"154.30"
"GA";"19.40"
"ST";"585.70"
"DZ";"30.80"
"EG";"214.00"
"LY";"5.60"
"MA";"127.30"
"SD";"68.30"
"TN";"109.20"
"EH";"5.00"
"BW";"7.90"
"LS";"148.60"
"NA";"7.60"
"ZA";"77.90"
"SZ";"168.40"
"BJ";"329.40"
"BF";"248.50"
"CV";"235.80"
"CI";"258.00"
"GM";"667.60"
"GH";"326.00"
"GN";"169.40"
"GW";"191.70"
"LR";"158.60"
"ML";"57.20"
"MR";"13.00"
"NE";"97.20"
"NG";"705.20"
"SH";"12.60"
"SN";"274.60"
"SL";"253.20"
"TG";"424.70"
"CN";"159.00"
"HK";"9.319.80"
"MO";"37.311.00"
"TW";"696.00"
"KP";"263.70"
"JP";"320.80"
"MN";"3.40"
"KR";"561.20"
"KZ";"11.00"
"KG";"55.20"
"TJ";"144.80"
"TM";"21.70"
"UZ";"119.90"
"AF";"129.40"
"BD";"1.925.10"
"BT";"31.80"
"IN";"694.00"
"IR";"66.70"
"MV";"2.308.10"
"NP";"314.80"
"PK";"533.70"
"LK";"377.10"
"BN";"122.60"
"KH";"161.10"
"ID";"221.30"
"LA";"50.30"
"MY";"160.70"
"MM";"116.60"
"PH";"679.20"
"SG";"10.564.90"
"TH";"140.70"
"TL";"242.10"
"VN";"448.50"
"AM";"105.10"
"AZ";"159.20"
"BH";"3.757.90"
"CY";"180.70"
"GE";"54.70"
"IQ";"295.80"
"IL";"786.60"
"JO";"217.10"
"KW";"397.70"
"LB";"637.90"
"OM";"26.70"
"QA";"394.20"
"SA";"25.60"
"PS";"2.391.70"
"SY";"246.10"
"TR";"150.90"
"AE";"196.00"
"YE";"123.30"
"BY";"48.70"
"BG";"52.90"
"CZ";"147.30"
"HU";"101.00"
"PL";"112.40"
"MD";"105.50"
"RO";"77.50"
"RU";"9.50"
"SK";"114.30"
"UA";"69.30"
"DK";"183.50"
"EE";"29.70"
"FO";"48.10"
"FI";"23.50"
"IS";"4.70"
"IE";"103.60"
"IM";"209.10"
"LV";"26.60"
"LT";"42.90"
"NO";"23.80"
"SE";"35.60"
"GB";"382.60"
"AL";"105.20"
"AD";"176.00"
"BA";"65.80"
"HR";"67.10"
"GI";"4.438.40"
"GR";"82.30"
"VA";"2.061.40"
"IT";"206.00"
"MT";"1.495.60"
"ME";"49.40"
"PT";"104.40"
"SM";"662.80"
"RS";"94.40"
"SI";"106.70"
"ES";"96.50"
"MK";"85.70"
"AT";"124.00"
"BE";"496.90"
"FR";"156.10"
"DE";"258.30"
"LI";"324.50"
"LU";"398.60"
"MC";"38.940.30"
"NL";"607.80"
"CH";"302.70"
"AI";"200.40"
"AG";"354.00"
"AW";"698.80"
"BS";"58.30"
"BB";"763.80"
"VG";"299.20"
"KY";"435.00"
"CU";"110.50"
"CW";"498.90"
"DM";"117.80"
"DO";"345.60"
"GD";"368.10"
"GP";"282.00"
"HT";"638.50"
"JM";"272.70"
"MQ";"368.30"
"MS";"63.30"
"PR";"401.70"
"KN";"291.80"
"LC";"339.00"
"VC";"324.40"
"SX";"1.982.10"
"TT";"285.10"
"TC";"63.70"
"VI";"274.70"
"BZ";"35.30"
"CR";"135.60"
"SV";"412.40"
"GT";"344.70"
"HN";"154.20"
"MX";"105.30"
"NI";"82.00"
"PA";"102.80"
"AR";"25.70"
"BO";"19.60"
"BR";"33.00"
"CL";"33.40"
"CO";"58.50"
"EC";"120.30"
"FK";"0.30"
"GF";"9.60"
"GY";"5.00"
"PY";"28.60"
"PE";"40.90"
"SR";"5.10"
"UY";"25.10"
"VE";"60.50"
"BM";"1.175.60"
"CA";"6.20"
"GL";"0.20"
"PM";"38.90"
"US";"54.10"
"AU";"5.60"
"NZ";"26.90"
"FJ";"66.40"
"NC";"26.70"
"PG";"43.00"
"SB";"52.30"
"VU";"55.40"
"FM";"262.40"
"GU";"435.30"
"KI";"303.60"
"MH";"470.00"
"FM";"229.80"
"NR";"655.00"
"MP";"124.90"
"PW";"75.60"
"AS";"336.50"
"CK";"90.20"
"PF";"107.30"
"NU";"8.60"
"WS";"111.30"
"TK";"198.00"
"TO";"254.50"
"TV";"656.80"
"WF";"91.80"
"BI";"1.182.70"
"KM";"788.90"
"DJ";"47.60"
"ER";"97.10"
"ET";"184.80"
"KE";"169.70"
"MG";"99.80"
"MW";"487.30"
"MU";"443.80"
"YT";"1.352.50"
"MZ";"99.30"
"RE";"326.30"
"RW";"855.50"
"SC";"157.00"
"SO";"68.60"
"SS";"44.40"
"UG";"613.40"
"TZ";"183.30"
"ZM";"65.80"
"ZW";"74.30"
"AO";"74.00"
"CM";"116.30"
"CF";"14.90"
"TD";"30.10"
"CG";"38.30"
"CD";"100.30"
"GQ";"109.40"
"GA";"13.50"
"ST";"406.00"
"DZ";"21.30"
"EG";"143.10"
"LY";"3.70"
"MA";"85.80"
"SD";"49.10"
"TN";"73.80"
"EH";"3.60"
"BW";"5.30"
"LS";"94.00"
"NA";"5.10"
"ZA";"50.40"
"SZ";"107.30"
"BJ";"235.40"
"BF";"177.60"
"CV";"152.10"
"CI";"182.20"
"GM";"483.20"
"GH";"226.30"
"GN";"119.70"
"GW";"134.20"
"LR";"110.50"
"ML";"41.20"
"MR";"9.40"
"NE";"73.90"
"NG";"514.10"
"SH";"8.40"
"SN";"197.60"
"SL";"170.50"
"TG";"294.50"
"CN";"107.50"
"HK";"6.607.60"
"MO";"27.149.50"
"TW";"477.90"
"KP";"173.20"
"JP";"225.00"
"MN";"2.30"
"KR";"391.70"
"KZ";"7.40"
"KG";"36.20"
"TJ";"97.00"
"TM";"14.20"
"UZ";"77.90"
"AF";"87.70"
"BD";"1.224.90"
"BT";"20.90"
"IN";"450.70"
"IR";"44.10"
"MV";"1.616.10"
"NP";"197.20"
"PK";"359.60"
"LK";"240.20"
"BN";"83.10"
"KH";"104.30"
"ID";"142.80"
"LA";"32.00"
"MY";"108.70"
"MM";"74.50"
"PH";"448.80"
"SG";"7.616.20"
"TH";"92.80"
"TL";"169.60"
"VN";"303.80"
"AM";"67.50"
"AZ";"103.50"
"BH";"2.726.10"
"CY";"126.10"
"GE";"34.80"
"IQ";"206.20"
"IL";"565.70"
"JO";"148.00"
"KW";"275.70"
"LB";"410.90"
"OM";"19.70"
"QA";"305.30"
"SA";"17.90"
"PS";"1.661.30"
"SY";"168.70"
"TR";"101.00"
"AE";"147.80"
"YE";"83.20"
"BY";"32.30"
"BG";"34.80"
"CZ";"102.00"
"HU";"67.30"
"PL";"74.60"
"MD";"65.60"
"RO";"51.10"
"RU";"6.30"
"SK";"76.50"
"UA";"45.20"
"DK";"128.00"
"EE";"20.00"
"FO";"33.50"
"FI";"16.50"
"IS";"3.30"
"IE";"73.20"
"IM";"148.40"
"LV";"17.50"
"LT";"28.00"
"NO";"17.00"
"SE";"25.20"
"GB";"268.70"
"AL";"68.20"
"AD";"125.50"
"BA";"43.60"
"HR";"44.80"
"GI";"3.111.70"
"GR";"57.00"
"VA";"1.618.20"
"IT";"145.50"
"MT";"1.032.60"
"ME";"32.70"
"PT";"71.80"
"SM";"470.00"
"RS";"61.30"
"SI";"74.30"
"ES";"68.00"
"MK";"56.40"
"AT";"86.90"
"BE";"349.10"
"FR";"109.10"
"DE";"180.90"
"LI";"231.10"
"LU";"286.90"
"MC";"29.011.40"
"NL";"420.80"
"CH";"216.80"
"AI";"130.80"
"AG";"233.40"
"AW";"466.10"
"BS";"39.70"
"BB";"508.90"
"VG";"205.80"
"KY";"307.10"
"CU";"74.70"
"CW";"349.40"
"DM";"76.60"
"DO";"219.90"
"GD";"225.20"
"GP";"187.70"
"HT";"411.20"
"JM";"165.90"
"MQ";"245.70"
"MS";"41.90"
"PR";"258.50"
"KN";"190.80"
"LC";"220.40"
"VC";"202.10"
"SX";"1.368.10"
"TT";"181.60"
"TC";"43.70"
"VI";"172.30"
"BZ";"23.30"
"CR";"91.40"
"SV";"254.50"
"GT";"231.60"
"HN";"101.90"
"MX";"69.60"
"NI";"53.60"
"PA";"69.50"
"AR";"17.30"
"BO";"13.10"
"BR";"21.70"
"CL";"22.70"
"CO";"38.10"
"EC";"80.40"
"FK";"0.20"
"GF";"6.90"
"GY";"3.00"
"PY";"18.60"
"PE";"27.40"
"SR";"3.30"
"UY";"16.60"
"VE";"39.40"
"BM";"790.00"
"CA";"4.40"
"GL";"0.10"
"PM";"26.60"
"US";"37.70"
"AU";"4.10"
"NZ";"18.90"
"FJ";"41.60"
"NC";"18.80"
"PG";"29.70"
"SB";"36.20"
"VU";"38.30"
"FM";"175.00"
"GU";"289.40"
"KI";"209.30"
"MH";"315.60"
"FM";"146.70"
"NR";"431.30"
"MP";"80.50"
"PW";"51.70"
"AS";"205.10"
"CK";"59.20"
"PF";"71.70"
"NU";"5.70"
"WS";"74.30"
"TK";"131.80"
"TO";"169.10"
"TV";"430.90"
"WF";"60.50"
"BI";"2.305.20"
"KM";"1.531.20"
"DJ";"84.90"
"ER";"190.10"
"ET";"441.90"
"KE";"317.90"
"MG";"183.90"
"MW";"964.00"
"MU";"537.40"
"YT";"2.567.80"
"MZ";"199.60"
"RE";"473.10"
"RW";"1.732.00"
"SC";"236.00"
"SO";"145.00"
"SS";"91.00"
"UG";"1.380.40"
"TZ";"344.00"
"ZM";"117.50"
"ZW";"150.40"
"AO";"149.40"
"CM";"229.80"
"CF";"31.40"
"TD";"73.20"
"CG";"69.70"
"CD";"232.30"
"GQ";"231.10"
"GA";"25.40"
"ST";"792.60"
"DZ";"34.80"
"EG";"243.70"
"LY";"5.70"
"MA";"131.30"
"SD";"92.40"
"TN";"102.30"
"EH";"5.30"
"BW";"8.80"
"LS";"171.40"
"NA";"9.20"
"ZA";"78.40"
"SZ";"204.30"
"BJ";"450.30"
"BF";"374.70"
"CV";"247.30"
"CI";"338.90"
"GM";"1.069.90"
"GH";"405.80"
"GN";"251.30"
"GW";"271.30"
"LR";"214.70"
"ML";"96.80"
"MR";"16.80"
"NE";"148.00"
"NG";"1.026.40"
"SH";"10.50"
