;economia_25
"AF";"99999999999998"
"AL";"4070.000"
"DZ";"2039.000"
"AS";"20.100"
"AD";"2831.000"
"AO";"397.000"
"AG";"265.000"
"AR";"5559.000"
"AM";"1260.000"
"AW";"1102.000"
"AU";"8263.000"
"AT";"28121.000"
"AZ";"2044.000"
"BS";"1482.000"
"BH";"10158.000"
"BD";"99999999999998"
"BB";"632.000"
"BY";"9423.500"
"BE";"7481.000"
"BZ";"386.000"
"BJ";"267.000"
"BM";"244.000"
"BT";"210.000"
"BO";"959.000"
"BA";"777.000"
"BW";"99999999999998"
"BR";"6578.000"
"VG";"408.000"
"BN";"219.000"
"BG";"8252.000"
"BF";"152.000"
"BI";"187.000"
"CV";"598.000"
"KH";"5012.000"
"CM";"99999999999998"
"CA";"19824.000"
"KY";"385.000"
"CF";"99999999999998"
"TD";"99999999999998"
"CL";"5641.000"
"CN";"59270.000"
"CO";"3317.000"
"KM";"26.800"
"CD";"99999999999998"
"CG";"224.000"
"CR";"2925.000"
"CI";"1583.000"
"HR";"13809.000"
"CU";"3968.000"
"CW";"441.000"
"CY";"3187.000"
"CZ";"9321.000"
"DK";"10781.000"
"DJ";"99999999999998"
"DM";"78.000"
"DO";"5959.300"
"EC";"1418.000"
"EG";"5258.000"
"SV";"1434.000"
"GQ";"99999999999998"
"ER";"142.000"
"EE";"3147.000"
"ET";"871.000"
"FO";"99999999999998"
"FJ";"792.000"
"FI";"2789.000"
"FR";"82570.000"
"PF";"192.000"
"GA";"99999999999998"
"GM";"161.000"
"GE";"6361.000"
"DE";"35555.000"
"GH";"99999999999998"
"GI";"99999999999998"
"GR";"24799.000"
"GL";"99999999999998"
"GD";"156.000"
"GU";"1535.000"
"GT";"1906.000"
"GN";"99999999999998"
"GW";"99999999999998"
"GY";"235.000"
"HT";"99999999999998"
"HN";"99999999999998"
"HK";"26553.000"
"HU";"5302.000"
"IS";"1792.000"
"IN";"14569.000"
"ID";"11519.000"
"IR";"4942.000"
"IQ";"99999999999998"
"IE";"10100.000"
"IM";"99999999999998"
"IL";"2900.000"
"IT";"52372.000"
"JM";"2182.000"
"JP";"24040.000"
"JO";"3858.000"
"KZ";"6509.000"
"KE";"1268.000"
"KI";"5.700"
"KP";"99999999999998"
"KR";"17242.000"
"XK";"99999999999998"
"KW";"99999999999998"
"KG";"2930.000"
"LA";"3315.000"
"LV";"1793.000"
"LB";"1688.000"
"LS";"1196.000"
"LR";"99999999999998"
"LY";"99999999999998"
"LI";"60.000"
"LT";"2296.000"
"LU";"1054.000"
"MO";"15703.600"
"MK";"510.000"
"MG";"293.000"
"MW";"849.000"
"MY";"26757.000"
"MV";"1286.000"
"ML";"173.200"
"MT";"1966.000"
"MH";"9.800"
"MR";"99999999999998"
"MU";"1275.000"
"MX";"35079.000"
"FM";"29.600"
"MD";"121.000"
"MC";"336.000"
"MN";"404.000"
"ME";"1662.000"
"MA";"10332.000"
"MZ";"1639.000"
"MM";"2907.000"
"NA";"1469.000"
"NR";"99999999999998"
"NP";"753.000"
"NL";"15828.000"
"NC";"116.000"
"NZ";"3370.000"
"NI";"1504.000"
"NE";"152.000"
"NG";"1889.000"
"MP";"531.000"
"NO";"5960.000"
"OM";"2292.000"
"PK";"99999999999998"
"PW";"138.000"
"PA";"2007.000"
"PG";"99999999999998"
"PY";"1308.000"
"PE";"3744.000"
"PH";"5967.000"
"PL";"17471.000"
"PT";"11223.000"
"PR";"3736.000"
"QA";"2938.200"
"RO";"10223.000"
"RU";"24571.000"
"RW";"932.000"
"WS";"134.000"
"SM";"60.000"
"ST";"29.000"
"SA";"18049.000"
"SN";"99999999999998"
"RS";"1281.000"
"SC";"303.000"
"SL";"55.000"
"SG";"12914.000"
"SX";"528.000"
"SK";"2027.000"
"SI";"3032.000"
"SB";"23.200"
"SO";"99999999999998"
"ZA";"10044.000"
"SS";"99999999999998"
"ES";"75315.000"
"LK";"2051.000"
"KN";"99999999999998"
"LC";"348.000"
"MF";"99999999999998"
"VC";"79.000"
"SD";"99999999999998"
"SR";"256.000"
"SE";"6782.000"
"CH";"9205.000"
"SY";"99999999999998"
"TJ";"99999999999998"
"TZ";"1233.000"
"TH";"32530.000"
"TL";"66.000"
"TG";"338.000"
"TO";"59.100"
"TT";"410.000"
"TN";"5724.000"
"TR";"30289.000"
"TM";"99999999999998"
"TC";"454.000"
"TV";"2.500"
"UG";"1323.000"
"UA";"13333.000"
"AE";"99999999999998"
"GB";"35814.000"
"US";"75608.000"
"UY";"3037.000"
"UZ";"99999999999998"
"VU";"95.100"
"VE";"601.000"
"VN";"10013.000"
"VI";"99999999999998"
"YE";"99999999999998"
"ZM";"956.000"
"ZW";"2168.000"
