;economia_21
"AF";"14.851"
"AO";"75.106"
"AL";"55.781"
"AE";"29.421"
"AR";"45.030"
"AM";"49.007"
"AU";"52.021"
"AT";"43.787"
"AZ";"52.263"
"BI";"90.345"
"BE";"37.947"
"BJ";"57.362"
"BF";"76.285"
"BD";"23.193"
"BG";"54.396"
"BH";"28.938"
"BS";"65.663"
"BA";"40.944"
"BY";"53.005"
"BZ";"35.054"
"BO";"55.971"
"BR";"42.891"
"BB";"60.652"
"BN";"46.209"
"BT";"51.131"
"BW";"47.951"
"CF";"64.482"
"CA";"57.850"
"TD";"64.881"
"CH";"56.840"
"CL";"31.854"
"CN";"73.083"
"CI";"48.475"
"CM";"71.360"
"CD";"71.866"
"CG";"65.713"
"CO";"30.380"
"KM";"31.481"
"CV";"42.310"
"CR";"33.800"
"CU";"35.309"
"CY";"46.753"
"CZ";"52.139"
"DE";"47.972"
"DJ";"46.116"
"DK";"61.441"
"DO";"43.592"
"DZ";"11.535"
"EC";"46.286"
"EG";"21.351"
"ER";"75.076"
"EH";"23.039"
"ES";"34.020"
"EE";"54.643"
"ET";"66.422"
"FI";"57.722"
"FJ";"40.022"
"FR";"46.427"
"GA";"36.387"
"GB";"51.796"
"GE";"58.673"
"GH";"72.439"
"GN";"62.951"
"GM";"45.011"
"GW";"65.109"
"GQ";"49.364"
"GR";"34.114"
"GT";"38.879"
"GU";"58.623"
"GY";"37.993"
"HK";"48.207"
"HN";"43.384"
"HR";"47.012"
"HT";"57.586"
"HU";"46.884"
"ID";"46.449"
"IN";"35.172"
"IE";"36.510"
"IR";"9.852"
"IQ";"8.182"
"IS";"67.411"
"IL";"46.725"
"IT";"35.702"
"JM";"60.263"
"JO";"10.930"
"JP";"50.691"
"KZ";"65.251"
"KE";"70.275"
"KG";"51.360"
"KH";"77.087"
"KR";"46.982"
"KW";"39.691"
"LA";"79.945"
"LB";"19.213"
"LR";"52.662"
"LY";"20.857"
"LC";"47.778"
"LK";"41.647"
"LS";"68.748"
"LT";"54.380"
"LU";"35.930"
"LV";"53.167"
"MO";"44.420"
"MA";"24.061"
"MD";"47.413"
"MG";"84.191"
"MV";"21.652"
"MX";"34.005"
"MK";"43.070"
"ML";"35.434"
"MT";"28.060"
"MM";"61.264"
"ME";"44.177"
"MN";"51.662"
"MZ";"87.054"
"MR";"29.943"
"MU";"38.529"
"MW";"76.107"
"MY";"45.348"
"NA";"48.969"
"NC";"59.268"
"NE";"68.116"
"NG";"47.505"
"NI";"36.369"
"NL";"43.825"
"NO";"55.189"
"NP";"80.657"
"NZ";"53.630"
"OM";"20.425"
"PK";"13.833"
"PA";"39.056"
"PE";"43.501"
"PH";"46.868"
"PG";"70.655"
"PL";"53.760"
"PR";"30.969"
"KP";"77.686"
"PT";"50.429"
"PY";"52.082"
"PS";"10.224"
"PF";"47.726"
"QA";"40.498"
"RO";"62.212"
"RU";"59.007"
"RW";"86.784"
"SA";"14.220"
"SD";"24.226"
"SN";"33.366"
"SG";"48.160"
"SB";"62.466"
"SL";"63.841"
"SV";"40.207"
"SO";"20.581"
"RS";"48.205"
"SS";"70.987"
"ST";"36.077"
"SR";"33.597"
"SK";"59.723"
"SI";"52.324"
"SE";"62.474"
"SZ";"37.572"
"SY";"22.571"
"TG";"80.807"
"TH";"66.755"
"TJ";"45.536"
"TM";"50.134"
"TL";"43.857"
"TO";"38.257"
"TT";"44.006"
"TN";"22.514"
"TR";"33.940"
"TW";"44.356"
"TZ";"82.071"
"UG";"62.480"
"UA";"54.443"
"UY";"45.783"
"US";"56.043"
"UZ";"50.179"
"VC";"44.683"
"VE";"42.635"
"VI";"60.059"
"VN";"73.249"
"VU";"61.394"
"WS";"25.255"
"YE";"16.793"
"ZA";"41.866"
"ZM";"73.784"
"ZW";"67.762"
