"";economia_19
"AF";"214"
"AX";"99999999999998"
"AL";"1788"
"DZ";"2094"
"AS";"99999999999998"
"AD";"32775"
"AO";"979"
"AI";"14123"
"AQ";"99999999999998"
"AG";"9623"
"AR";"3666"
"AM";"992"
"AW";"20835"
"AU";"28390"
"AT";"32007"
"AZ";"870"
"BS";"28092"
"BH";"14222"
"BD";"372"
"BB";"12028"
"BY";"1897"
"BE";"30616"
"BZ";"3680"
"BJ";"519"
"BM";"64537"
"BT";"998"
"BO";"917"
"BQ";"99999999999998"
"BA";"2305"
"BW";"4163"
"BV";"99999999999998"
"BR";"3063"
"IO";"99999999999998"
"BN";"20561"
"BG";"2689"
"BF";"332"
"BI";"86"
"CV";"2012"
"KH";"363"
"CM";"892"
"CA";"28216"
"KY";"54898"
"CF";"300"
"TD";"331"
"CL";"4816"
"CN";"1279"
"CX";"99999999999998"
"CC";"99999999999998"
"CO";"2245"
"KM";"1127"
"CD";"174"
"CG";"998"
"CK";"7979"
"CR";"4168"
"CI";"866"
"HR";"7897"
"CU";"3193"
"CW";"99999999999998"
"CY";"20240"
"CZ";"9698"
"DK";"40486"
"DJ";"827"
"DM";"4812"
"DO";"2274"
"EC";"2440"
"EG";"1001"
"SV";"2520"
"GQ";"5324"
"ER";"233"
"EE";"7163"
"ET";"117"
"FK";"99999999999998"
"FO";"99999999999998"
"FJ";"2871"
"FI";"32726"
"FR";"29567"
"GF";"99999999999998"
"PF";"19809"
"TF";"99999999999998"
"GA";"4937"
"GM";"360"
"GE";"872"
"DE";"30674"
"GH";"598"
"GI";"99999999999998"
"GR";"17958"
"GL";"24827"
"GD";"5773"
"GP";"99999999999998"
"GU";"99999999999998"
"GT";"1753"
"GG";"99999999999998"
"GN";"512"
"GW";"361"
"GY";"1576"
"HT";"315"
"HM";"99999999999998"
"VA";"99999999999998"
"HN";"1171"
"HK";"23794"
"HU";"8413"
"IS";"39300"
"IN";"517"
"ID";"1133"
"IR";"2255"
"IQ";"645"
"IE";"40567"
"IM";"99999999999998"
"IL";"19980"
"IT";"26993"
"JM";"3477"
"JP";"34713"
"JE";"99999999999998"
"JO";"1889"
"KZ";"2024"
"KE";"501"
"KI";"1060"
"KP";"471"
"KR";"14100"
"KW";"22071"
"KG";"383"
"LA";"391"
"LV";"5095"
"LB";"5350"
"LS";"576"
"LR";"170"
"LY";"4672"
"LI";"98957"
"LT";"5507"
"LU";"66074"
"MO";"17810"
"MK";"2409"
"MG";"373"
"MW";"260"
"MY";"4464"
"MV";"3481"
"ML";"392"
"MT";"13432"
"MH";"2442"
"MQ";"99999999999998"
"MR";"529"
"MU";"5024"
"YT";"99999999999998"
"MX";"6904"
"FM";"2293"
"MD";"475"
"MC";"107029"
"MN";"749"
"ME";"2802"
"MS";"9237"
"MA";"1754"
"MZ";"284"
"MM";"208"
"NA";"2422"
"NR";"2385"
"NP";"259"
"NL";"35297"
"NC";"21795"
"NZ";"20862"
"NI";"1012"
"NE";"209"
"NG";"824"
"NU";"99999999999998"
"NF";"99999999999998"
"MP";"99999999999998"
"NO";"50054"
"OM";"9070"
"PK";"616"
"PW";"8018"
"PS";"1153"
"PA";"4030"
"PG";"929"
"PY";"1175"
"PE";"2181"
"PH";"1011"
"PN";"99999999999998"
"PL";"5659"
"PT";"15730"
"PR";"20035"
"QA";"33769"
"RE";"99999999999998"
"RO";"2755"
"RU";"2976"
"RW";"213"
"BL";"99999999999998"
"SH";"99999999999998"
"KN";"9838"
"LC";"5006"
"MF";"99999999999998"
"PM";"99999999999998"
"VC";"4447"
"WS";"1810"
"SM";"58094"
"ST";"649"
"SA";"9567"
"SN";"643"
"RS";"2832"
"SC";"9852"
"SL";"267"
"SG";"22828"
"SX";"99999999999998"
"SK";"6282"
"SI";"14932"
"SB";"703"
"SO";"154"
"ZA";"3678"
"GS";"99999999999998"
"SS";"99999999999998"
"ES";"21260"
"LK";"1125"
"SD";"99999999999998"
"SR";"3190"
"SJ";"99999999999998"
"SZ";"2021"
"SE";"36990"
"CH";"48400"
"SY";"1198"
"TW";"99999999999998"
"TJ";"236"
"TZ";"412"
"TH";"2359"
"TL";"527"
"TG";"392"
"TK";"99999999999998"
"TO";"2078"
"TT";"8805"
"TN";"2762"
"TR";"4719"
"TM";"2420"
"TC";"17503"
"TV";"1880"
"UG";"294"
"UA";"1093"
"AE";"33665"
"GB";"34214"
"UM";"99999999999998"
"US";"39688"
"UY";"3622"
"UZ";"393"
"VU";"1580"
"VE";"3229"
"VN";"478"
"VG";"31718"
"VI";"99999999999998"
"WF";"99999999999998"
"EH";"99999999999998"
"YE";"697"
"ZM";"429"
"ZW";"531"
