"";economia_18
"AF";"3621"
"AX";"99999999999998"
"AL";"3927"
"DZ";"55057"
"AS";"99999999999998"
"AD";"1497"
"AO";"11949"
"AI";"155"
"AQ";"99999999999998"
"AG";"774"
"AR";"291335"
"AM";"2259"
"AW";"1920"
"AU";"390096"
"AT";"197336"
"AZ";"5708"
"BS";"8318"
"BH";"8976"
"BD";"45433"
"BB";"3117"
"BY";"12805"
"BE";"237839"
"BZ";"872"
"BJ";"2680"
"BM";"3680"
"BT";"476"
"BO";"8142"
"BQ";"99999999999998"
"BA";"5946"
"BW";"5490"
"BV";"99999999999998"
"BR";"560747"
"IO";"99999999999998"
"BN";"6206"
"BG";"14076"
"BF";"2834"
"BI";"662"
"CV";"640"
"KH";"3992"
"CM";"10421"
"CA";"736398"
"KY";"2336"
"CF";"975"
"TD";"1945"
"CL";"71456"
"CN";"1344077"
"CX";"99999999999998"
"CC";"99999999999998"
"CO";"98212"
"KM";"456"
"CD";"8350"
"CG";"2794"
"CK";"96"
"CR";"15913"
"CI";"11193"
"HR";"23290"
"CU";"31682"
"CW";"99999999999998"
"CY";"10390"
"CZ";"67376"
"DK";"164791"
"DJ";"577"
"DM";"328"
"DO";"25208"
"EC";"24468"
"EG";"90724"
"SV";"13813"
"GQ";"2208"
"ER";"752"
"EE";"6245"
"ET";"7963"
"FK";"99999999999998"
"FO";"99999999999998"
"FJ";"1682"
"FI";"129249"
"FR";"1382206"
"GF";"99999999999998"
"PF";"3693"
"TF";"99999999999998"
"GA";"5182"
"GM";"687"
"GE";"3219"
"DE";"1950631"
"GH";"8517"
"GI";"99999999999998"
"GR";"136190"
"GL";"1072"
"GD";"520"
"GP";"99999999999998"
"GU";"99999999999998"
"GT";"18703"
"GG";"99999999999998"
"GN";"4075"
"GW";"380"
"GY";"1136"
"HT";"3508"
"HM";"99999999999998"
"VA";"99999999999998"
"HN";"7653"
"HK";"169404"
"HU";"53821"
"IS";"8136"
"IN";"468297"
"ID";"170832"
"IR";"121521"
"IQ";"17682"
"IE";"109133"
"IM";"99999999999998"
"IL";"130708"
"IT";"1162307"
"JM";"9195"
"JP";"4303543"
"JE";"99999999999998"
"JO";"8976"
"KZ";"22153"
"KE";"14900"
"KI";"65"
"KP";"11022"
"KR";"533050"
"KW";"34890"
"KG";"1527"
"LA";"1827"
"LV";"8350"
"LB";"17065"
"LS";"805"
"LR";"638"
"LY";"34061"
"LI";"2756"
"LT";"12253"
"LU";"21272"
"MO";"6811"
"MK";"3710"
"MG";"5336"
"MW";"3102"
"MY";"92784"
"MV";"887"
"ML";"3465"
"MT";"4066"
"MH";"115"
"MQ";"99999999999998"
"MR";"1296"
"MU";"4817"
"YT";"99999999999998"
"MX";"756703"
"FM";"240"
"MD";"1481"
"MC";"2636"
"MN";"1470"
"ME";"1170"
"MS";"36"
"MA";"39639"
"MZ";"4767"
"MM";"7634"
"NA";"3476"
"NR";"19"
"NP";"5891"
"NL";"426570"
"NC";"3295"
"NZ";"54109"
"NI";"5334"
"NE";"1881"
"NG";"70977"
"NU";"99999999999998"
"NF";"99999999999998"
"MP";"99999999999998"
"NO";"174004"
"OM";"19452"
"PK";"73269"
"PW";"158"
"PS";"4004"
"PA";"11808"
"PG";"4610"
"PY";"6446"
"PE";"52049"
"PH";"76262"
"PN";"99999999999998"
"PL";"190521"
"PT";"121545"
"PR";"70181"
"QA";"17329"
"RE";"99999999999998"
"RO";"40717"
"RU";"306618"
"RW";"1675"
"BL";"99999999999998"
"SH";"99999999999998"
"KN";"461"
"LC";"738"
"MF";"99999999999998"
"PM";"99999999999998"
"VC";"430"
"WS";"239"
"SM";"1202"
"ST";"72"
"SA";"184137"
"SN";"4878"
"RS";"12267"
"SC";"746"
"SL";"1091"
"SG";"89285"
"SX";"99999999999998"
"SK";"21376"
"SI";"20876"
"SB";"335"
"SO";"1303"
"ZA";"123435"
"GS";"99999999999998"
"SS";"99999999999998"
"ES";"625970"
"LK";"18364"
"SD";"99999999999998"
"SR";"1021"
"SJ";"99999999999998"
"SZ";"1542"
"SE";"239916"
"CH";"278629"
"SY";"21008"
"TW";"99999999999998"
"TJ";"1081"
"TZ";"13269"
"TH";"120052"
"TL";"474"
"TG";"1481"
"TK";"99999999999998"
"TO";"167"
"TT";"8825"
"TN";"22066"
"TR";"200254"
"TM";"6754"
"TC";"359"
"TV";"13"
"UG";"7044"
"UA";"39309"
"AE";"104662"
"GB";"1621615"
"UM";"99999999999998"
"US";"10621824"
"UY";"20899"
"UZ";"9336"
"VU";"255"
"VE";"122911"
"VN";"32685"
"VG";"794"
"VI";"99999999999998"
"WF";"99999999999998"
"EH";"99999999999998"
"YE";"11240"
"ZM";"4094"
"ZW";"7496"
