;economia_20
"AF";"51.985"
"AO";"77.715"
"AL";"55.056"
"AE";"80.293"
"AR";"60.858"
"AM";"56.353"
"AU";"65.616"
"AT";"59.654"
"AZ";"63.848"
"BI";"79.951"
"BE";"53.600"
"BJ";"71.446"
"BF";"71.964"
"BD";"57.228"
"BG";"55.130"
"BH";"70.553"
"BS";"75.698"
"BA";"48.466"
"BY";"62.097"
"BZ";"65.969"
"BO";"72.068"
"BR";"66.919"
"BB";"68.787"
"BN";"67.250"
"BT";"71.640"
"BW";"63.286"
"CF";"71.491"
"CA";"67.208"
"TD";"72.191"
"CH";"68.231"
"CL";"58.394"
"CN";"71.880"
"CI";"61.690"
"CM";"75.875"
"CD";"72.379"
"CG";"69.228"
"CO";"67.610"
"KM";"41.922"
"CV";"59.126"
"CR";"62.620"
"CU";"54.793"
"CY";"63.412"
"CZ";"58.486"
"DE";"59.214"
"DJ";"59.607"
"DK";"66.051"
"DO";"63.870"
"DZ";"42.193"
"EC";"68.450"
"EG";"48.460"
"ER";"80.068"
"EH";"55.262"
"ES";"58.836"
"EE";"61.349"
"ET";"84.099"
"FI";"61.515"
"FJ";"55.651"
"FR";"56.224"
"GA";"48.423"
"GB";"62.187"
"GE";"63.550"
"GH";"75.834"
"GN";"64.856"
"GM";"58.974"
"GW";"71.241"
"GQ";"57.753"
"GR";"53.818"
"GT";"64.720"
"GU";"67.205"
"GY";"56.259"
"HK";"60.357"
"HN";"63.256"
"HR";"53.284"
"HT";"65.337"
"HU";"50.007"
"ID";"67.499"
"IN";"57.358"
"IE";"63.530"
"IR";"43.265"
"IQ";"46.948"
"IS";"76.070"
"IL";"62.752"
"IT";"48.932"
"JM";"66.227"
"JO";"41.774"
"JP";"60.577"
"KZ";"70.314"
"KE";"65.603"
"KG";"64.532"
"KH";"84.150"
"KR";"61.394"
"KW";"68.727"
"LA";"78.272"
"LB";"46.247"
"LR";"56.343"
"LY";"53.270"
"LC";"67.104"
"LK";"55.957"
"LS";"68.708"
"LT";"55.908"
"LU";"55.007"
"LV";"61.492"
"MO";"69.895"
"MA";"49.889"
"MD";"44.332"
"MG";"88.271"
"MV";"65.702"
"MX";"61.651"
"MK";"55.040"
"ML";"60.570"
"MT";"49.345"
"MM";"68.225"
"ME";"50.035"
"MN";"59.026"
"MZ";"83.489"
"MR";"50.075"
"MU";"57.682"
"MW";"77.235"
"MY";"60.148"
"NA";"58.500"
"NC";"64.069"
"NE";"79.142"
"NG";"54.860"
"NI";"63.549"
"NL";"66.156"
"NO";"67.415"
"NP";"83.025"
"NZ";"67.861"
"OM";"58.624"
"PK";"53.128"
"PA";"65.764"
"PE";"77.938"
"PH";"62.042"
"PG";"72.068"
"PL";"54.594"
"PR";"45.992"
"KP";"80.971"
"PT";"62.037"
"PY";"70.610"
"PS";"42.954"
"PF";"56.363"
"QA";"83.586"
"RO";"53.937"
"RU";"62.984"
"RW";"86.489"
"SA";"50.285"
"SD";"48.020"
"SN";"53.288"
"SG";"66.408"
"SB";"72.275"
"SL";"62.727"
"SV";"61.722"
"SO";"46.198"
"RS";"53.561"
"SS";"73.570"
"ST";"56.847"
"SR";"52.775"
"SK";"59.187"
"SI";"59.482"
"SE";"63.792"
"SZ";"52.428"
"SY";"44.636"
"TG";"79.779"
"TH";"73.115"
"TJ";"58.785"
"TM";"63.820"
"TL";"44.187"
"TO";"60.218"
"TT";"64.279"
"TN";"46.831"
"TR";"45.789"
"TW";"58.342"
"TZ";"83.131"
"UG";"70.665"
"UA";"54.838"
"UY";"64.823"
"US";"64.983"
"UZ";"63.669"
"VC";"68.869"
"VE";"65.052"
"VI";"64.298"
"VN";"76.609"
"VU";"69.994"
"WS";"32.348"
"YE";"40.452"
"ZA";"55.783"
"ZM";"77.803"
"ZW";"82.527"
