;indicadoressociais_12
"AW";"99999999999998"
"AF";"46.4"
"AO";"68.9"
"AL";"7.8"
"AD";"99999999999998"
"AE";"2.5"
"AR";"4.1"
"AM";"23.5"
"AS";"99999999999998"
"AG";"99999999999998"
"AU";"2.5"
"AT";"2.5"
"AZ";"18.6"
"BI";"99999999999998"
"BE";"2.5"
"BJ";"20.6"
"BF";"25.6"
"BD";"18.7"
"BG";"5.2"
"BH";"99999999999998"
"BS";"99999999999998"
"BA";"4.7"
"BY";"2.6"
"BZ";"5.0"
"BM";"99999999999998"
"BO";"31.6"
"BR";"10.6"
"BB";"5.8"
"BN";"2.8"
"BT";"99999999999998"
"BW";"35.0"
"CF";"42.0"
"CA";"2.5"
"CH";"2.5"
"CL";"4.4"
"CN";"15.8"
"CI";"21.5"
"CM";"28.5"
"CD";"99999999999998"
"CG";"34.0"
"CO";"9.4"
"KM";"99999999999998"
"CV";"17.9"
"CR";"5.3"
"CU";"2.8"
"CW";"99999999999998"
"KY";"99999999999998"
"CY";"3.9"
"CZ";"2.5"
"DE";"2.5"
"DJ";"45.4"
"DM";"4.4"
"DK";"2.5"
"DO";"27.1"
"DZ";"10.2"
"EC";"18.8"
"EG";"5.1"
"ER";"99999999999998"
"ES";"2.5"
"EE";"5.5"
"ET";"49.0"
"FI";"2.5"
"FJ";"4.7"
"FR";"2.5"
"FO";"99999999999998"
"FM";"99999999999998"
"GA";"10.8"
"GB";"2.5"
"GE";"13.6"
"GH";"13.6"
"GI";"99999999999998"
"GN";"25.5"
"GM";"12.9"
"GW";"24.4"
"GQ";"99999999999998"
"GR";"2.5"
"GD";"99999999999998"
"GL";"99999999999998"
"GT";"18.1"
"GU";"99999999999998"
"GY";"7.9"
"HK";"2.5"
"HN";"18.5"
"HR";"7.8"
"HT";"56.0"
"HU";"2.5"
"ID";"18.2"
"IM";"99999999999998"
"IN";"19.4"
"IE";"2.5"
"IR";"5.4"
"IQ";"26.9"
"IS";"2.5"
"IL";"2.5"
"IT";"2.5"
"JM";"6.8"
"JO";"10.9"
"JP";"2.5"
"KZ";"5.7"
"KE";"31.8"
"KG";"15.8"
"KH";"26.0"
"KI";"4.3"
"KN";"99999999999998"
"KR";"2.5"
"KW";"2.5"
"LA";"36.0"
"LB";"2.5"
"LR";"39.8"
"LY";"99999999999998"
"LC";"99999999999998"
"LI";"99999999999998"
"LK";"18.5"
"LS";"13.0"
"LT";"2.5"
"LU";"2.5"
"LV";"4.5"
"MO";"21.9"
"MF";"99999999999998"
"MA";"6.7"
"MC";"99999999999998"
"MD";"99999999999998"
"MG";"35.5"
"MV";"14.6"
"MX";"4.4"
"MH";"99999999999998"
"MK";"8.8"
"ML";"14.0"
"MT";"2.5"
"MM";"44.9"
"ME";"99999999999998"
"MN";"33.4"
"MP";"99999999999998"
"MZ";"40.2"
"MR";"11.4"
"MU";"6.3"
"MW";"26.4"
"MY";"3.2"
"NA";"24.4"
"NC";"7.5"
"NE";"19.7"
"NG";"9.0"
"NI";"29.3"
"NL";"2.5"
"NO";"2.5"
"NP";"21.4"
"NR";"99999999999998"
"NZ";"2.5"
"OM";"11.5"
"PK";"24.8"
"PA";"26.2"
"PE";"21.7"
"PH";"19.7"
"PW";"99999999999998"
"PG";"99999999999998"
"PL";"2.5"
"PR";"99999999999998"
"KP";"37.1"
"PT";"2.5"
"PY";"12.2"
"PS";"99999999999998"
"PF";"4.3"
"QA";"99999999999998"
"RO";"2.5"
"RU";"4.4"
"RW";"50.0"
"SA";"6.4"
"SD";"99999999999998"
"SN";"27.6"
"SG";"99999999999998"
"SB";"14.5"
"SL";"40.3"
"SV";"9.3"
"SM";"99999999999998"
"SO";"99999999999998"
"RS";"99999999999998"
"SS";"99999999999998"
"ST";"14.5"
"SR";"12.9"
"SK";"6.5"
"SI";"2.5"
"SE";"2.5"
"SZ";"17.4"
"SX";"99999999999998"
"SC";"99999999999998"
"SY";"99999999999998"
"TC";"99999999999998"
"TD";"39.8"
"TG";"30.5"
"TH";"18.3"
"TJ";"99999999999998"
"TM";"7.6"
"TL";"35.6"
"TO";"99999999999998"
"TT";"11.2"
"TN";"5.2"
"TR";"2.5"
"TV";"99999999999998"
"TZ";"36.9"
"UG";"27.4"
"UA";"3.6"
"UY";"4.1"
"US";"2.5"
"UZ";"18.8"
"VC";"14.8"
"VE";"16.3"
"VG";"99999999999998"
"VI";"99999999999998"
"VN";"22.5"
"VU";"8.1"
"WS";"4.4"
"YE";"30.1"
"ZA";"4.7"
"ZM";"49.0"
"ZW";"40.4"
