;populacao_5
"BI";"91.50"
"KM";"72.00"
"DJ";"23.40"
"ER";"72.50"
"ET";"85.10"
"KE";"79.80"
"MG";"72.60"
"MW";"85.30"
"MU";"57.40"
"YT";"51.00"
"MZ";"70.70"
"RE";"7.50"
"RW";"84.20"
"SC";"49.40"
"SO";"66.40"
"SS";"83.40"
"UG";"84.80"
"TZ";"77.30"
"ZM";"65.00"
"ZW";"65.80"
"AO";"48.70"
"CM";"53.90"
"CF";"62.30"
"TD";"78.30"
"CG";"40.80"
"CD";"64.40"
"GQ";"49.20"
"GA";"20.40"
"ST";"45.60"
"DZ";"39.30"
"EG";"57.20"
"LY";"23.50"
"MA";"46.30"
"SD";"67.50"
"TN";"36.20"
"EH";"14.20"
"BW";"45.90"
"LS";"79.90"
"NA";"67.10"
"ZA";"42.60"
"SZ";"77.40"
"BJ";"61.40"
"BF";"81.50"
"CV";"45.70"
"CI";"56.40"
"GM";"51.20"
"GH";"55.40"
"GN";"68.90"
"GW";"63.40"
"LR";"55.30"
"ML";"70.90"
"MR";"61.40"
"NE";"83.70"
"NG";"64.30"
"SH";"59.70"
"SN";"59.50"
"SL";"64.10"
"TG";"66.60"
"CN";"62.90"
"HK";"0.00"
"MO";"0.00"
"TW";"29.70"
"KP";"40.50"
"JP";"20.00"
"MN";"41.80"
"KR";"20.10"
"KZ";"43.80"
"KG";"64.70"
"TJ";"73.50"
"TM";"53.90"
"UZ";"53.40"
"AF";"77.80"
"BD";"75.90"
"BT";"73.50"
"IN";"72.10"
"IR";"35.20"
"MV";"71.10"
"NP";"86.10"
"PK";"66.80"
"LK";"81.60"
"BN";"28.40"
"KH";"81.30"
"ID";"57.20"
"LA";"77.00"
"MY";"37.10"
"MM";"72.80"
"PH";"54.00"
"SG";"0.00"
"TH";"67.50"
"TL";"75.40"
"VN";"75.10"
"AM";"35.60"
"AZ";"48.40"
"BH";"11.60"
"CY";"31.20"
"GE";"47.60"
"IQ";"31.50"
"IL";"8.70"
"JO";"21.70"
"KW";"0.10"
"LB";"13.90"
"OM";"28.50"
"QA";"3.50"
"SA";"19.90"
"PS";"27.80"
"SY";"47.70"
"TR";"34.70"
"AE";"19.30"
"YE";"73.20"
"BY";"29.50"
"BG";"30.80"
"CZ";"26.10"
"HU";"35.30"
"PL";"38.20"
"MD";"55.80"
"RO";"47.20"
"RU";"26.70"
"SK";"43.80"
"UA";"32.80"
"DK";"14.90"
"EE";"30.80"
"FO";"62.80"
"FI";"17.60"
"IS";"7.50"
"IE";"40.60"
"IM";"48.20"
"LV";"32.10"
"LT";"33.10"
"NO";"23.60"
"SE";"15.90"
"GB";"21.30"
"AL";"57.60"
"AD";"7.90"
"BA";"57.30"
"HR";"46.40"
"GI";"0.00"
"GR";"27.10"
"VA";"0.00"
"IT";"32.70"
"MT";"7.40"
"ME";"40.40"
"PT";"45.00"
"SM";"6.30"
"RS";"47.00"
"SI";"49.20"
"ES";"23.70"
"MK";"41.70"
"AT";"40.10"
"BE";"2.80"
"FR";"23.90"
"DE";"24.80"
"LI";"85.00"
"LU";"15.20"
"MC";"0.00"
"NL";"22.20"
"CH";"26.60"
"AI";"0.00"
"AG";"68.30"
"AW";"53.70"
"BS";"18.00"
"BB";"66.40"
"VG";"58.00"
"KY";"0.00"
"CU";"24.40"
"CW";"9.00"
"DM";"34.60"
"DO";"37.40"
"GD";"64.10"
"GP";"1.60"
"HT";"62.80"
"JM";"48.00"
"MQ";"10.40"
"MS";"90.50"
"PR";"5.70"
"KN";"67.40"
"LC";"72.50"
"VC";"54.50"
"SX";"0.00"
"TT";"44.30"
"TC";"14.60"
"VI";"7.20"
"BZ";"54.60"
"CR";"39.60"
"SV";"40.50"
"GT";"54.30"
"HN";"54.00"
"MX";"25.00"
"NI";"44.70"
"PA";"37.50"
"AR";"10.70"
"BO";"37.70"
"BR";"18.50"
"CL";"13.60"
"CO";"25.60"
"EC";"39.20"
"FK";"31.60"
"GF";"20.50"
"GY";"71.40"
"PY";"44.00"
"PE";"26.60"
"SR";"33.50"
"UY";"7.70"
"VE";"12.20"
"BM";"0.00"
"CA";"20.20"
"GL";"18.20"
"PM";"10.70"
"US";"20.80"
"AU";"15.90"
"NZ";"13.90"
"FJ";"51.70"
"NC";"37.70"
"PG";"86.80"
"SB";"83.80"
"VU";"78.10"
"FM";"34.20"
"GU";"6.80"
"KI";"56.50"
"MH";"30.90"
"FM";"77.70"
"NR";"0.00"
"MP";"9.80"
"PW";"29.90"
"AS";"11.50"
"CK";"33.10"
"PF";"44.00"
"NU";"66.60"
"WS";"77.90"
"TK";"100.00"
"TO";"77.00"
"TV";"53.60"
"WF";"100.00"
