;redes_29
"AF";"46.440"
"AL";"105.920"
"DZ";"96.730"
"AS";"99999999999998"
"AD";"77.660"
"AO";"49.850"
"AI";"186.500"
"AG";"183.880"
"AR";"145.770"
"AM";"111.670"
"AW";"99999999999998"
"AU";"105.820"
"AT";"153.930"
"AZ";"110.650"
"BS";"81.510"
"BH";"132.500"
"BD";"54.820"
"BB";"123.990"
"BY";"112.950"
"BE";"113.460"
"BZ";"67.560"
"BJ";"82.080"
"BM";"99999999999998"
"BT";"65.390"
"BO";"82.880"
"BA";"85.970"
"BW";"141.380"
"BR";"117.950"
"VG";"167.010"
"BN";"112.470"
"BG";"142.400"
"BF";"47.770"
"BI";"21.170"
"KH";"94.630"
"CM";"51.100"
"CA";"77.710"
"CV";"78.030"
"KY";"171.050"
"CF";"22.170"
"TD";"29.830"
"CL";"130.090"
"CN";"72.120"
"CO";"99.560"
"KM";"30.630"
"CD";"23.450"
"CG";"86.080"
"CK";"52.260"
"CR";"90.270"
"CI";"83.010"
"HR";"118.590"
"CU";"11.580"
"CY";"128.500"
"CZ";"124.590"
"KP";"4.040"
"DK";"128.490"
"DJ";"22.290"
"DM";"151.880"
"DO";"87.470"
"EC";"101.020"
"EG";"97.120"
"SV";"134.290"
"GQ";"48.160"
"ER";"5.410"
"EE";"135.950"
"ET";"15.690"
"FK";"115.060"
"FO";"120.300"
"FJ";"83.840"
"FI";"165.890"
"FR";"94.430"
"GF";"99999999999998"
"PF";"82.580"
"GA";"139.660"
"GM";"80.230"
"GE";"106.210"
"DE";"112.310"
"GH";"84.250"
"GI";"97.290"
"GR";"106.170"
"GL";"103.870"
"GD";"115.020"
"GP";"99999999999998"
"GU";"99999999999998"
"GT";"130.300"
"GG";"99999999999998"
"GN";"44.050"
"GW";"45.900"
"GY";"70.590"
"HT";"41.400"
"HN";"96.540"
"HK";"216.440"
"HU";"118.100"
"IS";"106.390"
"IN";"71.670"
"ID";"101.670"
"IR";"74.240"
"IQ";"80.430"
"IE";"105.230"
"IL";"121.550"
"IT";"160.710"
"JM";"104.100"
"JP";"103.310"
"JE";"99999999999998"
"JO";"98.780"
"KZ";"151.620"
"KE";"66.090"
"KI";"13.170"
"KR";"105.550"
"KW";"154.620"
"KG";"113.990"
"LA";"86.540"
"LV";"110.350"
"LB";"75.340"
"LS";"59.700"
"LR";"49.650"
"LY";"161.460"
"LI";"101.950"
"LT";"160.330"
"LU";"147.130"
"MO";"246.290"
"MG";"39.920"
"MW";"25.290"
"MY";"128.030"
"MV";"141.400"
"ML";"69.630"
"MT";"124.710"
"MH";"99999999999998"
"MQ";"99999999999998"
"MR";"89.160"
"MU";"103.440"
"YT";"99999999999998"
"MX";"79.420"
"FM";"26.670"
"MD";"78.910"
"MC";"84.780"
"MN";"106.550"
"ME";"185.320"
"MS";"84.100"
"MA";"111.250"
"MZ";"31.500"
"MM";"2.460"
"NA";"99.050"
"NR";"65.630"
"NP";"48.870"
"AN";"99999999999998"
"NL";"118.480"
"NC";"89.260"
"NZ";"109.090"
"NI";"83.050"
"NE";"27.790"
"NG";"58.430"
"NU";"99999999999998"
"MP";"99999999999998"
"NO";"115.720"
"OM";"148.560"
"PK";"62.520"
"PS";"69.040"
"PA";"181.660"
"PG";"33.020"
"PY";"103.740"
"PE";"109.080"
"PH";"98.860"
"PL";"130.900"
"PT";"116.090"
"PR";"83.850"
"QA";"117.940"
"RE";"99999999999998"
"RO";"115.410"
"RU";"142.220"
"RW";"42.280"
"ST";"64.340"
"WS";"99999999999998"
"SM";"112.570"
"SA";"191.230"
"SN";"70.320"
"RS";"141.150"
"SC";"137.850"
"SL";"32.320"
"SG";"150.580"
"SK";"110.600"
"SI";"105.610"
"SB";"50.940"
"SO";"14.510"
"ZA";"122.460"
"SS";"17.230"
"ES";"112.110"
"LK";"90.180"
"SH";"0.000"
"KN";"148.060"
"LC";"124.560"
"PM";"99999999999998"
"VC";"120.550"
"SD";"71.250"
"SR";"100.360"
"SZ";"62.560"
"SE";"121.010"
"CH";"127.140"
"SY";"61.910"
"TW";"124.500"
"TJ";"80.910"
"TZ";"53.950"
"MK";"106.800"
"TH";"114.690"
"TL";"54.280"
"TG";"40.350"
"TK";"99999999999998"
"TO";"52.590"
"TT";"136.820"
"TN";"115.110"
"TR";"88.980"
"TM";"102.430"
"TC";"99999999999998"
"TV";"20.040"
"UG";"47.580"
"UA";"121.940"
"AE";"135.230"
"GB";"120.920"
"US";"95.610"
"UY";"140.520"
"UZ";"87.520"
"VU";"56.620"
"VE";"97.690"
"VN";"142.360"
"VI";"99999999999998"
"WF";"99999999999998"
"YE";"48.110"
"ZM";"57.240"
"ZW";"63.950"
