;redes_28
"AF";"0.060"
"AL";"11.330"
"DZ";"8.090"
"AS";"18.690"
"AD";"45.200"
"AO";"1.200"
"AI";"45.620"
"AG";"38.370"
"AR";"24.050"
"AM";"20.590"
"AW";"34.460"
"AU";"48.030"
"AT";"40.400"
"AZ";"16.680"
"BS";"35.840"
"BH";"18.370"
"BD";"0.840"
"BB";"49.180"
"BY";"43.690"
"BE";"42.420"
"BZ";"9.420"
"BJ";"1.450"
"BM";"90.370"
"BT";"3.610"
"BO";"8.580"
"BA";"26.830"
"BW";"6.820"
"BR";"21.410"
"VG";"46.860"
"BN";"20.560"
"BG";"29.230"
"BF";"0.920"
"BI";"0.400"
"KH";"2.510"
"CM";"2.700"
"CA";"53.830"
"CV";"14.330"
"KY";"67.290"
"CF";"0.020"
"TD";"0.430"
"CL";"20.360"
"CN";"21.650"
"CO";"15.650"
"KM";"3.080"
"CD";"0.070"
"CG";"0.310"
"CK";"38.980"
"CR";"23.330"
"CI";"1.390"
"HR";"43.110"
"CU";"10.270"
"CY";"49.920"
"CZ";"22.470"
"KP";"4.800"
"DK";"47.050"
"DJ";"2.170"
"DM";"21.670"
"DO";"10.230"
"EC";"13.970"
"EG";"11.440"
"SV";"16.240"
"GQ";"1.420"
"ER";"1.240"
"EE";"36.200"
"ET";"1.040"
"FK";"69.740"
"FO";"41.560"
"FJ";"15.100"
"FI";"23.300"
"FR";"64.450"
"GF";"19.430"
"PF";"20.510"
"GA";"1.850"
"GM";"2.880"
"GE";"26.280"
"DE";"65.390"
"GH";"1.130"
"GI";"72.310"
"GR";"51.530"
"GL";"38.530"
"GD";"27.100"
"GP";"56.730"
"GU";"41.080"
"GT";"10.240"
"GG";"99999999999998"
"GN";"0.170"
"GW";"0.000"
"GY";"20.070"
"HT";"0.500"
"HN";"8.220"
"HK";"62.090"
"HU";"29.990"
"IS";"60.440"
"IN";"2.850"
"ID";"16.880"
"IR";"34.620"
"IQ";"5.590"
"IE";"44.910"
"IL";"45.890"
"IT";"37.730"
"JM";"9.340"
"JP";"51.040"
"JE";"99999999999998"
"JO";"6.760"
"KZ";"24.740"
"KE";"0.920"
"KI";"8.180"
"KR";"57.600"
"KW";"17.330"
"KG";"9.020"
"LA";"1.650"
"LV";"25.110"
"LB";"19.320"
"LS";"1.890"
"LR";"0.150"
"LY";"19.910"
"LI";"54.440"
"LT";"24.120"
"LU";"53.630"
"MO";"31.360"
"MG";"0.670"
"MW";"1.000"
"MY";"16.400"
"MV";"7.780"
"ML";"0.760"
"MT";"59.510"
"MH";"99999999999998"
"MQ";"43.550"
"MR";"1.980"
"MU";"31.070"
"YT";"4.790"
"MX";"16.980"
"FM";"8.160"
"MD";"28.430"
"MC";"115.680"
"MN";"7.120"
"ME";"27.320"
"MS";"52.590"
"MA";"11.570"
"MZ";"0.360"
"MM";"0.980"
"NA";"7.230"
"NR";"0.000"
"NP";"3.110"
"AN";"44.850"
"NL";"43.350"
"NC";"28.760"
"NZ";"43.020"
"NI";"4.500"
"NE";"0.510"
"NG";"0.660"
"NU";"61.350"
"MP";"46.850"
"NO";"33.720"
"OM";"9.340"
"PK";"3.560"
"PS";"8.860"
"PA";"14.800"
"PG";"1.700"
"PY";"5.840"
"PE";"10.760"
"PH";"3.560"
"PL";"20.010"
"PT";"42.110"
"PR";"23.970"
"QA";"15.170"
"RE";"57.900"
"RO";"22.020"
"RU";"31.380"
"RW";"0.390"
"ST";"4.470"
"WS";"4.300"
"SM";"62.860"
"SA";"15.190"
"SN";"2.650"
"RS";"42.670"
"SC";"24.120"
"SL";"0.220"
"SG";"39.340"
"SK";"20.330"
"SI";"44.540"
"SB";"1.590"
"SO";"0.830"
"ZA";"9.420"
"SS";"0.020"
"ES";"43.130"
"LK";"17.720"
"SH";"56.950"
"KN";"38.490"
"LC";"21.700"
"PM";"76.510"
"VC";"19.850"
"SD";"1.580"
"SR";"16.150"
"SZ";"4.400"
"SE";"50.420"
"CH";"62.660"
"SY";"19.360"
"TW";"71.130"
"TJ";"4.810"
"TZ";"0.380"
"MK";"19.950"
"TH";"10.170"
"TL";"0.260"
"TG";"0.920"
"TK";"26.320"
"TO";"29.770"
"TT";"22.090"
"TN";"12.120"
"TR";"22.400"
"TM";"10.220"
"TC";"11.940"
"TV";"11.390"
"UG";"0.960"
"UA";"28.260"
"AE";"17.890"
"GB";"52.770"
"US";"48.490"
"UY";"28.510"
"UZ";"6.610"
"VU";"3.010"
"VE";"24.400"
"VN";"16.250"
"VI";"71.410"
"WF";"23.210"
"YE";"4.430"
"ZM";"0.850"
"ZW";"2.690"
