;indicadoressociais_16
"PK"; "56.76434" 
"BR"; "91.33785" 
"ES"; "97.89454" 
"AZ"; "99.77577" 
"CI"; "40.98163" 
"JO"; "97.89032" 
"MD"; "99.13831" 
"TR"; "94.91975" 
"BD"; "57.86075" 
"RW"; "68.33103" 
"MG"; "71.57262" 
"ZA"; "93.72947" 
"IR"; "83.62599" 
"KW"; "95.51317" 
"SR"; "92.86866" 
"UY"; "98.39594" 
"PY"; "94.19747" 
"BT"; "57.03360" 
"MX"; "94.22840" 
"KM"; "49.19614" 
"AL"; "97.24697" 
"UA"; "99.97435" 
"EG"; "73.86559" 
"MA"; "69.42539" 
"PS"; "95.90622" 
"TN"; "80.21875" 
"CD"; "75.01719" 
"BJ"; "32.94882" 
"HN"; "85.35555" 
"CV"; "85.32779" 
"SG"; "96.36979" 
"BO"; "94.46057" 
"PE"; "93.84173" 
"DO"; "90.15518" 
"ST"; "90.14310" 
"EC"; "92.06473" 
"AR"; "99.10523" 
"MU"; "91.76601" 
"UG"; "70.19822" 
"GA"; "82.28380" 
"CU"; "99.75253" 
"TZ"; "78.10059" 
"GT"; "78.26486" 
"NE"; "30.56039" 
"AF";"99999999999998"
"AX";"99999999999998"
"DZ";"99999999999998"
"AS";"99999999999998"
"AD";"99999999999998"
"AO";"99999999999998"
"AI";"99999999999998"
"AQ";"99999999999998"
"AG";"99999999999998"
"AM";"99999999999998"
"AW";"99999999999998"
"AU";"99999999999998"
"AT";"99999999999998"
"BS";"99999999999998"
"BH";"99999999999998"
"BB";"99999999999998"
"BY";"99999999999998"
"BE";"99999999999998"
"BZ";"99999999999998"
"BM";"99999999999998"
"BQ";"99999999999998"
"BA";"99999999999998"
"BW";"99999999999998"
"BV";"99999999999998"
"IO";"99999999999998"
"BN";"99999999999998"
"BG";"99999999999998"
"BF";"99999999999998"
"BI";"99999999999998"
"KH";"99999999999998"
"CM";"99999999999998"
"CA";"99999999999998"
"KY";"99999999999998"
"CF";"99999999999998"
"TD";"99999999999998"
"CL";"99999999999998"
"CN";"99999999999998"
"CX";"99999999999998"
"CC";"99999999999998"
"CO";"99999999999998"
"CG";"99999999999998"
"CK";"99999999999998"
"CR";"99999999999998"
"HR";"99999999999998"
"CW";"99999999999998"
"CY";"99999999999998"
"CZ";"99999999999998"
"DK";"99999999999998"
"DJ";"99999999999998"
"DM";"99999999999998"
"SV";"99999999999998"
"GQ";"99999999999998"
"ER";"99999999999998"
"EE";"99999999999998"
"ET";"99999999999998"
"FK";"99999999999998"
"FO";"99999999999998"
"FJ";"99999999999998"
"FI";"99999999999998"
"FR";"99999999999998"
"GF";"99999999999998"
"PF";"99999999999998"
"TF";"99999999999998"
"GM";"99999999999998"
"GE";"99999999999998"
"DE";"99999999999998"
"GH";"99999999999998"
"GI";"99999999999998"
"GR";"99999999999998"
"GL";"99999999999998"
"GD";"99999999999998"
"GP";"99999999999998"
"GU";"99999999999998"
"GG";"99999999999998"
"GN";"99999999999998"
"GW";"99999999999998"
"GY";"99999999999998"
"HT";"99999999999998"
"HM";"99999999999998"
"VA";"99999999999998"
"HK";"99999999999998"
"HU";"99999999999998"
"IS";"99999999999998"
"IN";"99999999999998"
"ID";"99999999999998"
"IQ";"99999999999998"
"IE";"99999999999998"
"IM";"99999999999998"
"IL";"99999999999998"
"IT";"99999999999998"
"JM";"99999999999998"
"JP";"99999999999998"
"JE";"99999999999998"
"KZ";"99999999999998"
"KE";"99999999999998"
"KI";"99999999999998"
"KP";"99999999999998"
"KR";"99999999999998"
"KG";"99999999999998"
"LA";"99999999999998"
"LV";"99999999999998"
"LB";"99999999999998"
"LS";"99999999999998"
"LR";"99999999999998"
"LY";"99999999999998"
"LI";"99999999999998"
"LT";"99999999999998"
"LU";"99999999999998"
"MO";"99999999999998"
"MK";"99999999999998"
"MW";"99999999999998"
"MY";"99999999999998"
"MV";"99999999999998"
"ML";"99999999999998"
"MT";"99999999999998"
"MH";"99999999999998"
"MQ";"99999999999998"
"MR";"99999999999998"
"YT";"99999999999998"
"FM";"99999999999998"
"MC";"99999999999998"
"MN";"99999999999998"
"ME";"99999999999998"
"MS";"99999999999998"
"MZ";"99999999999998"
"MM";"99999999999998"
"NA";"99999999999998"
"NR";"99999999999998"
"NP";"99999999999998"
"NL";"99999999999998"
"NC";"99999999999998"
"NZ";"99999999999998"
"NI";"99999999999998"
"NG";"99999999999998"
"NU";"99999999999998"
