;indicadoressociais_17
"AF"; "99999999999998" 
"AX"; "99999999999998" 
"AL"; "87.23744" 
"DZ"; "99999999999998" 
"AS"; "99999999999998" 
"AD"; "99999999999998" 
"AO"; "99999999999998" 
"AI"; "99999999999998" 
"AG"; "99999999999998" 
"AR"; "103.14435" 
"AM"; "99999999999998" 
"AW"; "99999999999998" 
"AU"; "131.98454" 
"AT"; "96.58996" 
"AZ"; "73.92411" 
"BS"; "99999999999998" 
"BH"; "90.72196" 
"BD"; "99999999999998" 
"BB"; "99999999999998" 
"BY"; "98.95758" 
"BE"; "117.60128" 
"BZ"; "78.69391" 
"BJ"; "76.88185" 
"BM"; "99999999999998" 
"BT"; "99999999999998" 
"BO"; "99999999999998" 
"BA"; "99999999999998" 
"BW"; "99999999999998" 
"BR"; "99999999999998" 
"VG"; "82.10820" 
"BN"; "79.64653" 
"BG"; "89.35828" 
"BF"; "51.52662" 
"BI"; "70.77882" 
"KH"; "99999999999998" 
"CM"; "75.04270" 
"CA"; "93.63043" 
"CV"; "70.07738" 
"KY"; "99999999999998" 
"CF"; "99999999999998" 
"TD"; "99999999999998" 
"CL"; "96.79281" 
"CN"; "80.51736" 
"HK"; "99999999999998" 
"MO"; "91.94307" 
"CO"; "90.54712" 
"KM"; "99999999999998" 
"CG"; "99999999999998" 
"CK"; "99999999999998" 
"CR"; "96.12854" 
"CI"; "57.19790" 
"HR"; "87.76279" 
"CU"; "81.10760" 
"CW"; "99999999999998" 
"CY"; "99999999999998" 
"CZ"; "93.67818" 
"KP"; "99999999999998" 
"CD"; "99999999999998" 
"DK"; "104.46369" 
"DJ"; "99999999999998" 
"DM"; "99999999999998" 
"DO"; "79.50958" 
"EC"; "99999999999998" 
"EG"; "78.63619" 
"SV"; "68.89465" 
"GQ"; "99999999999998" 
"ER"; "99999999999998" 
"EE"; "97.91209" 
"ET"; "99999999999998" 
"FK"; "99999999999998" 
"FJ"; "99999999999998" 
"FI"; "115.74240" 
"FR"; "92.29566" 
"GF"; "99999999999998" 
"PF"; "99999999999998" 
"GA"; "99999999999998" 
"GM"; "99999999999998" 
"GE"; "87.21995" 
"DE"; "96.78065" 
"GH"; "70.21456" 
"GI"; "99999999999998" 
"GR"; "109.29833" 
"GL"; "99999999999998" 
"GD"; "98.99670" 
"GP"; "99999999999998" 
"GU"; "99999999999998" 
"GT"; "99999999999998" 
"GG"; "99999999999998" 
"GN"; "99999999999998" 
"GW"; "99999999999998" 
"GY"; "99999999999998" 
"HT"; "99999999999998" 
"VA"; "99999999999998" 
"HN"; "99999999999998" 
"HU"; "87.75910" 
"IS"; "99.29924" 
"IN"; "73.40266" 
"ID"; "99999999999998" 
"IR"; "99999999999998" 
"IQ"; "99999999999998" 
"IE"; "107.10785" 
"IM"; "99999999999998" 
"IL"; "93.35838" 
"IT"; "90.87545" 
"JM"; "99999999999998" 
