;populacao_7
"BI"; "3.327" 
"KM"; "2.403" 
"DJ"; "1.663" 
"ER"; "2.020" 
"ET"; "2.674" 
"KE"; "2.744" 
"MG"; "2.856" 
"MW"; "3.023" 
"MU"; "0.420" 
"YT"; "3.173" 
"MZ"; "2.928" 
"RE"; "0.960" 
"RW"; "2.613" 
"SC"; "0.590" 
"SO"; "2.931" 
"SS"; "4.326" 
"UG"; "3.448" 
"TZ"; "3.135" 
"ZM"; "2.781" 
"ZW"; "1.698" 
"AO"; "3.566" 
"CM"; "2.732" 
"CF"; "1.496" 
"TD"; "3.324" 
"CG"; "3.306" 
"CD"; "3.284" 
"GQ"; "4.557" 
"GA"; "3.122" 
"ST"; "2.321" 
"DZ"; "1.631" 
"EG"; "1.824" 
"LY"; "1.259" 
"MA"; "1.201" 
"SD"; "2.130" 
"TN"; "1.037" 
"EH"; "1.865" 
"BW"; "1.644" 
"LS"; "0.912" 
"NA"; "1.341" 
"ZA"; "1.101" 
"SZ"; "1.681" 
"BJ"; "2.838" 
"BF"; "3.014" 
"CV"; "1.139" 
"CI"; "2.134" 
"GM"; "3.169" 
"GH"; "2.583" 
"GN"; "2.179" 
"GW"; "2.387" 
"LR"; "3.823" 
"ML"; "3.274" 
"MR"; "2.846" 
"NE"; "3.748" 
"NG"; "2.644" 
"SH"; "-0.478" 
"SN"; "2.760" 
"SL"; "2.646" 
"TG"; "2.695" 
"CN"; "0.569" 
"HK"; "0.570" 
"MO"; "2.137" 
"JP"; "0.034" 
"MN"; "1.422" 
"KR"; "0.344" 
"KZ"; "1.074" 
"KG"; "1.323" 
"TJ"; "2.175" 
"TM"; "1.352" 
"UZ"; "1.520" 
"AF"; "2.776" 
"BD"; "1.180" 
"BT"; "2.053" 
"IN"; "1.464" 
"IR"; "1.144" 
"MV"; "2.677" 
"NP"; "1.051" 
"PK"; "2.054" 
"LK"; "0.679" 
"BN"; "1.247" 
"KH"; "1.507" 
"ID"; "1.348" 
"LA"; "1.642" 
"MY"; "1.826" 
"MM"; "0.679" 
"PH"; "1.657" 
"SG"; "2.442" 
"TH"; "0.538" 
"TL"; "1.557" 
"VN"; "0.964" 
"AM"; "-0.71" 
"AZ"; "1.125" 
"BH"; "6.666" 
"CY"; "1.588" 
"GE"; "-1.17" 
"IQ"; "2.603" 
"IL"; "2.349" 
"JO"; "4.574" 
"KW"; "5.506" 
"LB"; "1.684" 
"OM"; "3.831" 
"QA"; "14.432" 
"SA"; "2.747" 
"PS"; "2.571" 
"SY"; "2.776" 
"TR"; "1.262" 
"AE"; "11.822" 
"YE"; "2.741" 
"BY"; "-0.311" 
"BG"; "-0.740" 
"CZ"; "0.535" 
"HU"; "-0.317" 
"PL"; "-0.020" 
"MD"; "-0.355" 
"RO"; "-0.947" 
"RU"; "-0.065" 
"SK"; "0.020" 
"UA"; "-0.475" 
"DK"; "0.485" 
"EE"; "-0.351" 
"FI"; "0.402" 
"IS"; "1.649" 
"IE"; "1.874" 
"IM"; "1.013" 
"LV"; "-1.219" 
"LT"; "-1.364" 
"NO"; "1.066" 
"SE"; "0.763" 
"GB"; "0.978" 
"AL"; "-0.922" 
"AD"; "1.368" 
"BA"; "-0.317" 
"HR"; "-0.229" 
"GI"; "0.672" 
"GR"; "0.255" 
"VA"; "0.025" 
"IT"; "0.311" 
"MT"; "0.453" 
"ME"; "0.255" 
"PT"; "0.163" 
"SM"; "1.240" 
"RS"; "-0.406" 
"SI"; "0.484" 
"ES"; "1.210" 
"AT"; "0.375" 
"BE"; "0.730" 
"FR"; "0.577" 
"DE"; "-0.191" 
"LI"; "0.652" 
"LU"; "2.075" 
"MC"; "1.857" 
"NL"; "0.382" 
"CH"; "1.107" 
"AI"; "1.714" 
"AG"; "1.176" 
"AW"; "0.324" 
"BS"; "1.832" 
"BB"; "0.401" 
"VG"; "3.225" 
"KY"; "2.649" 
"CU"; "0.086" 
"CW"; "2.633" 
"DM"; "0.230" 
"DO"; "1.381" 
"GD"; "0.333" 
"GP"; "0.502" 
"HT"; "1.529" 
"JM"; "0.522" 
"MQ"; "-0.108" 
"MS"; "0.724" 
"PR"; "-0.26" 
"KN"; "1.134" 
"LC"; "1.055" 
"VC"; "0.104" 
"SX"; "0.364" 
"TT"; "0.475" 
"TC"; "3.170" 
"VI"; "-0.307" 
"BZ"; "2.538" 
"CR"; "1.354" 
"SV"; "0.445" 
"GT"; "2.216" 
"HN"; "2.112" 
"MX"; "1.568" 
"NI"; "1.290" 
"PA"; "1.795" 
"AR"; "1.035" 
"BO"; "1.666" 
"BR"; "1.030" 
"CL"; "1.022" 
"CO"; "1.181" 
"EC"; "1.674" 
"FK"; "-0.600" 
"GF"; "2.776" 
"GY"; "-0.117" 
"PY"; "1.381" 
"PE"; "1.238" 
"SR"; "1.060" 
"UY"; "0.291" 
"VE"; "1.609" 
"BM"; "-0.363" 
"CA"; "1.132" 
"GL"; "-0.111" 
"PM"; "0.048" 
"US"; "0.895" 
"AU"; "1.778" 
"NZ"; "1.104" 
"FJ"; "0.907" 
"NC"; "1.518" 
"PG"; "2.367" 
"SB"; "2.324" 
"VU"; "2.420" 
"FM"; "0.012" 
"GU"; "0.131" 
"KI"; "2.119" 
"MH"; "0.142" 
"NR"; "-0.179" 
"MP"; "-3.161" 
"PW"; "0.558" 
"AS"; "-1.214" 
"CK"; "-1.219" 
"PF"; "0.990" 
"NU"; "-0.651" 
"WS"; "0.686" 
"TK"; "-1.280" 
"TO"; "0.603" 
"TV"; "0.993" 
"WF"; "-1.637" 
"AX";"99999999999998"
"AQ";"99999999999998"
"BQ";"99999999999998"
"BV";"99999999999998"
"IO";"99999999999998"
"CX";"99999999999998"
"CC";"99999999999998"
"FO";"99999999999998"
